PEEQ,C1,C2,C3,C4,C5,C6,C7,C8,C9
0.00011,4.3640733911593894e-05,0.009994381320725382,0.5070982176757931,1.57110036951978,423.46782584104795,116.39350865855982,1.6370276926047287,613.8832844230828,75.7093562929314
0.0002,0.0272399317138097,0.009970362465284275,0.7593220989510248,0.6044063515661774,430.0259974058776,137.00003307344852,0.5747602441684769,607.5480041707493,78.08912568796966
0.0003,0.6745959797518929,0.0019336653548269642,0.47952794440789026,0.4023910646446344,599.4141876539394,111.89482888919298,0.29977234855632856,433.7463645169545,156.25122309295858
0.0004,0.8319928690702405,0.005160132393756223,0.7592144531573549,0.30572801727904686,563.7014370371463,114.88572017209665,0.09136022983661268,392.52815797577796,147.57099145813459
0.0005,2.161592568432142,0.005047284590526887,0.46654912190455217,0.3709551414885992,527.5112950962143,164.76342607819646,0.20611773484445542,637.7350414304916,116.82720727658078
0.0006,2.0208888891517596,0.007745841076400162,0.7978631563061189,0.22984836832991504,559.2096469175318,114.11524958805177,0.02802565683791534,486.27778824573284,84.56942741487896
0.0007,2.0885345640178197,0.0078038821508695936,0.7952690425414007,0.22598171327798608,565.3490539858913,112.06133424899953,0.3588550481436009,509.23195987095977,23.665598136286008
0.0008,2.062822427847937,0.006622237968874406,0.7088845297436556,0.28069569216557216,574.3245690313582,136.59833260970862,0.03128554927540153,474.4214214097486,10.01793758298824
0.0009,2.0606120171696074,0.00591853285289761,0.6220865006687386,0.3439554745496926,575.0931380035024,163.49709073941798,5.960399163577236e-10,378.5632976954565,188.2472408213372
0.001,2.0521133673917613,0.005616565366619002,0.593208259410455,0.2499033778410028,549.9676695101616,147.70175896808226,0.14112415689896918,671.3031232354433,198.20183234193678
0.002,1.639255239300193,0.009787607133045034,0.8418396764517153,0.16365652720159873,551.7949534885471,133.77515347079256,0.06509711646622335,298.4631768819074,43.4249297905645
0.003,1.9986540553063614,0.008103056950134623,0.8211793015407444,0.15830925441091262,580.2547925986383,114.64985607554725,0.273358539672843,512.3839910922146,27.058106767712417
0.004,1.7757376716355802,0.007746542035606901,0.8223584786439524,0.15291848790173476,568.6687258456865,124.03933271871608,0.013778658415198949,451.35685121257586,21.077080675148295
0.005,1.3042105755685989,0.0070694565795451905,0.8392584419601166,0.12676806855006115,567.1505718378169,110.16695676414955,0.005972833636601004,504.3199511900422,194.44366376616668
0.01,0.5305386372224392,0.0032949851023720907,0.795465420723553,0.08443757571741842,583.8991377128167,75.71792366358392,0.03028984143132914,545.9177406065894,193.66612633954952
0.011,0.5366029939642198,0.003499203404440614,0.8071314943788327,0.09503221390643403,596.6556655172651,69.16213415205932,0.030603639458608133,501.90770108365746,141.30572157401673
0.012,0.7083976602689087,0.005402723010016486,0.830707215702011,0.10615711124276042,587.7507789551526,83.00876325003064,0.044815234271159084,421.4988812919098,178.56015037266832
0.013,0.5212922988042888,0.0036474236137645864,0.8189842989844125,0.09834726080474634,586.4724891937196,76.23703646499666,0.02068614431374182,449.7984317452231,130.0095712017365
0.014,0.5115452523928112,0.0035781647177729786,0.8190040070585957,0.09561539550473643,586.6335540034139,74.51631311361162,0.02042673097131797,457.73155039840367,134.2715158983882
0.015,0.5268265300549493,0.003659836423866792,0.8171882380158605,0.0992778679575818,585.8137736220326,77.55882768304788,0.021144102916643162,447.2916862971603,131.94623452426816
0.016,0.5448297202622728,0.0038542103180631494,0.8143118748764714,0.08997133636445011,585.9219215923447,75.20880491260317,0.031333416367167764,483.2584529977116,197.57406901023396
0.017,0.6718639249950642,0.004743809661295094,0.8225045151875422,0.09364121142489744,591.8688547136522,73.73769875808249,0.04265577011811784,481.7176508119033,174.91439631062227
0.018,0.6878743699075305,0.0050210488915690245,0.8355912262097811,0.10380972770103673,582.9940655966117,81.20873458582074,0.029513276050760595,435.94794273259197,135.33357812504025
0.019,0.4626718599899756,0.002385869477616085,0.7721885766112943,0.09562095109157184,578.1168769970441,82.2717485711375,0.003267004761908966,473.226251260833,137.56943853348872
0.02,0.7563212706455239,0.0051932121658811795,0.8320150527276502,0.09802243074040483,592.9712389315008,73.64658117500655,0.04051094152511346,479.78040157980666,138.1533494219541
0.021,0.5757777519275893,0.0037608356380404925,0.8062596699884403,0.09952726566363053,583.6016383854894,85.19900381497106,0.022638138506255154,482.8552286333798,161.46763905471803
0.022,0.9630604287914493,0.005419699474214315,0.7895551981259202,0.13370547474042663,597.6872121784371,93.8074383768012,0.059281933169929045,453.44137275790195,145.79972367146536
0.023,0.6923704050478684,0.00410544981208175,0.7898044405434494,0.09964924363858828,595.4861743175608,84.2212391460649,0.04677144545912877,510.4204272678095,151.75383069844506
0.024,0.9106619621772598,0.005650111684190579,0.8128802073764423,0.08849732594137,584.6675947083417,82.10247612517725,0.05797583246920451,512.2369167279079,198.75923088252964
0.025,0.9177566843858903,0.005735451811661634,0.8191501068620762,0.10029210263157068,585.514611529366,88.12796025918396,0.046382155310596425,487.034859393046,177.04779083836917
0.026,0.9573569833089961,0.005888252078581401,0.8169959741761965,0.10221887238638541,584.002893344528,90.520546950578,0.04748424961102018,485.1534222029777,187.50290298589297
0.027,0.9945142990862224,0.0060190007740543025,0.8175219884323587,0.10251024526603988,583.1334116219693,91.43286424996758,0.0474240556084097,487.2701096193635,187.70255438496946
0.028,1.6814047926095925,0.0057643105777316715,0.6899393144604942,0.23798790512241647,580.8900668622305,155.06787830382933,0.11095492817902418,385.27697740993995,10.59444183965001
0.029,0.7337923357267974,0.004430444175553392,0.8024546180693876,0.09084979872614052,571.2806633918067,137.00443319727782,0.043971102774981195,569.3693013206484,10.054777082831128
0.03,1.1067228955406634,0.0052518533395739,0.7507816553913852,0.13864264185069203,577.4227415315986,195.48389177535876,0.6507139039841603,541.8305165922817,19.220258940661658
0.031,1.931815562723597,0.004828095142939976,0.451715459150872,0.31665051881927336,522.0856201411982,199.9687566619989,0.2668115324885554,633.083840783078,67.09680995509035
0.032,1.042355544597441,0.006083181268731816,0.8253359432457494,0.09710492775774181,586.5438156395146,89.86034797039196,0.04713991698259775,508.6437986099361,138.6605822946674
0.033,1.2750818390449001,0.006938654947981998,0.8280831963374363,0.09774625136473153,579.5505376422176,91.92781592764727,0.04831598567836303,505.47920643457496,169.445251723511
0.034,1.153716238059949,0.006444566875522909,0.8244453306717823,0.10964942829330018,582.731807634452,96.22857962687013,0.0398948810658402,491.60385653556307,144.46207235026253
0.035,1.1676416418576985,0.006478621223310007,0.8247753472710768,0.11080445631813587,582.3624889435126,96.97583181476223,0.03885357796609151,491.78021172418363,141.63314033116657
0.036,1.1687204748950237,0.0065163864403487,0.8205705130866049,0.11278003160818688,575.4527286323854,100.22465749481452,0.03544269224094883,496.3507474960221,189.76638514327814
0.037,1.176326003123834,0.007639193836299075,0.8793931594642311,0.1060370190148996,551.1990325263073,75.10980462122852,0.03552568855369884,513.3618156304359,23.588592354889947
0.038,0.9748324194590035,0.006488936034718523,0.8589288054352814,0.1400436069584375,535.8555928843524,53.51842709220335,0.025600549297045864,620.9612128549144,149.12530464830647
0.039,1.0877315091078734,0.007108963785838027,0.8693745587500221,0.10430433711838157,561.6939121475225,81.32121373868088,0.020943636567403934,508.24446113888956,42.37684845402039
0.04,1.1591540415413297,0.007073705604646186,0.858074256581597,0.10481865677604647,543.4379006070145,66.2968758117968,0.029233222235788427,600.6861599343201,170.51159343787413
0.041,1.140551455485908,0.006779920531319608,0.8468398697227176,0.09862431371023059,545.8990146404268,70.45381789388789,0.03841550806282534,600.3909415851891,176.93364097911024
0.042,1.3426125273305536,0.007883278317649529,0.8713366348532129,0.10941924851276649,554.220312532304,84.76709456985547,0.0029588521887130128,543.2246598183519,199.95596022863685
