Strain,Stress
0.0,605.7005144735915
0.00011,775.9798616570903
0.0002,800.9308820262845
0.0003,818.3591153755617
0.0004,830.9705272058995
0.0005,840.8933444322801
0.0006,849.092385418283
0.0007,856.0890353570327
0.0008,862.1977462687269
0.0009,867.623098465734
0.001,872.5058125785467
0.002,905.3323922183207
0.003,925.1109107989116
0.004,939.4073541696802
0.005,950.6493000263351
0.01,986.4383109664774
0.011,991.4639374546294
0.012,996.0743697709225
0.013,1000.3345180892767
0.014,1004.2950668516445
0.015,1007.9963630795522
0.016,1011.4710584319783
0.017,1014.745956124012
0.018,1017.8433339621716
0.019,1020.781912492935
0.02,1023.5775768409015
0.021,1026.2439238994077
0.022,1028.7926833119723
0.023,1031.2340456861866
0.024,1033.5769215705411
0.025,1035.8291480367525
0.026,1037.9976551115346
0.027,1040.0886010853274
0.028,1042.1074834405315
0.029,1044.059230495243
0.03,1045.9482776563284
0.031,1047.7786312873232
0.032,1049.5539225327698
0.033,1051.2774529393316
0.034,1052.9522333318546
0.035,1054.581017108515
0.036,1056.1663288911002
0.037,1057.7104892880845
0.038,1059.2156363876402
0.039,1060.683744486232
0.04,1062.1166404694309
0.041,1063.5160181900208
0.042,1064.8834511306688
0.043,1066.220403591416
0.044,1067.5282406038382
0.045,1068.808236742195
0.046,1070.0615839758525
0.047,1071.289398685687
0.048,1072.4927279492288
0.049,1073.672555184269
0.05,1074.82980522807
0.051,1075.9653489186858
0.052,1077.0800072359275
0.053,1078.174555051889
0.054,1079.2497245344625
0.055,1080.3062082417316
0.056,1081.344661940389
0.057,1082.3657071772402
0.058,1083.3699336293505
0.059,1084.357901255344
0.06,1085.3301422677505
0.061,1086.2871629439896
0.062,1087.2294452916105
0.063,1088.1574485816625
0.064,1089.0716107625492
0.065,1089.972349765393
0.066,1090.8600647107671
0.067,1091.7351370256167
0.068,1092.5979314782855
0.069,1093.4487971387643
0.07,1094.28806827056
0.071,1095.1160651599555
0.072,1095.9330948878724
0.073,1096.7394520490452
0.074,1097.535419422772
0.075,1098.3212685991095
0.076,1099.0972605640202
0.077,1099.8636462466702
0.078,1100.620667031776
0.079,1101.3685552396548
0.08,1102.1075345763902
0.081,1102.8378205563279
0.082,1103.559620898913
0.083,1104.2731359017298
0.084,1104.9785587914273
0.085,1105.6760760540992
0.086,1106.3658677465373
0.087,1107.048107789683
0.088,1107.7229642454797
0.089,1108.3905995782484
0.09,1109.0511709016068
0.091,1109.7048302118942
0.092,1110.3517246089666
0.093,1110.9919965051824
0.094,1111.6257838233296
0.095,1112.2532201841857
0.096,1112.874435084361
0.097,1113.4895540650245
0.098,1114.0986988720608
0.099,1114.7019876081893
0.1,1115.2995348775112
0.11,1120.9821945687252
0.12,1126.1953396474064
0.13,1131.012378245963
0.14,1135.4906291986906
0.15,1139.6757200139575
0.16,1143.6045751520285
0.17,1147.3075049145605
0.18,1150.8097017824077
0.19,1154.1323353596
0.2,1157.2933687346626
0.21,1160.3081773153833
0.22,1163.1900249233324
0.23,1165.9504349716087
0.24,1168.5994833390462
0.25,1171.146031989692
0.26,1173.5979171851793
0.27,1175.9621024997698
0.28,1178.2448042635353
0.29,1180.451595196931
0.3,1182.5874906403997
0.31,1184.6570207779482
0.32,1186.6642915028435
0.33,1188.6130360066563
0.34,1190.5066587406768
0.35,1192.3482730662074
0.36,1194.1407336522764
0.37,1195.8866644775887
0.38,1197.5884831346082
0.39,1199.2484220075924
0.4,1200.8685467957175
0.41,1202.4507727715327
0.42,1203.9968790995856
0.43,1205.5085214869152
0.44,1206.9872433936714
0.45,1208.4344859964528
0.46,1209.8515970675294
0.47,1211.239838908708
0.48,1212.6003954582984
0.49,1213.9343786726486
0.5,1215.242834269468
0.51,1216.5267469081539
0.52,1217.787044872176
0.53,1219.024604309965
0.54,1220.2402530834138
0.55,1221.4347742668335
0.56,1222.608909333849
0.57,1223.7633610650944
0.58,1224.8987962056046
0.59,1226.0158478973672
0.6,1227.1151179095116
0.61,1228.1971786860477
0.62,1229.2625752288013
0.63,1230.311826831235
0.64,1231.3454286771323
0.65,1232.3638533166047
0.66,1233.3675520305715
0.67,1234.3569560936858
0.68,1235.3324779446627
0.69,1236.294512272049
0.7,1237.2434370226763
0.71,1238.1796143393194
0.72,1239.1033914334541
0.73,1240.0151013984373
0.74,1240.9150639679344
0.75,1241.8035862239656
0.76,1242.6809632585391
0.77,1243.547478792487
0.78,1244.4034057547797
0.79,1245.2490068253228
0.8,1246.0845349439653
0.81,1246.9102337882152
0.82,1247.7263382219498
0.83,1248.5330747172093
0.84,1249.3306617509934
0.85,1250.119310178821
0.86,1250.8992235866672
0.87,1251.6705986227673
0.88,1252.4336253106574
0.89,1253.188487344707
0.9,1253.9353623693169
0.91,1254.6744222428465
0.92,1255.40583328727
0.93,1256.1297565244756
0.94,1256.8463479000598
0.95,1257.5557584954029
0.96,1258.2581347287544
0.97,1258.9536185460095
0.98,1259.6423476018012
0.99,1260.3244554314965
1.0,1261.0000716146378
1.01,1261.6693219303384
1.02,1262.3323285051
1.03,1262.989209953498
1.04,1263.6400815121372
1.05,1264.2850551672661
1.06,1264.924239776406
1.07,1265.5577411843292
1.08,1266.1856623336976
1.09,1266.8081033706574
1.1,1267.4251617456598
1.11,1268.036932309771
1.12,1268.6435074067026
1.13,1269.2449769608
1.14,1269.8414285611907
1.15,1270.4329475422992
1.16,1271.0196170609092
1.17,1271.6015181699577
1.18,1272.1787298892161
1.19,1272.751329273024
1.2,1273.3193914752173
1.21,1273.8829898113902
1.22,1274.442195818619
1.23,1274.9970793127804
1.24,1275.5477084435656
1.25,1276.0941497473127
1.26,1276.6364681977554
1.27,1277.1747272547861
1.28,1277.7089889113258
1.29,1278.2393137383917
1.3,1278.7657609284415
1.31,1279.288388337073
1.32,1279.8072525231576
1.33,1280.3224087874728
1.34,1280.8339112099038
1.35,1281.3418126852775
1.36,1281.8461649578842
1.37,1282.3470186547545
1.38,1282.844423317732
1.39,1283.338427434405
1.4,1283.8290784679389
1.41,1284.3164228858582
1.42,1284.800506187823
1.43,1285.2813729324403
1.44,1285.7590667631512
1.45,1286.2336304332312
1.46,1286.7051058299414
1.47,1287.1735339978625
1.48,1287.638955161449
1.49,1288.1014087468272
1.5,1288.5609334028768
1.51,1289.017567021616
1.52,1289.4713467579231
1.53,1289.922309048616
1.54,1290.3704896309189
1.55,1290.8159235603362
1.56,1291.2586452279593
1.57,1291.6986883772229
1.58,1292.13608612014
1.59,1292.5708709530245
1.6,1293.003074771731
1.61,1293.4327288864224
1.62,1293.859864035884
1.63,1294.2845104014048
1.64,1294.7066976202364
1.65,1295.126454798648
1.66,1295.5438105245908
1.67,1295.9587928799863
1.68,1296.3714294526524
1.69,1296.781747347876
1.7,1297.1897731996537
1.71,1297.5955331816008
1.72,1297.9990530175478
1.73,1298.4003579918337
1.74,1298.799472959304
1.75,1299.196422355027
1.76,1299.591230203736
1.77,1299.9839201290033
1.78,1300.3745153621655
1.79,1300.763038750994
1.8,1301.1495127681314
1.81,1301.5339595192952
1.82,1301.916400751257
1.83,1302.2968578596065
1.84,1302.6753518963058
1.85,1303.0519035770412
1.86,1303.4265332883792
1.87,1303.799261094732
1.88,1304.1701067451395
1.89,1304.539089679873
1.9,1304.9062290368681
1.91,1305.271543657988
1.92,1305.6350520951269
1.93,1305.996772616155
1.94,1306.3567232107146
1.95,1306.7149215958636
1.96,1307.0713852215813
1.97,1307.4261312761325
1.98,1307.7791766912987
1.99,1308.1305381474779
2.0,1308.4802320786582
2.01,1308.8282746772695
2.02,1309.1746818989157
2.03,1309.5194694669892
2.04,1309.8626528771777
2.05,1310.2042474018572
2.06,1310.5442680943822
2.07,1310.8827297932726
2.08,1311.2196471262994
2.09,1311.5550345144757
2.1,1311.888906175951
2.11,1312.2212761298172
2.12,1312.5521581998205
2.13,1312.8815660179932
2.14,1313.2095130281964
2.15,1313.5360124895826
2.16,1313.861077479979
2.17,1314.184720899195
2.18,1314.5069554722504
2.19,1314.827793752534
2.2,1315.1472481248916
2.21,1315.4653308086397
2.22,1315.7820538605188
2.23,1316.097429177575
2.24,1316.411468499981
2.25,1316.7241834137953
2.26,1317.035585353659
2.27,1317.3456856054336
2.28,1317.6544953087844
2.29,1317.9620254597041
2.3,1318.2682869129846
2.31,1318.5732903846356
2.32,1318.8770464542495
2.33,1319.1795655673184
2.34,1319.4808580375004
2.35,1319.7809340488393
2.36,1320.079803657936
2.37,1320.3774767960772
2.38,1320.673963271316
2.39,1320.9692727705128
2.4,1321.2634148613324
2.41,1321.5563989941998
2.42,1321.8482345042169
2.43,1322.1389306130395
2.44,1322.4284964307162
2.45,1322.71694095749
2.46,1323.0042730855635
2.47,1323.2905016008303
2.48,1323.5756351845685
2.49,1323.8596824151036
2.5,1324.1426517694374
2.51,1324.4245516248434
2.52,1324.705390260433
2.53,1324.985175858689
2.54,1325.2639165069722
2.55,1325.541620198994
2.56,1325.818294836265
2.57,1326.093948229513
2.58,1326.368588100075
2.59,1326.6422220812615
2.6,1326.9148577196963
2.61,1327.1865024766298
2.62,1327.457163729227
2.63,1327.7268487718316
2.64,1327.9955648172086
2.65,1328.2633189977591
2.66,1328.5301183667173
2.67,1328.795969899321
2.68,1329.0608804939645
2.69,1329.3248569733266
2.7,1329.5879060854802
2.71,1329.850034504981
2.72,1330.111248833936
2.73,1330.3715556030538
2.74,1330.6309612726732
2.75,1330.889472233777
2.76,1331.1470948089843
2.77,1331.4038352535274
2.78,1331.6596997562092
2.79,1331.9146944403458
2.8,1332.1688253646903
2.81,1332.4220985243423
2.82,1332.6745198516398
2.83,1332.926095217036
2.84,1333.1768304299605
2.85,1333.4267312396682
2.86,1333.675803336068
2.87,1333.9240523505423
2.88,1334.1714838567507
2.89,1334.4181033714187
2.9,1334.6639163551145
2.91,1334.9089282130117
2.92,1335.1531442956402
2.93,1335.3965698996226
2.94,1335.6392102683992
2.95,1335.881070592942
2.96,1336.1221560124536
2.97,1336.3624716150584
2.98,1336.6020224384783
2.99,1336.8408134707015
3.0,1337.0788496506348
