Strain,Stress
0.0,439.78200483987524
0.00011,625.6466107154203
0.0002,646.8663204290481
0.0003,661.8966670743971
0.0004,672.9182363531708
0.0005,681.695830512967
0.0006,689.0307277311621
0.0007,695.3566065276106
0.0008,700.9354039674574
0.0009,705.9377658692176
0.001,710.4812194457581
0.002,742.269249775815
0.003,762.7343386630379
0.004,778.2772810273219
0.005,790.9743822857015
0.01,833.9632695267476
0.011,840.2275026207949
0.012,845.9951261008454
0.013,851.3321443513057
0.014,856.2916132452497
0.015,860.9170211073488
0.016,865.2446018976964
0.017,869.3049653018641
0.018,873.1242753514948
0.019,876.7251220898991
0.02,880.1271792780212
0.021,883.3477096298764
0.022,886.4019592242903
0.023,889.3034699134774
0.024,892.0643300626775
0.025,894.6953782214666
0.026,897.2063703794902
0.027,899.606118693778
0.028,901.9026076066457
0.029,904.1030918520632
0.03,906.2141798084158
0.031,908.2419048850438
0.032,910.1917870524062
0.033,912.068886188118
0.034,913.8778485761935
0.035,915.6229476380371
0.036,917.3081197719579
0.037,918.936996019343
0.038,920.5129301498786
0.039,922.0390236577757
0.04,923.5181480801692
0.041,924.9529649834011
0.042,926.345943909533
0.043,927.6993785316424
0.044,929.0154012303008
0.045,930.2959962736196
0.046,931.5430117581926
0.047,932.7581704472309
0.048,933.9430796244494
0.049,935.0992400672332
0.05,936.2280542298085
0.051,937.3308337161988
0.052,938.4088061133432
0.053,939.4631212466544
0.054,940.4948569132705
0.055,941.5050241421665
0.056,942.4945720249755
0.057,943.4643921567275
0.058,944.4153227216295
0.059,945.3481522554338
0.06,946.2636231127674
0.061,947.1624346650008
0.062,948.045246251743
0.063,948.9126799068512
0.064,949.7653228778584
0.065,950.6037299559816
0.066,951.4284256322833
0.067,952.2399060941566
0.068,953.0386410750316
0.069,953.8250755690618
0.07,954.5996314215171
0.071,955.3627088046827
0.072,956.1146875882248
0.073,956.8559286122166
0.074,957.5867748703396
0.075,958.3075526101338
0.076,959.0185723566193
0.077,959.7201298650762
0.078,960.4125070083113
0.079,961.0959726033052
0.08,961.7707831817374
0.081,962.4371837085368
0.082,963.0954082522687
0.083,963.7456806108765
0.084,964.388214896017
0.085,965.0232160789782
0.086,965.6508805009407
0.087,966.2713963501259
0.088,966.8849441081845
0.089,967.4916969680019
0.09,968.0918212249256
0.091,968.6854766432778
0.092,969.2728167998685
0.093,969.8539894061054
0.094,970.4291366101718
0.095,970.9983952806394
0.096,971.5618972727794
0.097,972.1197696787483
0.098,972.6721350627322
0.099,973.2191116820616
0.1,973.7608136952322
0.11,978.910274807629
0.12,983.6337060204088
0.13,988.0000535909667
0.14,992.0619847672004
0.15,995.8608699185711
0.16,999.4299316883779
0.17,1002.7963272017518
0.18,1005.9825805370301
0.19,1009.0076020585562
0.2,1011.8874344766115
0.21,1014.6358117676409
0.22,1017.2645860793056
0.23,1019.784059148908
0.24,1022.2032431904227
0.25,1024.530068750927
0.26,1026.771552085749
0.27,1028.9339312230481
0.28,1031.0227775291444
0.29,1033.0430879051562
0.3,1034.9993615275769
0.31,1036.895664149632
0.32,1038.735682312805
0.33,1040.5227693147567
0.34,1042.259984396611
0.35,1043.9501263178336
0.36,1045.5957622583014
0.37,1047.1992528083374
0.38,1048.7627736666013
0.39,1050.2883345539126
0.4,1051.777795761772
0.41,1053.2328826825574
0.42,1054.6551986103257
0.43,1056.0462360539534
0.44,1057.4073867657714
0.45,1058.7399506571633
0.46,1060.045143746433
0.47,1061.3241052625558
0.48,1062.5779040103705
0.49,1063.807544087656
0.5,1065.01397003186
0.51,1066.198071463558
0.52,1067.3606872846788
0.53,1068.5026094818634
0.54,1069.6245865787926
0.55,1070.7273267757284
0.56,1071.8115008097461
0.57,1072.8777445650048
0.58,1073.92666145888
0.59,1074.9588246267049
0.6,1075.9747789252224
0.61,1076.975042772539
0.62,1077.9601098403696
0.63,1078.930450612605
0.64,1079.8865138227027
0.65,1080.8287277810548
0.66,1081.7575016023104
0.67,1082.6732263415809
0.68,1083.576276047547
0.69,1084.4670087396678
0.7,1085.3457673159774
0.71,1086.2128803973128
0.72,1087.0686631132562
0.73,1087.9134178345585
0.74,1088.7474348563726
0.75,1089.5709930362143
0.76,1090.3843603902108
0.77,1091.1877946508744
0.78,1091.9815437893494
0.79,1092.7658465048173
0.8,1093.5409326835152
0.81,1094.3070238296064
0.82,1095.0643334699548
0.83,1095.813067534681
0.84,1096.5534247152211
0.85,1097.2855968014683
0.86,1098.0097689994532
0.87,1098.7261202308932
0.88,1099.4348234158458
0.89,1100.1360457395963
0.9,1100.8299489048263
0.91,1101.5166893700289
0.92,1102.1964185750635
0.93,1102.8692831546741
0.94,1103.5354251407357
0.95,1104.194982153937
0.96,1104.8480875855585
0.97,1105.4948707699486
0.98,1106.1354571482736
0.99,1106.7699684240579
1.0,1107.398522711011
1.01,1108.021234673594
1.02,1108.6382156607513
1.03,1109.2495738332
1.04,1109.855414284654
1.05,1110.4558391573178
1.06,1111.0509477519804
1.07,1111.6408366330056
1.08,1112.2255997285024
1.09,1112.8053284259381
1.1,1113.3801116634434
1.11,1113.950036017037
1.12,1114.5151857839921
1.13,1115.075643062543
1.14,1115.631487828126
1.15,1116.1827980063365
1.16,1116.7296495427659
1.17,1117.2721164698798
1.18,1117.8102709710906
1.19,1118.3441834421562
1.2,1118.8739225500478
1.21,1119.3995552894041
1.22,1119.9211470366918
1.23,1120.438761602187
1.24,1120.9524612798764
1.25,1121.4623068953804
1.26,1121.968357851995
1.27,1122.4706721749333
1.28,1122.9693065538565
1.29,1123.4643163837716
1.3,1123.95575580437
1.31,1124.4436777378783
1.32,1124.9281339254885
1.33,1125.4091749624324
1.34,1125.8868503317583
1.35,1126.3612084368672
1.36,1126.832296632867
1.37,1127.3001612567914
1.38,1127.7648476567326
1.39,1128.2264002199395
1.4,1128.6848623999183
1.41,1129.1402767425836
1.42,1129.592684911497
1.43,1130.0421277122302
1.44,1130.488645115892
1.45,1130.9322762818508
1.46,1131.373059579687
1.47,1131.8110326104047
1.48,1132.2462322269357
1.49,1132.6786945539607
1.5,1133.1084550070755
1.51,1133.5355483113308
1.52,1133.9600085191669
1.53,1134.381869027767
1.54,1134.8011625958559
1.55,1135.2179213599566
1.56,1135.6321768501382
1.57,1136.0439600052598
1.58,1136.4533011877425
1.59,1136.8602301978785
1.6,1137.2647762876984
1.61,1137.6669681744115
1.62,1138.0668340534362
1.63,1138.4644016110342
1.64,1138.859698036564
1.65,1139.2527500343658
1.66,1139.643583835292
1.67,1140.032225207898
1.68,1140.418699469299
1.69,1140.8030314957164
1.7,1141.1852457327066
1.71,1141.565366205103
1.72,1141.9434165266682
1.73,1142.3194199094694
1.74,1142.6933991729882
1.75,1143.0653767529725
1.76,1143.4353747100404
1.77,1143.8034147380415
1.78,1144.1695181721882
1.79,1144.53370599696
1.8,1144.8959988537918
1.81,1145.256417048552
1.82,1145.6149805588163
1.83,1145.9717090409463
1.84,1146.326621836976
1.85,1146.6797379813158
1.86,1147.031076207277
1.87,1147.3806549534233
1.88,1147.728492369758
1.89,1148.0746063237448
1.9,1148.4190144061752
1.91,1148.7617339368826
1.92,1149.10278197031
1.93,1149.4421753009328
1.94,1149.779930468547
1.95,1150.116063763419
1.96,1150.4505912313093
1.97,1150.783528678366
1.98,1151.114891675901
1.99,1151.4446955650428
2.0,1151.7729554612765
2.01,1152.099686258872
2.02,1152.4249026352038
2.03,1152.7486190549641
2.04,1153.0708497742762
2.05,1153.3916088447054
2.06,1153.710910117178
2.07,1154.0287672458019
2.08,1154.345193691599
2.09,1154.66020272615
2.1,1154.9738074351508
2.11,1155.2860207218876
2.12,1155.59685531063
2.13,1155.9063237499452
2.14,1156.2144384159367
2.15,1156.5212115154065
2.16,1156.8266550889482
2.17,1157.1307810139642
2.18,1157.4336010076215
2.19,1157.7351266297342
2.2,1158.0353692855845
2.21,1158.3343402286814
2.22,1158.6320505634556
2.23,1158.928511247895
2.24,1159.2237330961239
2.25,1159.5177267809236
2.26,1159.8105028361983
2.27,1160.1020716593885
2.28,1160.392443513829
2.29,1160.6816285310604
2.3,1160.9696367130869
2.31,1161.256477934588
2.32,1161.5421619450817
2.33,1161.826698371044
2.34,1162.1100967179798
2.35,1162.3923663724552
2.36,1162.6735166040824
2.37,1162.9535565674664
2.38,1163.2324953041104
2.39,1163.5103417442806
2.4,1163.7871047088342
2.41,1164.062792911009
2.42,1164.337414958177
2.43,1164.610979353562
2.44,1164.8834944979217
2.45,1165.1549686911972
2.46,1165.4254101341282
2.47,1165.6948269298375
2.48,1165.963227085381
2.49,1166.23061851327
2.5,1166.4970090329614
2.51,1166.7624063723194
2.52,1167.0268181690487
2.53,1167.290251972099
2.54,1167.552715243042
2.55,1167.814215357423
2.56,1168.074759606086
2.57,1168.3343551964706
2.58,1168.5930092538895
2.59,1168.8507288227756
2.6,1169.1075208679104
2.61,1169.3633922756255
2.62,1169.618349854984
2.63,1169.8724003389377
2.64,1170.1255503854638
2.65,1170.377806578681
2.66,1170.6291754299418
2.67,1170.8796633789095
2.68,1171.1292767946106
2.69,1171.37802197647
2.7,1171.6259051553288
2.71,1171.8729324944393
2.72,1172.1191100904466
2.73,1172.3644439743484
2.74,1172.6089401124414
2.75,1172.8526044072466
2.76,1173.0954426984217
2.77,1173.3374607636545
2.78,1173.5786643195418
2.79,1173.8190590224526
2.8,1174.0586504693756
2.81,1174.2974441987526
2.82,1174.5354456912964
2.83,1174.772660370794
2.84,1175.009093604898
2.85,1175.2447507059023
2.86,1175.4796369315043
2.87,1175.713757485556
2.88,1175.9471175187994
2.89,1176.1797221295915
2.9,1176.4115763646162
2.91,1176.6426852195848
2.92,1176.8730536399219
2.93,1177.102686521444
2.94,1177.3315887110232
2.95,1177.5597650072416
2.96,1177.7872201610337
2.97,1178.0139588763195
2.98,1178.2399858106255
2.99,1178.4653055756964
3.0,1178.6899227380964
