Strain,Stress
0.0,586.9039786281236
0.00011,854.9421960199377
0.0002,874.878425930725
0.0003,888.6637333746576
0.0004,898.5761723766861
0.0005,906.3409688487953
0.0006,912.7350680918862
0.0007,918.1763920409952
0.0008,922.9161009882478
0.0009,927.1171293299118
0.001,930.891281410201
0.002,956.1067127197985
0.003,971.1722783197638
0.004,982.0052250461246
0.005,990.4910600923068
0.01,1017.3209949294022
0.011,1021.0666057887307
0.012,1024.4981213291887
0.013,1027.6649927650815
0.014,1030.6057846251108
0.015,1033.3511601493328
0.016,1035.9259073941794
0.017,1038.3503540033114
0.018,1040.6413796323932
0.019,1042.813156092625
0.02,1044.8776986943444
0.021,1046.8452838393582
0.022,1048.7247700382839
0.023,1050.523847998238
0.024,1052.2492378117113
0.025,1053.9068461431993
0.026,1055.5018927823746
0.027,1057.0390134668503
0.028,1058.5223441270507
0.029,1059.955590445059
0.03,1061.3420856994867
0.031,1062.6848391890392
0.032,1063.9865770200809
0.033,1065.2497766605754
0.034,1066.4766963709953
0.035,1067.6694003984246
0.036,1068.8297806460898
0.037,1069.9595753945723
0.038,1071.060385543855
0.039,1072.1336887604507
0.04,1073.1808518460675
0.041,1074.2031415898243
0.042,1075.201734322036
0.043,1076.177724351844
0.044,1077.132131441782
0.045,1078.065907448384
0.046,1078.9799422381857
0.047,1079.875068972083
0.048,1080.7520688373713
0.049,1081.6116752954047
0.05,1082.454577903248
0.051,1083.2814257596397
0.052,1084.092830618786
0.053,1084.8893697097196
0.054,1085.671588294062
0.055,1086.4400019908062
0.056,1087.1950988931706
0.057,1087.937341499469
0.058,1088.6671684772912
0.059,1089.3849962779873
0.06,1090.0912206164667
0.061,1090.7862178295802
0.062,1091.470346124873
0.063,1092.1439467301595
0.064,1092.8073449532394
0.065,1093.4608511600666
0.066,1094.10476167879
0.067,1094.7393596363195
0.068,1095.3649157333778
0.069,1095.9816889633926
0.07,1096.589927280047
0.071,1097.189868217837
0.072,1097.7817394695487
0.073,1098.3657594242027
0.074,1098.9421376686737
0.075,1099.5110754558905
0.076,1100.0727661422611
0.077,1100.6273955967142
0.078,1101.1751425835482
0.079,1101.7161791210754
0.08,1102.2506708178748
0.081,1102.7787771883152
0.082,1103.300651948864
0.083,1103.816443296571
0.084,1104.3262941709988
0.085,1104.830342500772
0.086,1105.3287214358124
0.087,1105.821559566251
0.088,1106.3089811289233
0.089,1106.7911062022856
0.09,1107.268050890523
0.091,1107.7399274975592
0.092,1108.2068446916317
0.093,1108.6689076610344
0.094,1109.126218261596
0.095,1109.578875156411
0.096,1110.0269739483115
0.097,1110.470607305526
0.098,1110.9098650809415
0.099,1111.3448344253568
0.1,1111.7755998950886
0.11,1115.8689795307796
0.12,1119.6191008637152
0.13,1123.080006557717
0.14,1126.2938417782336
0.15,1129.2941167803192
0.16,1132.1079211350227
0.17,1134.7574698597477
0.18,1137.2612098451118
0.19,1139.6346287195788
0.2,1141.8908573843366
0.21,1144.0411263782967
0.22,1146.0951167012677
0.23,1148.0612331217771
0.24,1149.9468196745177
0.25,1151.7583314414126
0.26,1153.5014728549704
0.27,1155.181310067906
0.28,1156.8023630199489
