strain,C1,C2
0.0,0.038986774069948806,2.2847300483235715
0.00011,0.008666801515487158,1.38602454368694
0.0002,0.005671791035192183,1.2665872380214374
0.0003,0.003682110670508793,1.1923579907085529
0.0004,0.002310324335040803,1.144762083817189
0.0005,0.0012772171669290198,1.1113437666300559
0.0006,0.0004571048355166609,1.0865356203553829
0.0007,-0.00021728557532808487,1.0674022095303446
0.0008,-0.0007860955455383858,1.0522255864103403
0.0009,-0.0012751494006018483,1.0399245389497982
0.001,-0.0017020081299733685,1.0297809559378859
0.002,-0.00423143378287344,0.9821514768335801
0.003,-0.0054633706415864024,0.9673292539627486
0.004,-0.006219571763782234,0.9610261342865791
0.005,-0.006738387861452137,0.9578862150344262
0.01,-0.007987190668042755,0.9538290887142312
0.011,-0.008118730859939553,0.9536424930770094
0.012,-0.008231015296671454,0.9535116964213851
0.013,-0.008327934504452385,0.9534182223840678
0.014,-0.008412390796676945,0.953350289383729
0.015,-0.008486595790542556,0.9533001846440966
0.016,-0.008552265791474044,0.9532627425761335
0.017,-0.008610753968273856,0.9532344337103019
0.018,-0.008663142086815335,0.9532128034473837
0.019,-0.008710305614219566,0.9531961175641662
0.02,-0.008752960841569332,0.9531831333002103
0.021,-0.008791699592153639,0.9531729485899405
0.022,-0.008827015187811503,0.9531649009849602
0.023,-0.008859322149692608,0.9531584987932417
0.024,-0.008888971336192307,0.9531533734769801
0.025,-0.008916261709790983,0.9531492463044893
0.026,-0.008941449580352858,0.9531459047002991
0.027,-0.008964755936538137,0.9531431852829233
0.028,-0.008986372312684787,0.953140961571696
0.029,-0.00900646552239787,0.9531391349908815
0.03,-0.009025181506902341,0.9531376282271488
0.031,-0.009042648485880789,0.9531363802833905
0.032,-0.009058979554247504,0.9531353427666235
0.033,-0.00907427483547774,0.9531344770814512
0.034,-0.00908862327751672,0.9531337522934249
0.035,-0.009102104158697662,0.9531331434917505
0.036,-0.009114788356915156,0.9531326305268851
0.037,-0.009126739424394244,0.9531321970315
0.038,-0.009138014501944272,0.9531318296569985
0.039,-0.009148665099990367,0.953131517475007
0.04,-0.009158737768491469,0.9531312515058493
0.041,-0.009168274673753654,0.9531310243452994
0.042,-0.009177314096884557,0.9531308298677943
0.043,-0.009185890866022934,0.9531306629894238
0.044,-0.009194036732375493,0.9531305194778783
0.045,-0.009201780698392422,0.9531303957994496
0.046,-0.009209149305030459,0.9531302889953964
0.047,-0.009216166883922646,0.9531301965816777
0.048,-0.009222855779347039,0.9531301164673531
0.049,-0.009229236544122593,0.9531300468879563
0.05,-0.009235328112928189,0.953129986350918
0.051,-0.009241147956015426,0.9531299335907213
0.052,-0.009246712215847684,0.9531298875319466
0.053,-0.009252035828831178,0.9531298472587284
0.054,-0.009257132633995725,0.9531298119894434
0.055,-0.00926201547022328,0.9531297810556778
0.056,-0.009266696263402815,0.9531297538847057
0.057,-0.009271186104703916,0.9531297299848549
0.058,-0.009275495321003179,0.9531297089332572
0.059,-0.009279633538362255,0.9531296903655688
0.06,-0.009283609739340984,0.9531296739673247
0.061,-0.00928743231482979,0.9531296594666537
0.062,-0.009291109111000343,0.9531296466281234
0.063,-0.009294647471899955,0.9531296352475326
0.064,-0.0092980542781517,0.9531296251474941
0.065,-0.009301335982167216,0.9531296161736822
0.066,-0.009304498640231381,0.953129608191638
0.067,-0.009307547941776507,0.9531296010840445
0.068,-0.009310489236127501,0.9531295947484005
0.069,-0.009313327556967722,0.9531295890950269
0.07,-0.009316067644747612,0.9531295840453606
0.071,-0.00931871396723385,0.9531295795304877
0.072,-0.009321270738375423,0.9531295754898828
0.073,-0.00932374193564422,0.9531295718703228
0.074,-0.00932613131599114,0.9531295686249501
0.075,-0.009328442430544114,0.9531295657124635
0.076,-0.009330678638161423,0.9531295630964175
0.077,-0.009332843117942247,0.9531295607446159
0.078,-0.009334938880786143,0.9531295586285852
0.079,-0.00933696878008414,0.9531295567231177
