strain,C1,C2
0.0,0.05482015096269282,2.4392446896505
0.00011,0.015031293334307527,1.4462535877345415
0.0002,0.013187434466523415,1.3065723936208953
0.0003,0.01190869762214692,1.2226078357811418
0.0004,0.010988124823236405,1.1706896031501886
0.0005,0.010266713105075313,1.1355046217215305
0.0006,0.009672630834721273,1.1102631433991337
0.0007,0.009167158094484158,1.091427429406027
0.0008,0.008726989750111325,1.0769557348956804
0.0009,0.008336989687173509,1.0655824926022517
0.001,0.007986762263710999,1.056480531024495
0.002,0.0056522484142357,1.018480288395019
0.003,0.004263971740153284,1.0092648538246953
0.004,0.003269839268660854,1.00608882278516
0.005,0.002493924234373522,1.0047765158168123
0.01,6.0211553455119526e-05,1.0035533095232245
0.011,-0.00027686840229759063,1.0035210770559921
0.012,-0.0005850466554235198,1.0035011164492562
0.013,-0.0008689038167739097,1.0034884585817558
0.014,-0.0011320088859685176,1.0034802636785578
0.015,-0.001377197160385299,1.0034748602968828
0.016,-0.0016067587429635585,1.0034712390550624
0.017,-0.001822570101242163,1.003468776440669
0.018,-0.002026188162206441,1.0034670794755618
0.019,-0.00221891906493929,1.0034658959765095
0.02,-0.002401869348675492,1.003465061459814
0.021,-0.00257598470302782,1.003464467048356
0.022,-0.002742079741391845,1.0034640396959458
0.023,-0.0029008611841551055,1.0034637297867073
0.024,-0.0030529461290907597,1.003463503234121
0.025,-0.0031988766082402253,1.0034633363729057
0.026,-0.0033391313022078373,1.003463212611813
0.027,-0.003474135053340606,1.003463120212882
0.028,-0.0036042666564229317,1.0034630508009814
0.029,-0.0037298652882823483,1.0034629983527108
0.03,-0.0038512358521881826,1.003462958503595
0.031,-0.003968653449788771,1.0034629280689127
0.032,-0.004082367146192117,1.0034629047093595
0.033,-0.004192603158230959,1.003462886695836
0.034,-0.004299567568859998,1.0034628727426815
0.035,-0.004403448649807323,1.0034628618885626
0.036,-0.004504418858457412,1.003462853410808
0.037,-0.00460263656232783,1.00346284676339
0.038,-0.004698247534570675,1.0034628415317437
0.039,-0.004791386256057524,1.0034628373996584
0.04,-0.004882177053323812,1.0034628341248746
0.041,-0.004970735096604145,1.0034628315210046
0.042,-0.005057167278115289,1.0034628294440635
0.043,-0.0051415729874333335,1.0034628277823912
0.044,-0.005224044798109603,1.003462826449072
0.045,-0.0053046690774508215,1.0034628253762075
0.046,-0.005383526529560673,1.0034628245105737
0.047,-0.005460692680224012,1.0034628238103098
0.048,-0.005536238310954546,1.003462823242388
0.049,-0.005610229848473106,1.0034628227806677
0.05,-0.0056827297150004175,1.003462822404399
0.051,-0.005753796644003939,1.0034628220970632
0.052,-0.0058234859654097415,1.0034628218454729
0.053,-0.005891849863757265,1.0034628216390726
0.054,-0.00595893761232099,1.003462821469391
0.055,-0.00602479578583609,1.0034628213296126
0.056,-0.00608946845413301,1.0034628212142405
0.057,-0.006152997358701805,1.0034628211188303
0.058,-0.006215422073961405,1.0034628210397813
0.059,-0.006276780154797254,1.0034628209741692
0.06,-0.006337107271747473,1.003462820919614
0.061,-0.006396437335058416,1.003462820874174
0.062,-0.006454802608691919,1.0034628208362633
0.063,-0.006512233815245787,1.0034628208045826
0.064,-0.0065687602326431754,1.003462820778066
0.065,-0.0066244097833542195,1.0034628207558374
0.066,-0.006679209116831571,1.0034628207371752
0.067,-0.006733183685770319,1.003462820721484
0.068,-0.006786357816739377,1.0034628207082719
0.069,-0.006838754775675748,1.0034628206971314
0.07,-0.006890396828683816,1.003462820687725
0.071,-0.006941305298537967,1.0034628206797718
0.072,-0.00699150061724782,1.0034628206730387
0.073,-0.007041002375011096,1.003462820667331
0.074,-0.007089829365847997,1.0034628206624867
0.075,-0.007137999630183418,1.0034628206583698
0.076,-0.00718553049461898,1.003462820654867
0.077,-0.0072324386091145165,1.0034628206518834
0.078,-0.007278739981778866,1.0034628206493388
0.079,-0.00732445001145237,1.0034628206471663
