Row,R_squared
0.0,0.0600700770029452
0.00011,-0.42625549107876326
0.0002,-1.421125343505822
0.0003,-2.9701712939839053
0.0004,-1.4056471296985027
0.0005,-0.22741881860948987
0.0006,-0.02215332975244233
0.0007,-0.3740860111244777
0.0008,-0.9431949716198758
0.0009,-1.5451870100455776
0.001,-2.0902511944495625
0.002,-2.7313548431433228
0.003,-1.0344259719828615
0.004,-0.09882764570912039
0.005,0.3366332442054215
0.01,0.7328778658981693
0.011,0.7401721731919009
0.012,0.7444698976378943
0.013,0.7474017396663608
0.014,0.7497960257619921
0.015,0.7520531686544948
0.016,0.7543437077393274
0.017,0.7567155974053735
0.018,0.7591533316301811
0.019,0.7616108396913331
0.02,0.7605814001340503
0.021,0.7647845000506419
0.022,0.7688882171836854
0.023,0.7728591754116916
0.024,0.7766686959970607
0.025,0.7802930505486381
0.026,0.7837132815220573
0.027,0.7869148051315489
0.028,0.789886921899372
0.029,0.7926223063186306
0.03,0.7951165148421308
0.031,0.797367532167437
0.032,0.7993753643922897
0.033,0.8011416810297616
0.034,0.8026695042520133
0.035,0.8039629417970559
0.036,0.8050269592089663
0.037,0.805867186824379
0.038,0.8064897570941235
0.039,0.8069011681249847
0.04,0.8071081697527516
0.041,0.8071176688651828
0.042,0.8069366511114482
0.043,0.8065721165336568
0.044,0.8060310269720261
0.045,0.8053202634357228
0.046,0.8044465918789026
0.047,0.8034166360595048
0.048,0.8022368563537928
0.049,0.8009135335820241
0.05,0.7994527570262541
0.051,0.7978604159671833
0.052,0.7961421941441315
0.053,0.7943035666554795
0.054,0.7923497988848726
0.055,0.7902859470895316
0.056,0.7881168603551326
0.057,0.7858471836586295
0.058,0.7834813618346467
0.059,0.7810236442423005
0.06,0.7784780899909867
0.061,0.7758485735956239
0.062,0.7731387909341709
0.063,0.7703522654318864
0.064,0.767492354375709
0.065,0.7645622553114904
0.066,0.7615650124483606
0.067,0.7585035230372457
0.068,0.7553805436835737
0.069,0.7521986965551646
0.07,0.7489604754704104
0.071,0.74566825183778
0.072,0.7423242804335786
0.073,0.7389307050088993
0.074,0.7354895637107477
0.075,0.732002794314011
0.076,0.7284722392597347
0.077,0.72489965049779
0.078,0.7212866941336216
0.079,0.717634954877626
