Row,R_squared
0.0,0.5766184104466923
0.00011,0.3987523820796871
0.0002,0.4708913272562727
0.0003,0.5710949535589109
0.0004,0.671525281079306
0.0005,0.7399143889473401
0.0006,0.7842220005190779
0.0007,0.8152840743370642
0.0008,0.8384866453820288
0.0009,0.8560553632553777
0.001,0.8690625476723439
0.002,0.8668087599372729
0.003,0.8029112417733293
0.004,0.7602766729524697
0.005,0.7487985247548405
0.01,0.8679305548758933
0.011,0.8847726292096103
0.012,0.8940958264110103
0.013,0.8960655068822218
0.014,0.8913671622709551
0.015,0.8809622167167539
0.016,0.8659136070066575
0.017,0.8472693995617726
0.018,0.8259921839168272
0.019,0.8029224870525941
0.02,0.8672086229275808
0.021,0.8781768943184544
0.022,0.8876570940732956
0.023,0.8956916356006825
0.024,0.9023318471306283
0.025,0.9076355028051707
0.026,0.911664728558437
0.027,0.9144842500510129
0.028,0.9161599516324495
0.029,0.9167577153001728
0.03,0.916342508250312
0.031,0.914977687596436
0.032,0.9127244914719037
0.033,0.9096416870864044
0.034,0.9057853482871249
0.035,0.9012087376245538
0.036,0.89596227066389
0.037,0.890093543150632
0.038,0.8836474044909832
0.039,0.8766660637351826
0.04,0.8691892167770413
0.041,0.8612541857571583
0.042,0.8528960636562078
0.043,0.8441478587816813
0.044,0.8350406352979001
0.045,0.8256036471373928
0.046,0.8158644635935066
0.047,0.8058490856482674
0.048,0.795582052669862
0.049,0.7850865395448448
0.05,0.7743844446178636
0.051,0.7634964690178994
0.052,0.752442188078211
0.053,0.7412401156221048
0.054,0.7299077619045994
0.055,0.7184616859841815
0.056,0.7069175432590895
0.057,0.6952901288463388
0.058,0.6835934174161995
0.059,0.6718406000265695
0.06,0.6600441184307857
0.061,0.6482156972654292
0.062,0.6363663744609251
0.063,0.6245065301596018
0.064,0.6126459143732411
0.065,0.6007936735665655
0.066,0.5889583763124462
0.067,0.5771480381309791
0.068,0.5653701455961715
0.069,0.5536316797698871
0.07,0.5419391390042958
0.071,0.5302985611392579
0.072,0.518715545108615
0.073,0.5071952719620272
0.074,0.4957425253023431
0.075,0.484361711134776
0.076,0.47305687712094024
0.077,0.46183173123163546
0.078,0.4506896597907376
0.079,0.4396337449036809
