PEEQ,C1,C2,C3,C4,C5,C6
0.00011,2.882761314234905,0.01028562586736044,0.78405638930666,0.6971935718462274,510.0410547399322,318.63209637316453
0.0002,2.8122553005385127,0.010150869268969905,0.4966081347432532,0.6971342159053301,510.3533765687418,318.71006938887035
0.0003,2.736847563704206,0.010003832642190385,0.3644014513707498,0.6970661874695956,510.7290149625859,318.79445114482974
0.0004,2.664445030307511,0.009859578936968275,0.3155868006932265,0.6969959825426257,511.13438498066915,318.87645438502665
0.0005,2.5949650258900734,0.009718055616862044,0.30080655678163726,0.6969236117714078,511.5690567856109,318.9560742364169
0.0006,2.5283264352928074,0.009579211138133379,0.2999207963809939,0.696849085862491,512.032572613308,319.0333060352209
0.0007,2.4644496843548542,0.00944299493107243,0.30470665940823316,0.6967724155813749,512.5244475372467,319.10814532761526
0.0008,2.403256721821961,0.009309357381681241,0.31180177285247257,0.6966936117518975,513.0441702752516,319.1805878703934
0.0009,2.344671001452494,0.009178249813708985,0.31982603098748286,0.696612685255617,513.5912040367973,319.25062963159445
0.001,2.2886174643098656,0.009049624471032759,0.32820764760623644,0.696529647031195,514.1649874089129,319.3182667911025
0.002,1.8518679930999835,0.007890011367588098,0.40961042697761696,0.6955855658216749,521.2348762692316,319.86169737742796
0.003,1.5961585678685364,0.006932296724919012,0.4713005224239505,0.6944427440869982,530.2185129979596,320.1620563860421
0.004,1.4683445257075531,0.006141491234783247,0.49967051039102267,0.693112963140621,540.3153347472846,320.2190778825195
0.005,1.4265701857713013,0.005488732794441595,0.4881201344758465,0.6916084334202511,550.7220782150775,320.03466019987144
0.01,1.6458986814455212,0.0036007055911865898,0.12728454689470775,0.6819134678307044,588.9454773601648,315.7027767400858
0.011,1.6888788350096458,0.003405523137153495,0.07613849031799969,0.6796323922457672,592.634171085765,314.22339109623
0.012,1.7213252841057618,0.003250906575814999,0.04199436218247847,0.6772683844433132,595.2438538892152,312.5703201516088
0.013,1.743339368168585,0.003130662784034036,0.021376436682260015,0.6748346654978735,596.9956755913718,310.759342142143
0.014,1.755986293525122,0.0030387830740937517,0.010065902716802648,0.6723442920265026,598.1018681744185,308.80718505025084
0.015,1.760834226866855,0.0029690717888859377,0.004412228634335713,0.6698100983096138,598.7462696568907,306.73130317884437
0.016,1.7596230652785492,0.002915114318092553,0.0018316556384710204,0.6672446414823952,599.0759424174889,304.549649894912
0.017,1.754042735396884,0.002870639048850342,0.0007544338739674709,0.6646601500990414,599.2009126227794,302.28045064756134
0.018,1.7455994499184762,0.002830178306940298,0.0003427821329425526,0.6620684763342306,599.1987680094165,299.9419802232741
0.019,1.7355488448574319,0.002789788102570288,0.00019874475492742376,0.6594810520470945,599.121343886301,297.5523479715562
0.02,1.7248768503769987,0.002747529087894267,0.0001526868842374583,0.6569088488929045,599.0015666143325,295.12929442632156
0.021,1.7143119804662073,0.0027034883675619487,0.0001393576783333213,0.6543623426272186,598.8593725897877,292.69000237333245
0.022,1.7043559676740454,0.00265930677640559,0.000136018338706562,0.6518514817068262,598.7062882215554,290.2509249844287
0.023,1.6953229138747572,0.0026173779990870056,0.0001354688379099952,0.649385660251864,598.5486832890773,287.82763316876077
0.024,1.687380086538326,0.002580003222792712,0.000135633013428583,0.6469736953944198,598.3899225875941,285.434683793986
0.025,1.6805859881989367,0.002548767399730885,0.00013596471106293683,0.6446238090011387,598.2317023227254,283.0855099206717
0.026,1.674923292095089,0.0025242765472557756,0.00013633267579868757,0.6423436137211844,598.0748341191454,280.7923336848683
0.027,1.6703256744937487,0.0025062376478600826,0.00013670805389703872,0.640140103276703,597.9196812240323,278.56610197006387
0.028,1.666698541008714,0.0024937512596845983,0.0001370850349755981,0.6380196468809586,597.7663893601676,276.41644454243794
0.029,1.6639342250697382,0.0024856577942349157,0.0001374625432140183,0.6359879876398349,597.6150032052195,274.3516538929516
0.03,1.661922524869877,0.0024808181994183972,0.00013784039199688696,0.6340502447656097,597.465522522519,272.37868564506334
0.031,1.6605575288213241,0.0024782779345224703,0.0001382185474816773,0.6322109194079837,597.3179280318002,270.5031780546125
0.032,1.6597416339146998,0.002477321384720557,0.0001385969998235171,0.6304739038864116,597.1721928265649,268.72948885354384
0.033,1.6593875450443552,0.0024774537799510934,0.00013897574259140276,0.628842494089909,597.0282872030666,267.0607474745417
0.034,1.6594188983980176,0.0024783508979599033,0.00013935476975763934,0.6273194047957573,596.8861806188518,265.49892054028123
0.035,1.659770005871377,0.00247980521358715,0.00013973407529442616,0.6259067876468791,596.7458424545118,264.0448884080164
0.036,1.6603850859604976,0.002481682575737469,0.00014011365312409472,0.6246062515190965,596.607242297431,262.6985305251195
0.037,1.6612172370060823,0.002483892685488554,0.00014049349711324922,0.6234188850039284,596.4703500424854,261.4588173700083
