PEEQ,C1,C2,C3,C4,C5,C6,R²
0.00011,1.4625753312834644e-13,0.009944492644637787,0.03554547674261801,1.4931556704032107,523.2878871215091,349.9999999757227,0.9954763483448416
0.0002,0.3083768683988228,0.009999999999999998,0.9999999999999999,0.2548415635147671,520.4402559853442,137.80669166393878,0.9924947333834179
0.0003,1.0261141292994802,0.00349825972175797,0.5934111334057389,0.42386025006764805,567.0122686736636,213.01483458643546,0.886275837109941
0.0004,1.4665226699867548,0.009999999999954153,0.9835336704028784,0.16723948711280667,523.4195956395257,100.00000047563442,0.9426675163446891
0.0005,1.7421709675781776,0.009999999999999998,0.9758427383400577,0.15718139285055058,524.990812454831,100.00368950103496,0.9231395814871495
0.0006,1.9174423974976893,0.009999999999999998,0.9709447753380303,0.14967343058688834,526.4212705344737,100.00000028144093,0.9125499813076454
0.0007,2.999243644932069,0.009999999999999998,0.9131877698412088,0.18372295538338887,540.5421957610185,137.19265143941843,0.8971644376131294
0.0008,2.9888705427919353,0.009999999999999998,0.9153315693394852,0.17393795231350123,540.9567561306859,135.68991380589242,0.8997169121617622
0.0009,2.9999999999999734,0.009999999999999998,0.9168058353387204,0.16627798339007582,541.4245560928207,133.1756881100482,0.9040088790118366
0.001,2.9999999506740376,0.009999999999999998,0.9175781456128185,0.15974745413945482,541.8674590997003,131.64519643344934,0.9090794332810931
0.002,2.9999999929476666,0.008308897937531362,0.7947145092193947,0.2279963274114448,565.3844392925487,180.15798062807227,0.9652549898777009
0.003,2.9999999104339174,0.0079488195357246,0.7527176087339928,0.24861990149304816,572.7456042442501,194.87106113868327,0.9944134015206327
0.004,2.623066804882344,0.007410196151587428,0.7447889036675223,0.2427038372583579,577.7897134546708,194.37767442984145,0.9999999999999923
0.005,2.561935017973984,0.009026322852666078,0.8809688986128318,0.12491111231917583,558.66808431947,138.04573050297435,0.9945328910083642
0.01,1.506850647863381,0.00794924628222566,0.9065384935087777,0.09405989210240061,563.8790272682613,101.16834021364711,0.9953360915868584
0.011,0.8048167186975101,0.004465171760041886,0.8326180411019358,0.12350568916051312,585.7048558852335,115.96720945676987,0.9999999999999885
0.012,0.7661493095652091,0.0040479833824202715,0.8147009260241215,0.1286635314371024,588.3091172816484,117.89029825308664,0.9999999999999984
0.013,0.9320784800113437,0.0059665193581529335,0.8856276646635675,0.10005775419141989,575.1767610741257,100.08030079806747,0.9999999999999681
