PEEQ,C1,C2,C3,C4,C5,C6,C7,R²
0.00011,1.746183662773493e-14,0.00010078137340030252,1.9496673778010145e-13,1.5276904904216573,523.3790304238165,202.89785253515018,0.32530330592394335,0.9956540274751808
0.0002,0.30982417952970454,0.009999999999999998,0.9999999998640283,0.254885909200801,520.4490651335885,256.0139360784862,3.454695555488901,0.9924949946197434
0.0003,0.9923613239790124,0.009999999999999998,0.9999999999999999,0.18968373193888846,520.7460039811303,118.62667015263773,1.5521201321202565,0.9759239679557801
0.0004,1.212907710444511,0.009999999999999998,0.9999999999999999,0.4042977756957237,522.0241988008983,100.00000005059182,4.999999999999044,0.9692628347164571
0.0005,1.3933396094537003,0.009999999999999998,0.9955696427274785,0.3678063385378592,522.1654806024319,100.00045416000165,4.999983258655906,0.9533952040984607
0.0006,1.5697540622037147,0.009999999999999998,0.9900955297676974,0.34939981262748887,522.3805903564943,100.00000003993053,4.999999237560485,0.9416564983363456
0.0007,2.999999999999999,0.009999999999999998,0.9130631241706918,0.18380961805585505,540.5331833041724,140.97609736809494,1.054077581701067,0.8971661251419499
0.0008,2.9999999999925144,0.009999999999999998,0.915417385167915,0.17413035103163588,540.9779654151724,140.73003109868893,1.0863721748469084,0.8998202485798135
0.0009,2.9999999999990212,0.009999999999885002,0.9168079096523368,0.1662765217253288,541.4240393694877,127.13122465846891,0.9113225269942338,0.9040088798887946
0.001,2.999999999902908,0.009999999999999998,0.9175738786588551,0.1597483185398998,541.8737755033019,130.86273581769228,0.9880273940855828,0.9090794458519937
0.002,2.9999999980329943,0.008302202500768826,0.7940753503921332,0.22854265372975263,565.4648612498999,148.32997617637605,0.6764140220083842,0.9652550988663791
0.003,2.7284542959978593,0.007146699387963227,0.6952029416151707,0.29322847812516467,580.0548697854234,100.24920395131296,0.22996994543242213,0.9927255370279786
0.004,2.665073030280618,0.006643305502167359,0.6314032330742604,0.33582756661507707,588.3561806554486,132.01576758221034,0.34222401813862013,0.9999999999999917
0.005,0.9773348259921966,0.0028910357491276507,0.6360706923960042,0.20922320533327118,599.7465752736565,122.03725596592797,0.5876771570330837,0.9846542812986107
0.01,0.8192815409321409,0.004328925509907765,0.8211575962328947,0.12946275298873625,587.2387670134751,153.66064082045895,1.6342805606587114,0.9999999999999906
0.011,0.7875765282335445,0.004164483462684431,0.8175883363007048,0.12895039754024948,587.9294316429989,136.11568683651464,1.3127392519404757,0.999999999999965
