PEEQ,C1,C2,C3,C4
1.1,2.720485115563271,0.0071431463348917,-0.0021935125677523,1.0808021446942704
1.11,2.7264505254787257,0.0071624461795043,-0.002111363894831,1.0815829643317847
1.12,2.7323176453695246,0.0071817432683287,-0.002012734912254,1.082332558070363
1.13,2.738087284524287,0.0072010650136679,-0.001896418944859,1.0830502887882465
1.14,2.7437603002778785,0.0072204370903606,-0.0017611576550515,1.0837354755334792
1.15,2.7493375933634447,0.0072398833899611,-0.0016056403812813,1.0843873928091856
1.16,2.754820103527992,0.0072594259858589,-0.0014285035708211,1.0850052698244546
1.17,2.760208805407524,0.0072790851091212,-0.0012283303159499,1.0855882897160305
1.18,2.765504704656165,0.0072988791347776,-0.0010036500030613,1.0861355887465285
1.19,2.7707088343224022,0.0073188245782055,-0.0007529380846372,1.086646255485436
1.2,2.7758222514644983,0.0073389361012164,-0.0004746159844416,1.0871193299797837
1.21,2.7808460339962884,0.0073592265273975,-0.0001670511466935,1.0875538029220269
1.22,2.7857812777539097,0.0073797068662138,0.0001714427596253,1.0879486148234254
1.23,2.7906290937735414,0.0074003863453403,0.0005426054697987,1.0883026552019723
1.24,2.7953906057699265,0.007421272450659,0.000948229573854,1.0886147617947937
1.25,2.800066947805256,0.0074423709733296,0.001390159776281,1.0888837198058412
1.26,2.8046592621379616,0.0074636860633216,0.0018702919524902,1.0891082612006784
1.27,2.809168697241005,0.0074852202887786,0.0023905719892643,1.0892870640612018
1.28,2.813596405979414,0.0075069747005792,0.0029529943962585,1.0894187520142289
1.29,2.817943543937014,0.00752894890145,0.0035596006754723,1.089501893749052
1.3,2.822211267882615,0.0075511411189928,0.0042124774355453,1.089535002640264
1.31,2.8264007343662305,0.0075735482819889,0.0049137542377508,1.0895165364934258
1.32,2.830513098436281,0.0075961660993575,0.0056656011606613,1.0894448974324589
1.33,2.8345495124691507,0.0076189891411591,0.0064702260706753,1.0893184319489784
1.34,2.8385111251028734,0.0076420109210529,0.0073298715859202,1.0891354311351675
1.35,2.8423990802671715,0.0076652239796408,0.0082468117215048,1.0888941311231624
1.36,2.846214516302511,0.0076886199681567,0.0092233482046952,1.0885927137553078
1.37,2.8499585651612813,0.007712189731985,0.010261806449348,1.088229307510996
1.38,2.853632351684634,0.0077359233935285,0.0113645311798647,1.087801988717138
1.39,2.857236992948974,0.0077598104339732,0.0125338816960515,1.087308783070548
1.4,2.860773597676471,0.0077838397735349,0.0137722267715829,1.086747667501718
1.41,2.8642432657044057,0.0078079998498076,0.0150819391803036,1.0861165724104664
1.42,2.8676470875085216,0.0078322786938689,0.0164653898463577,1.0854133843048548
1.43,2.8709861437759328,0.0078566640038354,0.0179249416161326,1.0846359488754316
1.44,2.874261505023484,0.0078811432155976,0.0194629426522472,1.0837820745373108
1.45,2.877474231257789,0.007905703570499,0.0210817194523112,1.082849536472745
1.46,2.880625371673483,0.0079303321797626,0.0227835694979429,1.081836081206662
1.47,2.8837159643865107,0.0079550160855007,0.0245707535425512,1.0807394317470569
1.48,2.8867470361995347,0.0079797423181794,0.0264454875496698,1.079557293321085
1.49,2.8897196023968115,0.0080044979504403,0.0284099342971673,1.0782873597361693
1.5,2.8926346665661025,0.008029270147216,0.0304661946664395,1.0769273203932848
1.51,2.8954932204453945,0.0080540462121023,0.0326162986396978,1.0754748679768538
1.52,2.898296243792414,0.0080788136299795,0.0348621960326907,1.0739277068421884
1.53,2.901044704275077,0.0081035601059016,0.0372057469945927,1.072283562117221
1.54,2.903739557381209,0.0081282736002939,0.0396487123113443,1.0705401895302111
1.55,2.906381746345977,0.0081529423605233,0.0421927435533802,1.0686953859692137
1.56,2.9089722020956543,0.0081775549489245,0.0448393731133977,1.0667470007722948
1.57,2.9115118432064264,0.0082021002673829,0.0475900041845348,1.0646929477397218
1.58,2.91400157587708,0.008226567578589,0.0504459007339875,1.062531217850669
1.59,2.9164422939145,0.0082509465240965,0.0534081775316295,1.0602598926573268
1.6,2.91883487873101,0.0082752271393226,0.0564777902975315,1.057877158318727
1.61,2.9211801993526585,0.0082993998656413,0.0596555260363248,1.0553813202251467
1.62,2.923479112437622,0.008323455559728,0.062941993630039,1.052770818151675
1.63,2.925732462303994,0.0083473855003189,0.0663376147642682,1.0500442418665532
1.64,2.927941080966247,0.0083711813925506,0.0698426152651975,1.047200347106351
1.65,2.930105788179736,0.0083948353700525,0.0734570169270606,1.0442380718160749
1.66,2.932227391492665,0.0084183399949597,0.077180629910909,1.0411565525381477
1.67,2.9343066863049523,0.0084416882560182,0.0810130457960619,1.0379551408200622
1.68,2.9363444559334986,0.0084648735649496,0.0849536313652035,1.0346334194967082
1.69,2.938341471683393,0.0084878897512418,0.0890015232027185,1.0311912186901546
1.7,2.940298492924615,0.0085107310555258,0.0931556231834458,1.027628631357441
1.71,2.942216267173817,0.0085333921216954,0.0974145949255454,1.0239460282059838
1.72,2.9440955301808174,0.0085558679879225,0.1017768612765669,1.0201440717869807
1.73,2.9459370060194487,0.0085781540767111,0.1062406028960781,1.016223729570039
1.74,2.9477414071824133,0.0086002461841285,0.1108037579913502,1.0121862857975576
1.75,2.949509434679842,0.0086221404683456,0.1154640232546423,1.008033351915568
1.76,2.9512417781412594,0.0086438334376092,0.1202188560416178,1.0037668753790585
1.77,2.952939115920679,0.0086653219377617,0.1250654778204382,0.9993891466346696
1.78,2.9546021152045543,0.0086866031394171,0.1300008789102138,0.9949028040922172
1.79,2.9562314321223493,0.0087076745248928,0.1350218245158569,0.9903108369090196
1.8,2.957827711859496,0.0087285338749883,0.1401248620541323,0.985616585427556
1.81,2.959391588772493,0.0087491792556973,0.1453063297529879,0.9808237391275496
1.82,2.9609236865059785,0.0087696090049269,0.1505623664932535,0.9759363319780732
1.83,2.9624246181115224,0.0087898217192953,0.1558889228487243,0.970958735103504
1.84,2.9638949861680044,0.008809816241068,0.1612817732676808,0.9658956467087336
1.85,2.965335382903355,0.0088295916452876,0.1667365293262762,0.960752079243568
1.86,2.966746390317516,0.0088491472271455,0.1722486539721368,0.9555333438231276
1.87,2.9681285803064497,0.0088684824896364,0.1778134766651972,0.950245031959638
1.88,2.9694825147870376,0.0088875971315311,0.1834262093124213,0.9448929947004828
1.89,2.9708087458227364,0.008906491035698,0.1890819628838377,0.9394833193070043
1.9,2.972107815749849,0.0089251642577966,0.1947757645894144,0.9340223036473424
