strain,RD,DD,TD,biaxial
0.0,663.1938575050821,5930.43066120886,-1385643.7441823212,928.1979639332928
0.00011,687.9167583113174,739.9795847587721,819.2015676270983,721.0012086547654
0.0002,702.7533844828603,662.9248104229515,699.9399039394767,671.6404240882451
0.0003,716.0714578630376,657.1645202491441,678.6351191781031,655.202182601777
0.0004,727.213165551665,668.3574992667182,682.5867461676497,645.5390165554433
0.0005,736.8368884504109,682.4701980003721,692.8151764234242,643.3018157028721
0.0006,745.3382278375617,696.2516201672672,704.4685699819156,645.5757079503115
0.0007,752.9738291525285,709.0346221015287,716.1683854507529,645.5318037184478
0.0008,759.919840714023,720.7901204540569,727.5072485673124,651.5991318532848
0.0009,766.3025073455397,731.6239204370739,738.3670816851567,654.4215598170646
0.001,772.2154679845253,741.6512489957572,748.7211179989649,659.849273078421
0.002,815.9102755003793,812.812447000321,827.935770779875,724.7477525167584
0.003,845.2161755862055,854.2608667485246,876.3478508018499,780.7519741377415
0.004,867.4493037630518,881.2220069811613,907.4203848810572,828.5172832432237
0.005,885.295554289756,900.3236988411389,928.6168897102456,860.1691797859564
0.01,941.1906261165894,951.6782119471171,980.5881045209237,920.5237486162629
0.011,948.5893234432926,958.0917186868033,986.7757608608538,929.4582035611437
0.012,955.2279051838304,963.8359435778191,992.3308162671784,937.5909555882884
0.013,961.228715933483,969.027194979333,997.3766292904035,945.0335890847488
0.014,966.6898306726628,973.7546330190286,1002.0022754101949,951.8756248464824
0.015,971.6907844711576,978.0886178002171,1006.2748326623752,958.1922301951213
0.016,976.2966933293662,982.0858460087437,1010.2465625014423,964.0457098958091
0.017,980.561297224657,985.7926950306974,1013.9592601098469,969.4905849908122
0.018,984.5292559693478,989.2475200607832,1017.4470049278856,974.5716024694763
0.019,988.2379119191824,992.4823072761229,1020.7379832025686,979.3260808111356
0.02,991.7186629174048,995.5239091257835,1023.8557538749901,990.0054267194728
0.021,994.9980444294454,998.39499420585,1026.8201667301355,993.8610872662807
0.022,998.0985909508142,1001.1147932755717,1029.648053251157,997.5025609872288
0.023,1001.0395274491328,1003.69969425442,1032.3537618370494,1000.9492814922636
0.024,1003.8373283269368,1006.1637221389221,1034.9495816932583,1004.218613248518
0.025,1006.5061720561674,1008.518929350176,1037.446084017886,1007.3254278318348
0.026,1009.0583129312964,1010.7757152696562,1039.8523998367089,1010.2836157080084
0.027,1011.5043864843976,1012.9430891419006,1042.176448158499,1013.1044588707502
0.028,1013.853661459808,1015.0288872893666,1044.4251244897655,1015.7979941129238
0.029,1016.1142484965932,1017.0399532233711,1046.6044573196896,1018.3753404937055
0.03,1018.2932735673542,1018.9822874635634,1048.7197384903134,1021.113294956616
0.031,1020.3970226007,1020.8611725215092,1050.7756321353002,1023.4672729248409
0.032,1022.4310624509434,1022.6812774480305,1052.7762659460225,1025.7265770722036
0.033,1024.4003423850547,1024.4467455121487,1054.7253078112199,1027.899546779758
0.034,1026.3092794701893,1026.1612679180305,1056.6260303165536,1029.990410089072
0.035,1028.161830618052,1027.828145936501,1058.481365143802,1032.0034743694334
0.036,1029.9615535397625,1029.4503434006651,1060.293949049522,1033.9442428374493
0.037,1031.7116584600612,1031.0305311694772,1062.066162810713,1035.8174623910716
0.038,1033.415052112104,1032.5711248819432,1063.8001642862237,1037.6271986095173
0.039,1035.074375268052,1034.0743170953228,1065.497916546907,1039.3758832643068
0.04,1036.692034843772,1035.542104713008,1067.1612118663793,1041.0674272422914
0.041,1038.2702314386108,1036.9763124537742,1068.7916922314378,1042.7052370220904
0.042,1039.8109830257736,1038.378612987461,1070.3908669213508,1044.291235263189
0.043,1041.3161453892574,1039.7505442577647,1071.960127614393,1045.8299854750583
0.044,1042.787429804709,1041.0935244266345,1073.5007614046167,1047.3215858758938
0.045,1044.2264183801783,1042.4088648034603,1075.01396204933,1048.7708797857247
0.046,1045.634577405315,1043.697781063143,1076.5008397157626,1050.2404627412361
0.047,1047.013269001655,1044.9614030080818,1077.9624294521439,1051.8201853918822
0.048,1048.3637613201936,1046.2007830883633,1079.3996985724134,1053.364255343712
0.049,1049.6872374937234,1047.4169038604284,1080.8135531137048,1054.8753513755992
0.05,1050.984803519199,1048.6106845362488,1082.2048435007007,1056.3548965085063
0.051,1052.2574952183916,1049.7829867513547,1083.574369529985,1057.803077366229
0.052,1053.5062844025642,1050.9346196603071,1084.922884769974,1059.2219221207836
0.053,1054.7320843479802,1052.066344451653,1086.2511004573525,1060.611227917923
0.054,1055.9357546731644,1053.1788783605134,1087.5596889585995,1061.9736836221546
0.055,1057.1181056955072,1054.272898245302,1088.8492868548747,1063.3097738648532
0.056,1058.2799023335149,1055.3490437852531,1090.120497699843,1064.6208574343239
0.057,1059.421867611532,1056.4079203471806,1091.3738944926924,1065.9061076734415
0.058,1060.5446858157309,1057.4501015629442,1092.6100219024738,1067.1686576452141
0.059,1061.6490053433463,1058.4761316531499,1093.8293982746495,1068.40742594515
0.06,1062.735441281382,1059.4865275277061,1095.0325174463844,1069.625316943253
0.061,1063.8045777460993,1060.4817806895608,1096.2198503933794,1070.821029484693
0.062,1064.8569700104188,1061.4623589643938,1097.391846727884,1071.9952108708349
0.063,1065.8931464428165,1062.428708075989,1098.5489360648885,1073.1504696244774
0.064,1066.9136102782309,1063.3812530843722,1099.6915292711726,1074.2862518729278
0.065,1067.918841238903,1064.3203997016267,1100.8200196099972,1075.4039692325753
0.066,1068.9092970208208,1065.246535498351,1101.9347837925304,1076.5029103512863
0.067,1069.8854146595172,1066.1600310121294,1103.036182945716,1077.584344594444
0.068,1070.84761178732,1067.061240767967,1104.1245635050689,1078.64844265566
0.069,1071.7962877926925,1067.9505042194332,1105.2002580398282,1079.6963476364342
0.07,1072.7318248910933,1068.828146618228,1106.2635860170312,1080.7291372398347
0.071,1073.6545891156843,1069.6944798189827,1107.3148545102763,1081.6737465351514
0.072,1074.5649312352905,1070.5498030253202,1108.3543588582816,1082.6765763928172
0.073,1075.463187606192,1071.3944034825297,1109.3823832777705,1083.6651028496774
