strain,RD,DD,TD,biaxial
0.0,668.6095700071284,5978.8591970147445,-1396959.060305696,935.7777285236319
0.00011,700.019434431093,752.9982140353227,833.6139672815874,733.6859470404618
0.0002,716.1123804235483,675.5266847745614,713.2454169998426,684.4079779657685
0.0003,729.5100843896498,669.4976309424873,691.3711720040235,667.4984657935177
0.0004,740.1459107984755,680.2435564522403,694.7258560122009,657.0192702739727
0.0005,748.9893864435708,693.7260374427117,704.241633449514,653.911659138868
0.0006,756.572264100652,706.7458034213416,715.0866023943212,655.306083560758
0.0007,763.2185664879742,718.6815356912648,725.912358896883,654.3147169017855
0.0008,769.1407240436464,729.5362029350816,736.334836822136,659.5056494234243
0.0009,774.4857359248456,739.4368216316211,746.2519920788272,661.4100286787411
0.001,779.3596437601508,748.5126589347045,755.6479350541429,665.9538894552396
0.002,813.428754812796,810.3403480907693,825.4176755862333,722.5434947752477
0.003,834.8662571649257,843.8001934477481,865.61671594375,771.1914386522791
0.004,850.7580901655771,864.2657829326655,889.9600590717581,812.5751885480971
0.005,863.50910695833,878.1674203520039,905.7643374064269,839.0010733375318
0.01,906.05091271117,916.1469404979036,943.9774711322308,886.1556410175681
0.011,912.329935415376,921.4691059969451,949.0567139294392,893.9300937397933
0.012,918.1706065164964,926.4447029810514,953.8341399916509,901.2178682020485
0.013,923.6393176032326,931.1328326687463,958.3736461478629,908.0775104463
0.014,928.7876720597694,935.5754762929821,962.7155797524465,914.5543044312531
0.015,933.6565619406098,939.8039692900885,966.8869105743823,920.6863722692196
0.016,938.278939966446,943.8426585331724,970.9067748002865,926.5050193661572
0.017,942.6817562898696,947.7110627550617,974.7895402685202,932.0387108407797
0.018,946.8873437161024,951.4252124746001,978.5465348305142,937.3104052808343
0.019,950.9144287799096,954.9985230427203,982.1870467871763,942.3391771271636
0.02,955.3133053720056,958.9788634269348,986.270664284075,953.6629609786524
0.021,958.7377154805288,962.0108715298954,989.4001564844207,957.642192007579
0.022,962.0142228951815,964.9213801257935,992.423074017506,961.4397412683768
0.023,965.1555200000588,967.7203284874782,995.3472410513629,965.0685090668821
0.024,968.1727149341256,970.416455976023,998.1796034601713,968.5404534583603
0.025,971.075586086275,973.0174911865049,1000.9263649248244,971.8660027817688
0.026,973.87278730569,975.5303043993505,1003.5930947079339,975.0553641847044
0.027,976.5720148762616,977.9610318413078,1006.184814849965,978.1168286557838
0.028,979.1801445141392,980.3151779428956,1008.7060718995375,981.0579815241869
0.029,981.7033446355802,982.5977001942856,1011.1609966905119,983.8878643186554
0.03,984.1471706722308,984.8130800856678,1013.5533546712529,986.8726291855278
0.031,986.5166441238172,986.9653828128814,1015.8865886331016,989.4849525168306
0.032,988.8163192252108,989.0583078360042,1018.1638552382648,992.0034863188394
0.033,991.0503394905209,991.0952319343801,1020.3880564329686,994.4356250667082
0.034,993.2224859281754,993.0792460640117,1022.5618666033997,996.7849419806048
0.035,995.3362183601544,995.0131870637485,1024.6877561615133,999.0552118589584
0.036,997.3947109984356,996.899665055029,1026.7680121176593,1001.2514697555084
0.037,999.4008832125468,998.7410872218667,1028.8047560957907,1003.3781030503781
0.038,1001.3574262493552,1000.5396785327833,1030.799960167154,1005.4389075157783
0.039,1003.2668265290756,1002.2974998668841,1032.7554608146152,1007.4361503765281
0.04,1005.1313860319156,1004.0164639264815,1034.6729712883318,1009.3735756872263
0.041,1006.9532402016604,1005.6983492543061,1036.5540925717037,1011.2544742227971
0.042,1008.7343737212592,1007.3448126210968,1038.4003231422892,1013.0807256146308
0.043,1010.476634457534,1008.9574000067303,1040.2130676842141,1014.8567931236369
0.044,1012.181745824751,1010.5375563630863,1041.993644885244,1016.5828249678253
0.045,1013.8513177778868,1012.0866343180047,1043.7432944322732,1018.2635870937227
0.046,1015.4868566142776,1013.6059019558207,1045.4631833027536,1019.9599451317849
0.047,1017.0897737356976,1015.0965497900933,1047.1544114359554,1021.7593091164329
0.048,1018.661393500714,1016.559697027561,1048.8180168564606,1023.5202129278322
0.049,1020.2029602785984,1017.9963972084045,1050.4549803125763,1025.2453471453662
0.05,1021.7156448004966,1019.4076432962163,1052.0662294841072,1026.9361846245138
0.051,1023.2005498904016,1020.7943722811319,1053.6526428068987,1028.592996823699
0.052,1024.6587156473804,1022.1574693511884,1055.215052955546,1030.2178452796993
0.053,1026.0911241410558,1023.4977716798184,1056.7542500205336,1031.8106211812913
0.054,1027.4987036743114,1024.8160718712845,1058.2709844116216,1033.374027187611
0.055,1028.88233266033,1026.113121100621,1059.7659695154925,1034.9086205034882
0.056,1030.2428431551807,1027.3896319801513,1061.2398841323622,1036.415807034559
0.057,1031.5810240821213,1028.646281180789,1062.6933747133933,1037.894862986107
0.058,1032.8976241794144,1029.883711832979,1064.1270574182754,1039.3489174222277
0.059,1034.193354699694,1031.1025357292178,1065.5415200101447,1040.7769935854956
0.06,1035.468891885649,1032.3033353476133,1066.9373236031408,1042.1819943565945
0.061,1036.7248792439525,1033.4866657137093,1068.3150042762327,1043.562723556323
0.062,1037.961929636894,1034.6530561159136,1069.675074565483,1044.9198802972703
0.063,1039.180627209019,1035.8030116881935,1071.01802484566,1046.256073449522
0.064,1040.3815291641788,1036.9370148722087,1072.344324610947,1047.5708274001156
0.065,1041.5651674067512,1038.0555267698012,1073.65442366354,1048.8655804069992
0.066,1042.7320500593316,1039.158988395589,1074.9487532180108,1050.1396982269573
0.067,1043.8826628679064,1040.2478218384329,1076.2277269285537,1051.3944761626624
0.068,1045.017470504401,1041.322431339649,1077.4917418455277,1052.6301358847336
0.069,1046.1369177754827,1042.383204295054,1078.7411793070933,1053.8478460081174
0.07,1047.2414307456208,1043.4305121872374,1079.976405771194,1055.0487099107243
0.071,1048.3314177816162,1044.4647114538384,1081.1977735926432,1056.1614356963053
0.072,1049.4072705251122,1045.4861442970398,1082.4056217496272,1057.3290062497674
0.073,1050.4693647989802,1046.4951394390205,1083.6002765235596,1058.4806670873802
0.074,1051.5180614529152,1047.4920128276524,1084.7820521358578,1059.616318157006
0.075,1052.5537071530755,1048.4770682963308,1085.9512513448876,1060.7368222219625
0.076,1053.5766351201712,1049.4505981815025,1087.108166006068,1061.8430009818105
0.077,1054.5871658199865,1050.4128839011,1088.2530775978296,1062.9336206187795
0.078,1055.5856076099844,1051.3641964968365,1089.3862577159266,1064.0114430807423
0.079,1056.5722573453063,1052.3047971430449,1090.5079685383625,1065.0741541282102
0.08,1057.547400947196,1053.2349376245174,1091.618463263024,1066.1244481696324
0.081,1058.5113139366213,1054.1548607856032,1092.7179865199387,1067.1619637820288
0.082,1059.4642619356134,1055.0648009525987,1093.8067747598955,1068.1863113544916
0.083,1060.4065011386608,1055.9649843313555,1094.8850566210738,1069.1990901518222
0.084,1061.3382787562682,1056.8556293818021,1095.953053275142,1070.1988439577567
0.085,1062.2598334326467,1057.7369471710072,1097.0109787542206,1071.187123490271
0.086,1063.1713956393196,1058.6091417062255,1098.059040259952,1072.1644454077395
0.087,1064.073188046301,1059.4724102492912,1099.0974384558706,1073.1302928671428
0.088,1064.9654258723667,1060.3269436136031,1100.126367744132,1074.0861516093735
