Strain;298.15;373.15;473.15;573.15;673.15;77.15;233.15
0.000;377.306;562.7919913;562.9815446;639.8655737;422.1026371;1068.442457;571.5473458
0.001;727.558;727.5450715;755.3554034;752.9907706;678.1714256;1150.593967;700.0829667
0.002;784.839;776.2370008;804.0818838;798.1961973;740.6971677;1193.762402;779.4483108
0.003;820.567;804.6611896;834.3723212;827.692672;765.6167986;1224.455474;830.6143445
0.004;844.964;823.6513182;856.7071695;849.9284515;781.6205296;1248.216974;865.066098
0.005;864.705;837.5596291;874.5520371;867.9477441;794.0151852;1267.382604;889.3957555
0.010;917.043;891.1623977;920.5376051;941.8297198;832.9778646;1326.506581;951.4564122
0.011;924.392;899.4681704;928.9513792;949.4995677;838.8539384;1337.24429;968.437032
0.012;931.174;907.1146601;936.7732084;956.6023006;844.2338326;1343.192572;975.7497702
0.013;937.459;914.1745173;944.06317;963.2166907;849.1959216;1348.876817;982.3721582
0.014;943.306;920.7088226;950.8717113;969.4052962;853.8012896;1354.320694;988.4478027
0.015;948.763;926.7697634;957.2419679;975.2187504;858.0984793;1359.544778;994.078973
0.016;953.871;932.4025041;963.2113664;980.6987073;862.1267126;1364.567065;999.3402141
0.017;958.663;937.6465349;968.8127667;985.8799195;865.9181386;1369.403394;1004.287196
0.018;963.169;942.5366729;974.0752986;990.7917407;869.4994416;1374.06778;1008.962523
0.019;967.416;947.1038242;979.0249916;995.4592335;872.8930157;1378.572685;1013.39958
0.020;971.424;951.375577;983.6852574;999.9040024;876.1178402;1382.929242;1017.625124
0.021;975.215;955.3766719;988.0772685;1004.144829;879.1901415;1387.147436;1021.661035
0.022;978.806;959.1293827;992.2202602;1008.198168;882.1239022;1391.236264;1025.525533
0.023;982.213;962.6538276;996.1317752;1012.078528;884.9312575;1395.203855;1029.234032
0.024;985.45;965.9682288;999.8278651;1015.798787;887.6228078;1399.057585;1032.799743
0.025;988.53;969.0891304;1003.323258;1019.370435;890.2078675;1402.804163;1036.234121
0.026;991.464;972.0315841;1006.6315;1022.803776;892.6946655;1406.449715;1039.547195
0.027;994.263;974.8093083;1009.765075;1026.108093;895.0905077;1409.999846;1042.747816
0.028;996.937;977.434826;1012.735511;1029.291783;897.4019109;1413.459698;1045.84385
0.029;999.493;979.9195848;1015.553467;1032.36247;899.634712;1416.834003;1048.842331
0.030;1001.941;982.2740621;1018.228815;1035.327103;901.7941604;1420.127123;1051.749579
0.031;1004.287;984.5078579;1020.770705;1038.192032;903.8849939;1423.343091;1054.571298
0.032;1006.539;986.6297773;1023.187633;1040.96308;905.9115037;1426.48564;1057.312662
0.033;1008.701;988.6479035;1025.487491;1043.645599;907.8775884;1429.558233;1059.978375
0.034;1010.78;990.5696633;1027.677614;1046.244521;909.7868011;1432.564091;1062.57273
0.035;1012.782;992.4018853;1029.764833;1048.764402;911.6423889;1435.506214;1065.099659
0.036;1014.711;994.150853;1031.755504;1051.209458;913.4473272;1438.387399;1067.562769
0.037;1016.571;995.8223519;1033.655553;1053.5836;915.2043492;1441.210261;1069.965381
0.038;1018.366;997.4217125;1035.470504;1055.890462;916.9159716;1443.977247;1072.310558
0.039;1020.101;998.9538488;1037.205509;1058.133426;918.5845171;1446.690651;1074.601133
0.040;1021.779;1000.423294;1038.865379;1060.315645;920.2121334;1449.352624;1076.839728
0.041;1023.403;1001.83423;1040.454603;1062.440063;921.800811;1451.965191;1079.028782
0.042;1024.977;1003.190522;1041.977376;1064.509432;923.3523978;1454.530255;1081.170558
0.043;1026.502;1004.495737;1043.437619;1066.526331;924.8686126;1457.04961;1083.267168
0.044;1027.983;1005.753175;1044.838996;1068.493174;926.3510569;1459.524949;1085.320583
0.045;1029.42;1006.965887;1046.184935;1070.412229;927.8012251;1461.957871;1087.332644
0.046;1030.756;1008.136694;1047.478643;1072.285626;929.2205144;1464.349887;1089.305076
0.047;1031.907;1009.268211;1048.723119;1074.115369;930.6102323;1466.702429;1091.239496
0.048;1033.02;1010.362857;1049.921174;1075.903343;931.9716051;1469.016851;1093.137423
0.049;1034.096;1011.422874;1051.075437;1077.651327;933.3057835;1471.294439;1095.000284
0.050;1035.137;1012.450342;1052.188372;1079.360998;934.6138494;1473.536415;1096.829422
0.051;1036.146;1013.447188;1053.262288;1081.033938;935.8968212;1475.743938;1098.626106
0.052;1037.124;1014.4152;1054.299349;1082.671642;937.1556583;1477.918112;1100.391531
0.053;1038.074;1015.35604;1055.301582;1084.275526;938.3912661;1480.059986;1102.126825
0.054;1038.996;1016.271251;1056.270891;1085.846928;939.6044995;1482.170561;1103.833058
0.055;1039.892;1017.162266;1057.209058;1087.387115;940.7961669;1484.250791;1105.511242
0.056;1040.763;1018.030417;1058.117758;1088.897289;941.9670335;1486.301585;1107.162334
0.057;1041.612;1018.876944;1058.998561;1090.378587;943.1178243;1488.323813;1108.787245
0.058;1042.438;1019.703002;1059.852942;1091.832092;944.2492268;1490.318306;1110.386837
0.059;1043.244;1020.509666;1060.682285;1093.258829;945.3618936;1492.285856;1111.961933
0.060;1044.029;1021.297935;1061.487891;1094.659773;946.4564447;1494.227225;1113.513314
0.061;1044.796;1022.068744;1062.270981;1096.035852;947.5334698;1496.14314;1115.041721
0.062;1045.546;1022.822964;1063.032703;1097.387947;948.5935299;1498.034297;1116.547865
0.063;1046.278;1023.561407;1063.774136;1098.716897;949.6371596;1499.901366;1118.032421
0.064;1046.994;1024.284831;1064.496294;1100.023501;950.6648684;1501.744987;1119.496034
0.065;1047.694;1024.993947;1065.200131;1101.308522;951.6771422;1503.565776;1120.939319
