Strain,Stress
0.00011,536.8129
0.0002,559.97015
0.0003,577.5743
0.0004,590.7869
0.0005,599.4923
0.0006,606.58496
0.0007,612.6037
0.0008,618.3843
0.0009,623.87683
0.001,629.0216
0.002,660.48395
0.003,670.8823
0.004,678.0487
0.005,684.35583
0.01,705.9089
0.011,710.12317
0.012,714.04004
0.013,717.8067
0.014,721.4093
0.015,724.76
0.016,727.8944
0.017,730.8365
0.018,733.4317
0.019,735.7951
0.02,738.0407
0.021,740.2449
0.022,742.36694
0.023,744.3977
0.024,746.3408
0.025,748.1997
0.026,749.98236
0.027,751.7213
0.028,753.41003
0.029,755.0051
0.03,756.5454
0.031,758.03455
0.032,759.4757
0.033,760.8718
0.034,762.2262
0.035,763.54596
0.036,764.82806
0.037,766.0796
0.038,767.29785
0.039,768.4842
0.04,769.65704
0.041,770.8045
0.042,771.9245
0.043,773.0265
0.044,774.10266
0.045,775.15454
0.046,776.18286
0.047,777.1892
0.048,778.17957
0.049,779.14923
0.05,780.0989
0.051,781.0296
0.052,781.9419
0.053,782.8367
0.054,783.7144
0.055,784.5758
0.056,785.3952
0.057,786.1858
0.058,786.9646
0.059,787.7298
0.06,788.48206
0.061,789.23004
0.062,789.9708
0.063,790.6997
0.064,791.4167
0.065,792.12256
0.066,792.8175
0.067,793.5018
0.068,794.1758
0.069,794.83984
0.07,795.49414
0.071,796.14087
0.072,796.77966
0.073,797.40955
0.074,798.0308
0.075,798.6436
0.076,799.24805
0.077,799.8446
0.078,800.43335
0.079,801.0144
0.08,801.58813
0.081,802.17236
0.082,802.79285
0.083,803.4102
0.084,804.0213
0.085,804.625
0.086,805.2216
0.087,805.81116
0.088,806.3939
0.089,806.97
0.09,807.5394
0.091,808.10266
0.092,808.6594
0.093,809.2102
0.094,809.755
0.095,810.29395
0.096,810.8271
0.097,811.3547
0.098,811.8767
0.099,812.39343
0.1,812.90485
0.11,817.75085
0.12,822.16864
0.13,826.2273
0.14,829.9805
0.15,833.47076
