Strain,Stress
2.39,1151.9434
2.4,1152.1277
2.41,1152.3113
2.42,1152.4941
2.43,1152.6761
2.44,1152.8575
2.45,1153.0381
2.46,1153.2179
2.47,1153.397
2.48,1153.5754
2.49,1153.7529
2.5,1153.9299
2.51,1154.106
2.52,1154.2815
2.53,1154.4563
2.54,1154.6304
2.55,1154.8037
2.56,1154.9764
2.57,1155.1484
2.58,1155.3198
2.59,1155.4905
2.6,1155.6604
2.61,1155.8297
2.62,1155.9984
2.63,1156.1665
2.64,1156.3339
2.65,1156.5005
2.66,1156.6667
2.67,1156.8322
2.68,1156.997
2.69,1157.1611
2.7,1157.3237
2.71,1157.4854
2.72,1157.6465
2.73,1157.8069
2.74,1157.9669
2.75,1158.1262
2.76,1158.2849
2.77,1158.4431
2.78,1158.6006
2.79,1158.7576
2.8,1158.9141
2.81,1159.0698
2.82,1159.2251
2.83,1159.3796
2.84,1159.533
2.85,1159.6855
2.86,1159.8375
2.87,1159.989
2.88,1160.1401
2.89,1160.2905
2.9,1160.4404
2.91,1160.5898
2.92,1160.7386
2.93,1160.887
2.94,1161.0349
2.95,1161.1821
2.96,1161.3291
2.97,1161.4753
2.98,1161.6212
2.99,1161.7666
3.0,1161.9114
