strain,m_estimated
0.0,-0.021403230908642004
0.00011,-0.005476837766039723
0.0002,-0.00263794654211779
0.0003,-0.0018809938043658186
0.0004,-0.0018733929027181188
0.0005,-0.002055683133372592
0.0006,-0.0022595068771007324
0.0007,-0.002441300696027285
0.0008,-0.0025966625447200326
0.0009,-0.0027315859418327562
0.001,-0.0028531450616732356
0.002,-0.003939592404296167
0.003,-0.004924330784709351
0.004,-0.0057090592337162935
0.005,-0.006316100401597904
0.01,-0.007865796997938138
0.011,-0.008014778182749458
0.012,-0.00813447360581805
0.013,-0.008230579361329624
0.014,-0.008307541990797564
0.015,-0.008368875465967407
0.016,-0.008417386754063724
0.017,-0.00845533914667962
0.018,-0.008484572469804396
0.019,-0.008506592903439601
0.02,-0.00847056500310868
0.021,-0.008510112124110923
0.022,-0.008546382031245607
0.023,-0.008579852782078633
0.024,-0.008610920765363869
0.025,-0.00863991576887521
0.026,-0.008667113006970593
0.027,-0.008692742783539313
0.028,-0.00871699830124895
0.029,-0.008740042006984876
0.03,-0.008762010773578703
0.031,-0.008783020150446044
0.032,-0.008803167864937135
0.033,-0.008822536717468021
0.034,-0.008841196983543425
0.035,-0.008859208413043695
0.036,-0.008876621898875826
0.037,-0.008893480873312464
0.038,-0.008909822479059165
0.039,-0.008925678553441252
0.04,-0.008941076456950138
0.041,-0.008956039771868395
0.042,-0.008970588892136632
0.043,-0.00898474152186632
0.044,-0.00899851309710487
0.045,-0.009011917142826948
0.046,-0.009024965575249694
0.047,-0.00903766895789568
0.048,-0.009050036718490683
0.049,-0.009062077332589145
0.05,-0.009073798479001966
0.051,-0.009085207171185408
0.052,-0.009096309868267715
0.053,-0.009107112568689783
0.054,-0.009117620889020054
0.055,-0.009127840130198827
0.056,-0.009137775333048825
0.057,-0.009147431324670472
0.058,-0.009156812756999262
0.059,-0.009165924138823025
0.06,-0.009174769862155577
0.061,-0.009183354223799877
0.062,-0.009191681442940075
0.063,-0.009199755675252346
0.064,-0.009207581024194767
0.065,-0.009215161549790301
0.066,-0.009222501275442616
0.067,-0.009229604193020319
0.068,-0.009236474266507647
0.069,-0.00924311543452374
0.07,-0.009249531611838693
0.071,-0.009255726690128616
0.072,-0.00926170453810052
0.073,-0.009267469001085448
0.074,-0.009273023900258841
0.075,-0.009278373031553634
0.076,-0.009283520164346706
0.077,-0.009288469039982834
0.078,-0.009293223370185122
0.079,-0.009297786835421016
