strain,m_estimated
0.0,0.0072987926106027326
0.00011,0.024279684194843318
0.0002,0.031630039947998324
0.0003,0.03693218367330973
0.0004,0.040671206544667104
0.0005,0.04353341680363807
0.0006,0.045861254242454304
0.0007,0.04783950113185349
0.0008,0.049574258179551654
0.0009,0.05112993738164036
0.001,0.05254774516245215
0.002,0.06272229633186856
0.003,0.06938909834024552
0.004,0.07432389644561445
0.005,0.07818490859540972
0.01,0.0897935539078994
0.011,0.09130188343487708
0.012,0.09265523122142573
0.013,0.09387970952458959
0.014,0.09499572735010395
0.015,0.09601949914625758
0.016,0.09696408615318688
0.017,0.09784013505630476
0.018,0.09865641438506816
0.019,0.0994202119876224
0.02,0.10013763473507861
0.021,0.10081383793533881
0.022,0.10145320325841753
0.023,0.1020594783208209
0.024,0.10263588730305208
0.025,0.10318521940088479
0.026,0.10370990012122724
0.027,0.10421204916624532
0.028,0.1046935277377043
0.029,0.10515597742785196
0.03,0.10560085237069303
0.031,0.1060294459587218
0.032,0.10644291315099001
0.033,0.10684228918490078
0.034,0.10722850533939798
0.035,0.10760240226907392
0.036,0.10796474132826613
0.037,0.10831621422494504
0.038,0.10865745128123028
0.039,0.10898902852708864
0.04,0.10931147381338185
0.041,0.10962527209784902
0.042,0.10993087003119482
0.043,0.11022867994895351
0.044,0.110519083357229
0.045,0.11080243398600009
0.046,0.11107906047181527
0.047,0.11134926872190691
0.048,0.11161334400364038
0.049,0.11187155279646592
0.05,0.11212414443792673
0.051,0.11237135259057794
0.052,0.11261339655273635
0.053,0.11285048243267556
0.054,0.11308280420309638
0.055,0.1133105446503503
0.056,0.11353387623090383
0.057,0.11375296184584076
0.058,0.11396795554276372
0.059,0.11417900315322972
0.06,0.11438624287280658
0.061,0.11458980578994049
0.062,0.11478981636905257
0.063,0.11498639289262033
0.064,0.11517964786642572
0.065,0.11536968839165772
0.066,0.1155566165071265
0.067,0.11574052950447537
0.068,0.11592152021895108
0.069,0.11609967729800864
0.07,0.11627508544978146
0.071,0.11644782567322867
0.072,0.11661797547158183
0.073,0.11678560905054397
0.074,0.11695079750254903
0.075,0.11711360897825407
0.076,0.11727410884632597
0.077,0.11743235984247832
0.078,0.11758842220862323
0.079,0.11774235382292232
