strain,m_estimated
0.0,-0.025401591478406354
0.00011,-0.006685065493348239
0.0002,0.01725646262258477
0.0003,0.028457659418803495
0.0004,0.03431146588984846
0.0005,0.03795837908602659
0.0006,0.040523830747581153
0.0007,0.042490073632280974
0.0008,0.044091578230780804
0.0009,0.0454534576922325
0.001,0.0466473937760497
0.002,0.054465168211819445
0.003,0.05918400458567287
0.004,0.06259464636213673
0.005,0.06526478285934852
0.01,0.07359662459735129
0.011,0.07473617447424968
0.012,0.07577325195727011
0.013,0.07672404155465183
0.014,0.07760119717631332
0.015,0.07841479995404542
0.016,0.07917301157402844
0.017,0.07988253242461528
0.018,0.08054893063583225
0.019,0.08117688336755247
0.02,0.08134045951796899
0.021,0.08173524340627178
0.022,0.08210804036361641
0.023,0.08246095966895177
0.024,0.08279583086054813
0.025,0.08311425057992036
0.026,0.08341762004057794
0.027,0.08370717528111636
0.028,0.0839840118045948
0.029,0.08424910480691453
0.03,0.08450332590725032
0.031,0.0847474570808496
0.032,0.08498220233649187
0.033,0.08520819756228674
0.034,0.0854260188735742
0.035,0.08563618972791232
0.036,0.08583918701906611
0.037,0.08603544632063687
0.038,0.0862253664176241
0.039,0.08640931323867974
0.04,0.08658762328152689
0.041,0.0867606066077935
0.042,0.08692854947045657
0.043,0.08709171662653382
0.044,0.08725035337906807
0.045,0.08740468738542286
0.046,0.08755493026313627
0.047,0.0877012790198122
0.048,0.08784391732957511
0.049,0.08798301667532343
0.05,0.08811873737326058
0.051,0.08825122949387326
0.052,0.08838063369157775
0.053,0.08850708195360571
0.054,0.08863069827730485
0.055,0.08875159928383705
0.056,0.08886989477524003
0.057,0.08898568824094678
0.058,0.08909907731910795
0.059,0.08921015421741607
0.06,0.08931900609757322
0.061,0.08942571542705961
0.062,0.08953036030144056
0.063,0.0896330147400837
0.064,0.08973374895783844
0.065,0.0898326296149505
0.066,0.0899297200472395
0.067,0.09002508047835132
0.068,0.09011876821570837
0.069,0.09021083783161309
0.07,0.09030134133081127
0.071,0.09039032830569253
0.072,0.09047784608018679
0.073,0.0905639398433136
0.074,0.0906486527732494
0.075,0.09073202615269377
0.076,0.0908140994762446
0.077,0.09089491055042498
0.078,0.09097449558694606
0.079,0.09105288928973797
