PEEQ,C1,C2,C3,C4,C5,C6,C7,C8,C9
0.00011,0.7675868363114754,0.008762862054065068,0.9370592496477911,0.28610048174744607,668.5897528670702,179.23200033270825,0.41152212386878306,432.68435681182893,59.90050244464391
0.0002,1.1200390787578886e-07,0.009999561497506549,0.9905329693689784,0.12083918701786385,606.9761953838236,191.27480339229072,0.20111315942319816,446.35896159770243,61.0357062997237
0.0003,0.36171056524576234,0.009801340340774262,0.9701006945176186,0.13323929660017597,466.78225726916656,71.66592610770303,0.10534174148467411,561.6394766294974,171.38503657304986
0.0004,1.8196859810795418,0.009787353117929784,0.8881458951703837,0.19855058815611723,478.9762240842895,103.07342655516987,0.11290613225667791,652.9109215456845,196.79372089723793
0.0005,0.10738643528507653,0.009999805466470734,0.9835860469540146,0.15405296718474143,498.98612797458554,92.07951417150653,0.5748771639903941,322.33503795817336,11.961946954206027
0.0006,0.8106848365759572,0.008561049524092422,0.930876919995478,0.12859101364167078,530.7442767923611,132.65797578014576,0.06127397744394039,455.28591906032943,57.5772182420473
0.0007,0.6345097232785084,0.007946164261941727,0.9367727807836596,0.12198390660360575,520.4811869439786,119.62679494000082,0.03655981006287892,466.69313902030706,57.063103753130314
0.0008,0.752742043665063,0.007900640824609038,0.9235211962164132,0.12489452584481929,521.5031842664904,124.8423380693414,0.031477049241674146,467.9799850545162,55.58243854581855
0.0009,0.8467471096726643,0.007542465240972656,0.904336583202747,0.12776493365951355,502.37831298928523,103.91923865875388,0.0364000655237876,596.4825179844552,196.402280611642
0.001,0.5189637874476518,0.007467484302446622,0.9405429868767355,0.15942958389612052,520.5162829090402,61.6752882522257,0.024049822863032706,428.632018851689,93.66457349297131
0.002,1.962627813169901,0.006899564070554089,0.708297456667642,0.25895091656225633,506.42446290463766,153.24422200996693,0.14441887570889642,641.9031644292572,64.32282788241683
0.003,1.429754323726946,0.007896784882362954,0.8518133620363633,0.1388666798347646,528.5722527334447,147.7415676829109,0.01471984935234101,492.9802985716221,95.97508952649947
0.004,1.2323548008780132,0.007496183677646723,0.8596215705295392,0.13172183616616215,523.3020153110035,135.94346630036557,0.009144757519359187,542.4200798446046,105.98769202872212
0.005,1.2486964360343005,0.00687568157142078,0.8276121818517059,0.15071854516503694,540.5056746425688,146.16758040822174,0.01626805713811779,451.5660529106081,105.8598611005117
0.01,1.1398400162943123,0.006485019512515066,0.8205511085923137,0.14524160947082665,528.8141726287428,152.13393950515095,0.019725345625858363,567.5163225595178,92.26148834278472
0.011,1.0593873373940808,0.006055781292848202,0.8117325123402827,0.14496728814090987,526.9953934333442,149.93206381716004,0.0258101991302455,587.1111410099373,102.101167736775
0.012,0.9692762770003214,0.005300002178729763,0.7794408177618406,0.1393598233743311,556.5913918073013,146.09479418625,0.04798930571615418,491.4910815915177,178.54254160887433
0.013,1.1319578640257746,0.005142139368915585,0.7252935686579055,0.19717964535872765,541.0506568578857,177.32752188510665,0.029149429447904156,605.9114460398156,135.22319742199414
0.014,1.2101233796204351,0.0063679880931259815,0.7849962267790295,0.11278631831940478,563.5978874380413,135.17885405898537,0.09009707983489984,492.1320304176352,188.8574067828039
0.015,1.0336862561319873,0.0057061386646494044,0.7812956207578375,0.11381478281581198,560.4410393320453,133.04185793450222,0.08219014220030255,499.0855031543927,192.9132037399754
0.016,1.0559455818838317,0.005503095558029306,0.7660837461844817,0.1217291372529981,571.6621736711152,138.8024998547376,0.08858343033381175,492.4977974960222,177.5523065480249
0.017,0.9820421096392736,0.005077143342461329,0.756487814798218,0.10896808050463969,572.1389316123515,136.79829688175053,0.09887110718326708,507.8416894626228,179.89246841709067
0.018,1.1460506548228384,0.005799310116440373,0.7567142504676762,0.09688599409974236,568.140654801691,129.81359173703123,0.12257712670616144,512.1052635936003,199.12339153312098
0.019,1.2061418115744242,0.005785854291805699,0.7375569679013533,0.13130202563345425,576.3031459397262,142.91512516864523,0.11228401631679834,490.108635683542,199.72349780804325
0.02,1.1372507738393371,0.006251790627870094,0.7833013875704091,0.14442185257935886,565.7403613540326,132.61074831002605,0.07506799521537962,451.5921254850105,185.60472140107558
