PEEQ_fit,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9
0.00011,2.7756520689249804,0.009743281073805836,0.08711957454514298,0.1217909569525188,333.93765493766796,67.52094694651936,0.423596631395802,547.7710245221391,191.9436185349247
0.0009240816326530612,1.877819261829015,0.009545296889254987,0.6762745993270675,0.11770918499333576,333.28897008487655,69.34994756556264,0.41113242257038274,524.7169218857758,187.61276411254266
0.0017381632653061226,1.4545108830437734,0.009357015072201876,0.7210360576041428,0.11369822472864095,332.6756918346009,70.98813800813657,0.39898765318894763,515.6174087789175,183.38010782205885
0.0025522448979591835,1.2542468109389353,0.00917828078011307,0.7465844658754185,0.10975966024841104,332.09812305312187,72.461258118016,0.38717051398613506,512.9799962982297,179.24755301249783
0.003366326530612245,1.1591833204310795,0.00900892296139465,0.7638737073277233,0.10589510925997614,331.5565688388069,73.7892820105462,0.37568939604785084,513.1205815222231,175.21704152947137
0.004180408163265306,1.1139077571762646,0.00884875440900288,0.7764918313780605,0.10210622376523909,331.0513365354573,74.98812895064593,0.3645528954809256,514.3621336860015,171.29055446675451
0.004994489795918367,1.0922744067778716,0.008697571788290882,0.7860843945121317,0.0983946907479186,330.58273574679066,76.07076316044962,0.3537698181832536,515.9684963109835,167.470112932052
0.0058085714285714286,1.0819048530393651,0.008555155641017347,0.7935489115599845,0.0947622328759137,330.1510783499279,77.04793197431754,0.3433491847235487,517.6299497594528,163.75777882720752
0.00662265306122449,1.0769190402340842,0.008421270367191452,0.7994308820534516,0.09121060921636664,329.75667850972553,77.92867908002782,0.33330023532538267,519.2256860828376,160.15565564313704
0.007436734693877551,1.0745146103949885,0.008295664186213319,0.8040875734801396,0.08774161596336595,329.3998526927902,78.72071206071038,0.3236324349618289,520.7163201873361,156.66588926972145
0.008250816326530613,1.0733516976960271,0.008178069078583407,0.8077661733908785,0.08435708718103906,329.0809196815643,79.43067226409238,0.31435547856301016,522.0960292117124,153.29066882097936
0.009064897959183674,1.0727876728225254,0.008068200709293967,0.8106450625569452,0.0810588955588856,328.80020058887044,80.0643372607216,0.3054792963406406,523.371659362574,150.03222747574353
0.009878979591836735,1.0725133751746658,0.007965758333876714,0.812857336780649,0.07784895318314118,328.5580188717503,80.62677559049234,0.29701405922440954,524.5538791886046,146.8928433341663
0.010693061224489797,1.0723796309675422,0.007870424687958826,0.8145050338049504,0.07472921232088446,328.3547003464433,81.1224669948503,0.28897018442135486,525.6536326879875,143.87484029031373
0.011507142857142858,1.0723142556660756,0.0077818658610735395,0.8156681601274003,0.07170166622068447,328.1905732023686,81.55539719452828,0.2813583410995516,526.680871784894,140.98058892116455
0.01232122448979592,1.0722822227963045,0.0076997311553781145,0.816410648494092,0.06876834992651044,328.0659680169564,81.9291335714982,0.2741894561882104,527.6442323996606,138.21250739227875
0.013135306122448981,1.072266490930204,0.007623652929849387,0.8167844216761642,0.0659313411087095,327.9812177701619,82.24688630575022,0.2674747203147612,528.5510738088457,135.5730623804816
0.013949387755102042,1.0722587476087455,0.007553246430454276,0.8168322434530659,0.06319276090878279,327.93665785905375,82.51155827931184,0.2612255938647339,529.407636329496,133.064770013824
0.014763469387755104,1.072254928172691,0.007488109606728077,0.8165897677448518,0.060554774801627353,327.9326261128617,82.72578619899285,0.2554538131775691,530.2192190624567,130.6901968291763
0.015577551020408165,1.0722530403534232,0.007427822915135086,0.8160870427880478,0.05801959347286806,327.96946280732243,82.89197477486357,0.2501713968758817,530.9903421668461,128.45196074773358
0.016391632653061223,1.0722521054272396,0.0073719491095350295,0.8153496359283053,0.05558947371289086,328.0475106801645,83.01232535267826,0.24539065233155355,531.7248839565651,126.35273206880049
