PEEQ,C1,C2,C3,C4,C5,C6,C7,C8,C9,R²
0.00011,3.3152818001230147,0.004538101240107675,3.566779447219173e-08,0.3663831045972626,399.9999999999897,69.58220079833251,1.2247568412886658,582.1142421528157,199.99999679572912,0.9902938968001194
0.0002,2.4469836577368103,0.009884083163596997,0.745949712825889,0.05183438149104107,398.00767576415547,63.42457768438064,0.452329666143182,519.8931585429002,193.24727548333672,1.0
0.0003,2.2597534999719895,0.009999984784844833,0.7070723800812445,0.07094508683457014,328.80043336859467,50.000719602827864,0.4281973180433666,516.9569523610112,199.99948222516193,0.999759026308034
0.0004,2.1457509725374933,0.009999989556643166,0.7066081117085308,0.08385479640714531,325.2951106098804,50.000103428947654,0.40564360110493924,517.5503734791943,199.9999347086883,0.9995283221870125
0.0005,2.0663865348652273,0.009999999479789821,0.712801664494695,0.08547436585465451,324.0545858670149,50.00000150615058,0.3881292900747944,517.4361424083116,199.9993764047305,0.9994186575514022
0.0006,2.1869103792946665,0.009999999999999998,0.631680842091131,0.159087392183601,332.888051760605,134.87208760541932,0.43564336324387176,546.5838945903614,199.98719109808158,0.9974649902651339
0.0007,2.3191027331681986,0.009999999877119865,0.5187208192107117,0.3490185906372298,371.7107473698056,199.99995067806972,0.4185940788937018,603.650036711915,199.99999465942264,0.9975222443839014
0.0008,1.8983084731638735,0.00999999999904201,0.7352414650972828,0.07589802809235958,320.6351125989445,50.003327493996814,0.34546298277535076,515.3649612666925,199.9962175786407,0.9995349321130702
0.0009,1.8545077955656877,0.009999999998621173,0.7422674355553641,0.07135895042102403,319.2127775567893,50.000003403810254,0.33319474945236316,514.3619213028469,199.99999999911654,0.99962500041508
0.001,1.8152419923374903,0.009999973557805561,0.7488265206885224,0.06698540706153952,317.6006621471762,50.00308285466028,0.32186799796298193,513.3323616940855,199.9941490556726,0.9997125053247687
0.002,1.5313519793885486,0.009902851459908388,0.8088047550273909,0.046520285081835124,298.2040888716259,50.12611661337055,0.23486322309569974,506.2038268541509,183.26513742700536,0.9999999999991962
0.003,1.323590619473581,0.009920426371811885,0.8768309100758672,0.06453763275932183,326.7121342920867,50.168610096565565,0.16524263898519134,511.6196717402419,122.05971234352928,1.0
0.004,1.2506308013854028,0.009998983634426386,0.8968909552372503,0.06836407183037459,336.6839379070645,51.950295659074456,0.16059117356915595,516.4263654537401,86.12939581987781,0.9999998313366671
0.005,1.429652937370678,0.009492758401008036,0.773782666089633,0.075344928038583,267.0599878579797,66.51134013187702,0.24748438277433307,509.1473690700057,199.99860473178322,0.9999999999998735
0.01,1.0674600502018508,0.008914729329920634,0.8977068864474194,0.05484386817264222,342.52647641906225,55.229250196967854,0.2922908332655681,522.4051811939695,50.10307152682162,0.9999842396014091
0.011,1.0501731177159233,0.008779839036807489,0.8974206588280522,0.05485804853118789,344.04924899311635,53.04806386845552,0.2949123427391692,522.5616596303611,50.00004612902771,0.9999999999999825
0.012,1.2140283090368045,0.009743577211312457,0.8523839341633196,0.07368560936564252,297.9715818450168,123.58014397963682,0.17809073999486974,525.0344392695085,127.3953415909305,1.0
0.013,1.1168573476111687,0.005387597710831881,0.6870015071132005,0.024974311843864876,301.4096695787193,50.96577719676228,0.2824482120129879,541.7338338039781,199.97169480937768,1.0
0.014,1.0067133557286863,0.0068730628222752775,0.8306400603125667,0.04347285328222624,330.07077396481276,50.070100180827744,0.18363960850633873,528.2716909660583,136.49479123553877,0.999999999999998
0.015,0.995847697743,0.007153876796184873,0.8476290580875596,0.04710276931680728,333.7837569785356,50.24040637268172,0.17459175929082882,527.2989945699076,124.4747054203049,0.9999999999999925
0.016,1.1129025498605132,0.004929130270107403,0.6572246441184483,0.02514947635954562,311.3875345502621,52.70019110856096,0.29979606612133736,547.8027065037818,199.9998220089639,0.9999994777436741
0.017,1.082194192561733,0.005121202939107277,0.6882785964589894,0.027335937482443395,313.5781432154259,57.806735280533324,0.2797691996474961,545.013139210693,189.43489923277428,1.0
0.018,1.0681218969856048,0.006241677285335998,0.7564556852235741,0.044524879248711444,303.65542508122326,90.84933520276331,0.24580395323923118,536.5690623496739,168.33192187117743,0.9999999999999979
0.019,1.2180773258150475,0.006801960609123236,0.6889663295162177,0.08307894445780696,273.2135144783786,114.94150326504817,0.3183724523109604,538.0163389317426,196.25398636051727,1.0
0.02,1.23229452554148,0.0070774048020833,0.6918031226779358,0.09413420672380991,270.47713838140317,122.56126228140828,0.3202752262279804,538.099067817449,193.9952260064558,1.0
0.021,1.1220635605075615,0.005833289412829865,0.6970894360617114,0.053493114098138506,292.12823180316025,102.9217452863994,0.2957582540461634,542.4546610741252,185.8062219021968,1.0
0.022,0.9639433080583075,0.008046880286315904,0.8949683261168891,0.04913730096297066,349.36310721490065,50.42050466111652,0.25589658725208086,524.436189073363,56.34183974506139,0.9999999999999468
0.023,1.0387266575933134,0.00776790941753798,0.8397235829350473,0.061960659211684845,350.8373027618018,151.28028167945862,0.18020704004433685,541.2786852800066,119.67014790188436,1.0
0.024,0.9746373499583846,0.008224814734431823,0.8953387796295541,0.044476835167693074,399.69719272764684,116.27257501081556,0.2627329456082744,527.7167458652915,51.065981927856384,0.9999999999994035
0.025,0.9691473600425969,0.00814861928423168,0.8948702416917663,0.04409908400360494,399.5630932861165,113.21368987652721,0.21845080858473745,528.9505399673774,57.44335093844063,0.9999999999996374
0.026,0.9642860706308573,0.008093489473464307,0.8950032130184635,0.04361077914555178,399.31932240862045,109.78527799332794,0.24557421675255195,528.2246026129101,53.757330828468746,0.9999999999998528
