Strain,Stress,Strain Rate,Temperature,Normalized Stress
0.0396,1024.310567,0.0001,298,1.7651938436160888
0.0398,1024.554633,0.0001,298,1.765614442421291
0.04,1024.894933,0.0001,298,1.7662008812264103
0.0402,1025.212967,0.0001,298,1.7667489490458264
0.0404,1025.51,0.0001,298,1.767260825853352
0.0406,1025.713267,0.0001,298,1.7676111157640197
0.0408,1026.096833,0.0001,298,1.7682721148434333
0.041,1026.324233,0.0001,298,1.7686639931398895
0.0412,1026.5825,0.0001,298,1.7691090645206764
0.0414,1026.828267,0.0001,298,1.7695325946582543
0.0416,1027.194467,0.0001,298,1.7701636669193024
0.0418,1027.368333,0.0001,298,1.770463290102643
0.042,1027.648933,0.0001,298,1.7709468479301966
0.0422,1027.935333,0.0001,298,1.771440400894599
0.0424,1028.2029,0.0001,298,1.7719014989603334
0.0426,1028.459,0.0001,298,1.7723428359511977
0.0428,1028.691533,0.0001,298,1.7727435599437653
0.043,1028.9873,0.0001,298,1.7732532550541789
0.0432,1029.226967,0.0001,298,1.773666273065071
0.0434,1029.546,0.0001,298,1.7742160624606442
0.0436,1029.743967,0.0001,298,1.7745572188841914
0.0438,1029.9932,0.0001,298,1.7749867219776858
0.044,1030.235067,0.0001,298,1.7754035312473828
0.0442,1030.557367,0.0001,298,1.7759589506622815
0.0444,1030.764033,0.0001,298,1.7763150980678022
0.0446,1031.018067,0.0001,298,1.7767528747219887
0.0448,1031.262767,0.0001,298,1.7771745660990461
0.045,1031.4798,0.0001,298,1.7775485789500352
0.0452,1031.767367,0.0001,298,1.7780441430049034
0.0454,1031.994867,0.0001,298,1.7784361936313058
0.0456,1032.306733,0.0001,298,1.7789736321396725
0.0458,1032.458633,0.0001,298,1.7792354013271474
0.046,1032.799067,0.0001,298,1.7798220710543937
0.0462,1032.960867,0.0001,298,1.78010090090649
0.0464,1033.201933,0.0001,298,1.780516329813322
0.0466,1033.416,0.0001,298,1.7808852313581218
0.0468,1033.6281,0.0001,298,1.7812507431728906
0.047,1033.9022,0.0001,298,1.7817230995539757
0.0472,1034.097533,0.0001,298,1.782059716806754
0.0474,1034.380133,0.0001,298,1.7825467212332204
0.0476,1034.536133,0.0001,298,1.782815555948468
0.0478,1034.8269,0.0001,298,1.7833166345615978
0.048,1035.046833,0.0001,298,1.783695644981011
0.0482,1035.290633,0.0001,298,1.7841157853885576
0.0,0.0,0.001,298,0.0
0.0002,528.9854323,0.001,298,0.9116003080914769
0.0004,624.0839653,0.001,298,1.0754835583445435
0.0006,669.7694019,0.001,298,1.154213246417002
0.0008,698.2853585,0.001,298,1.2033547789334225
0.001,722.7752809,0.001,298,1.2455582489002766
0.0012,741.8739136,0.001,298,1.2784709122561404
0.0014,755.0734196,0.001,298,1.301217613774815
0.0016,769.44943,0.001,298,1.32599178468683
0.0018,782.1023324,0.001,298,1.3477965245185877
0.002,790.9875513,0.001,298,1.3631084174217303
0.0022,799.1560934,0.001,298,1.3771852615847946
0.0024,810.244215,0.001,298,1.3962934155140379
0.0026,816.3522152,0.001,298,1.4068193289402984
0.0028,820.862542,0.001,298,1.4145919726643346
0.003,828.4556489,0.001,298,1.4276771696598656
0.0032,834.8799077,0.001,298,1.4387480913596866
0.0034,841.0364319,0.001,298,1.4493576261687848
0.0036,845.4104151,0.001,298,1.4568953090410148
0.0038,850.2223002,0.001,298,1.4651876280196083
0.004,854.9730849,0.001,298,1.473374652712077
0.0042,859.6347441,0.001,298,1.4814080874788165
0.0044,863.8706837,0.001,298,1.4887078798901638
0.0046,869.3208894,0.001,298,1.498100216411946
0.0048,872.19303,0.001,298,1.503049774747528
0.005,875.4042322,0.001,298,1.5085836377541824
0.0052,879.3814889,0.001,298,1.515437642064499
0.0054,882.7648434,0.001,298,1.5212681750362151
0.0056,886.2006376,0.001,298,1.5271890773144516
0.0058,889.0139136,0.001,298,1.5320371943168343
0.006,892.6914455,0.001,298,1.5383746830421474
0.0062,895.0922988,0.001,298,1.5425120722296841
0.0064,897.5668393,0.001,298,1.5467764465289475
0.0066,900.9176058,0.001,298,1.5525508206179683
0.0068,903.4392819,0.001,298,1.5568964236711034
0.007,905.9052487,0.001,298,1.561146022917815
0.0072,909.0264193,0.001,298,1.5665247345171023
0.0074,911.00142,0.001,298,1.5699282521504194
0.0076,913.5453034,0.001,298,1.5743121250315795
0.0078,915.6174569,0.001,298,1.5778830660323546
0.008,918.1936969,0.001,298,1.582322699024716
0.0082,920.1577507,0.001,298,1.5857073518712101
0.0084,921.9293709,0.001,298,1.5887603839993714
0.0086,924.5763956,0.001,298,1.5933220002267863
