Strain,Stress,delT,Rate,I_Temp,Temp
0.027,1000.627067,0.0,0.0001,298,298
0.0272,1001.094933,0.0,0.0001,298,298
0.0274,1001.617933,0.0,0.0001,298,298
0.0276,1002.087233,0.0,0.0001,298,298
0.0278,1002.553333,0.0,0.0001,298,298
0.028,1002.949833,0.0,0.0001,298,298
0.0282,1003.442367,0.0,0.0001,298,298
0.0284,1003.8908,0.0,0.0001,298,298
0.0286,1004.397533,0.0,0.0001,298,298
0.0288,1004.8421,0.0,0.0001,298,298
0.029,1005.3062,0.0,0.0001,298,298
0.0292,1005.738933,0.0,0.0001,298,298
0.0294,1006.214933,0.0,0.0001,298,298
0.0296,1006.6418,0.0,0.0001,298,298
0.0298,1007.093167,0.0,0.0001,298,298
0.03,1007.516133,0.0,0.0001,298,298
0.0302,1007.923367,0.0,0.0001,298,298
0.0304,1008.318967,0.0,0.0001,298,298
0.0306,1008.746267,0.0,0.0001,298,298
0.0308,1009.1621,0.0,0.0001,298,298
0.031,1009.589667,0.0,0.0001,298,298
0.0312,1009.998033,0.0,0.0001,298,298
0.0314,1010.401,0.0,0.0001,298,298
0.0316,1010.820367,0.0,0.0001,298,298
0.0318,1011.221767,0.0,0.0001,298,298
0.032,1011.608533,0.0,0.0001,298,298
0.0322,1011.979867,0.0,0.0001,298,298
0.0324,1012.354433,0.0,0.0001,298,298
0.0326,1012.7202,0.0,0.0001,298,298
0.0328,1013.091767,0.0,0.0001,298,298
0.033,1013.495767,0.0,0.0001,298,298
0.0332,1013.840967,0.0,0.0001,298,298
0.0334,1014.240733,0.0,0.0001,298,298
0.0336,1014.614567,0.0,0.0001,298,298
0.0338,1014.977433,0.0,0.0001,298,298
0.034,1015.292133,0.0,0.0001,298,298
0.0342,1015.6805,0.0,0.0001,298,298
0.0344,1016.069233,0.0,0.0001,298,298
0.0346,1016.402433,0.0,0.0001,298,298
0.0348,1016.6685,0.0,0.0001,298,298
0.035,1017.0498,0.0,0.0001,298,298
0.0352,1017.423567,0.0,0.0001,298,298
0.0354,1017.8239,0.0,0.0001,298,298
0.0356,1018.1038,0.0,0.0001,298,298
0.0358,1018.455,0.0,0.0001,298,298
0.036,1018.7999,0.0,0.0001,298,298
0.0362,1019.152867,0.0,0.0001,298,298
0.0364,1019.410433,0.0,0.0001,298,298
0.0366,1019.7577,0.0,0.0001,298,298
0.0368,1020.077767,0.0,0.0001,298,298
0.037,1020.425433,0.0,0.0001,298,298
0.0372,1020.705667,0.0,0.0001,298,298
0.0374,1021.0522,0.0,0.0001,298,298
0.0376,1021.3479,0.0,0.0001,298,298
0.0378,1021.656267,0.0,0.0001,298,298
0.038,1021.967033,0.0,0.0001,298,298
0.0382,1022.334833,0.0,0.0001,298,298
0.0384,1022.5729,0.0,0.0001,298,298
0.0386,1022.880567,0.0,0.0001,298,298
0.0388,1023.1984,0.0,0.0001,298,298
0.039,1023.4731,0.0,0.0001,298,298
0.0392,1023.734667,0.0,0.0001,298,298
0.0394,1023.9979,0.0,0.0001,298,298
0.0396,1024.310567,0.0,0.0001,298,298
0.0398,1024.554633,0.0,0.0001,298,298
0.04,1024.894933,0.0,0.0001,298,298
0.0402,1025.212967,0.0,0.0001,298,298
0.0404,1025.51,0.0,0.0001,298,298
0.0406,1025.713267,0.0,0.0001,298,298
0.0408,1026.096833,0.0,0.0001,298,298
0.041,1026.324233,0.0,0.0001,298,298
0.0412,1026.5825,0.0,0.0001,298,298
0.0414,1026.828267,0.0,0.0001,298,298
0.0416,1027.194467,0.0,0.0001,298,298
0.0418,1027.368333,0.0,0.0001,298,298
0.042,1027.648933,0.0,0.0001,298,298
0.0422,1027.935333,0.0,0.0001,298,298
0.0424,1028.2029,0.0,0.0001,298,298
0.0426,1028.459,0.0,0.0001,298,298
0.0428,1028.691533,0.0,0.0001,298,298
0.043,1028.9873,0.0,0.0001,298,298
0.0432,1029.226967,0.0,0.0001,298,298
0.0434,1029.546,0.0,0.0001,298,298
0.0436,1029.743967,0.0,0.0001,298,298
0.0438,1029.9932,0.0,0.0001,298,298
0.044,1030.235067,0.0,0.0001,298,298
0.0442,1030.557367,0.0,0.0001,298,298
0.0444,1030.764033,0.0,0.0001,298,298
0.0446,1031.018067,0.0,0.0001,298,298
0.0448,1031.262767,0.0,0.0001,298,298
0.045,1031.4798,0.0,0.0001,298,298
0.0452,1031.767367,0.0,0.0001,298,298
0.0454,1031.994867,0.0,0.0001,298,298
0.0456,1032.306733,0.0,0.0001,298,298
0.0458,1032.458633,0.0,0.0001,298,298
0.046,1032.799067,0.0,0.0001,298,298
0.0462,1032.960867,0.0,0.0001,298,298
0.0464,1033.201933,0.0,0.0001,298,298
0.0466,1033.416,0.0,0.0001,298,298
0.0468,1033.6281,0.0,0.0001,298,298
0.047,1033.9022,0.0,0.0001,298,298
0.0472,1034.097533,0.0,0.0001,298,298
0.0474,1034.380133,0.0,0.0001,298,298
0.0476,1034.536133,0.0,0.0001,298,298
0.0478,1034.8269,0.0,0.0001,298,298
0.048,1035.046833,0.0,0.0001,298,298
0.0482,1035.290633,0.0,0.0001,298,298
0.0,0.0,0.0,0.001,298,298
0.0002,528.9854323,0.0,0.001,298,298
0.0004,624.0839653,0.0,0.001,298,298
0.0006,669.7694019,0.0,0.001,298,298
0.0008,698.2853585,0.0,0.001,298,298
0.001,722.7752809,0.0,0.001,298,298
0.0012,741.8739136,0.0,0.001,298,298
0.0014,755.0734196,0.0,0.001,298,298
0.0016,769.44943,0.0,0.001,298,298
0.0018,782.1023324,0.0,0.001,298,298
0.002,790.9875513,0.0,0.001,298,298
0.0022,799.1560934,0.0,0.001,298,298
0.0024,810.244215,0.0,0.001,298,298
0.0026,816.3522152,0.0,0.001,298,298
0.0028,820.862542,0.0,0.001,298,298
0.003,828.4556489,0.0,0.001,298,298
0.0032,834.8799077,0.0,0.001,298,298
0.0034,841.0364319,0.0,0.001,298,298
0.0036,845.4104151,0.0,0.001,298,298
0.0038,850.2223002,0.0,0.001,298,298
0.004,854.9730849,0.0,0.001,298,298
0.0042,859.6347441,0.0,0.001,298,298
0.0044,863.8706837,0.0,0.001,298,298
0.0046,869.3208894,0.0,0.001,298,298
0.0048,872.19303,0.0,0.001,298,298
0.005,875.4042322,0.0,0.001,298,298
0.0052,879.3814889,0.0,0.001,298,298
0.0054,882.7648434,0.0,0.001,298,298
0.0056,886.2006376,0.0,0.001,298,298
0.0058,889.0139136,0.0,0.001,298,298
0.006,892.6914455,0.0,0.001,298,298
0.0062,895.0922988,0.0,0.001,298,298
0.0064,897.5668393,0.0,0.001,298,298
