strain,StrRt0.0001,StrRt0.001,StrRt0.01,StrRt0.1,StrRt1,ref_StrRt0.0001,ref_StrRt0.001,ref_StrRt0.01,ref_StrRt0.1,ref_StrRt1
0.0,276.5499752,377.306,277.306,377.306,832.5548238472203,0.4765784220160467,0.6502112248144093,0.47788127914314793,0.6502112248144093,1.4347412756193803
0.00011,464.79175748106434,451.27575832901823,344.4019196755693,470.9662536371053,835.7463835250355,0.8009753831516189,0.7776832691559697,0.5935076410676896,0.8116158890227984,1.440241288678225
0.0002,578.9929227857886,532.6380048656391,500.1586589649602,600.6512941195246,838.287220291482,0.9977781892771975,0.9178947844094462,0.8619231452644252,1.0351020488299048,1.4446199112974376
0.0003,628.6112194921564,584.6394731072651,601.036303499984,663.8275387008804,841.0401582769183,1.0832853730342864,1.0075088863784984,1.0357655352860797,1.1439736367940985,1.4493640478321037
0.0004,653.1743003794115,619.7916684140366,659.4723216227883,697.3208385329432,843.7230497467243,1.1256149169824812,1.0680866454529134,1.136468293569557,1.201692622198205,1.4539874732444393
0.0005,669.6384337358439,646.0491274804259,694.6642593256984,719.5317053573287,846.3395775457648,1.153987549050865,1.113336110396676,1.1971145406936459,1.239968596929785,1.458496534178999
0.0006,682.8692873042116,666.860133597009,717.0497749718052,736.5247070420343,848.8931363594276,1.1767882718170775,1.1491997059310264,1.2356914876448135,1.2692526275009544,1.462897080695268
0.0007,694.373693451125,684.0171512293238,732.3105038005751,750.5445357668789,851.3868622671513,1.1966138086798543,1.1787663850956032,1.2619902933444713,1.2934129907256828,1.4671945171972383
0.0008,704.7000950845701,698.5651556863156,743.545089778311,762.5737524375535,853.8236585831871,1.2144092910045665,1.2038369532725899,1.2813508492562946,1.3141429332789347,1.4713938469647823
0.0009,714.1053865956255,711.1638757716596,752.4486793577182,773.1309940226985,856.2062185323866,1.2306174247557922,1.2255483207509374,1.2966944003412793,1.332336221966999,1.475499711230823
0.001,722.7448869444363,722.2550514797215,759.9532318465949,782.5365081512831,858.5370452165702,1.2455058710131661,1.2446617378229445,1.3096269915682317,1.3485447393548917,1.4795164235893676
0.002,783.4464168476738,791.5037339640205,810.4818474454971,843.0588058506496,879.4448174050707,1.35011278451704,1.3639979547262013,1.3967029273782603,1.452842782099209,1.5155467760428818
0.003,820.3590849223658,829.6209708060078,844.3162254203846,876.8885804248899,897.0101305762823,1.4137243653559697,1.429685368267384,1.455009692560593,1.5111416142437075,1.5458170706878176
0.004,846.3932319776574,855.9241670425223,869.6398878517687,900.0238417585072,912.1975710506948,1.4585889968323298,1.4750136520515749,1.498649946270571,1.5510105975308344,1.571989578606228
0.005,866.2691935240255,876.012118640399,889.6042409742192,917.441677222143,925.6018072702076,1.4928412305668268,1.509631208126665,1.5330545051601088,1.5810267439224277,1.5950890916009617
0.01,925.1066477101914,936.947169711966,950.5459439091948,968.5210623046,976.2828764379698,1.5942357834002,1.6146405485330517,1.6380753087190936,1.6690518204842404,1.6824277505633807
0.011,932.778988571787,945.1057853304566,958.567485561224,975.1859369455436,984.288489151153,1.6074575242387015,1.6287002863959235,1.651898827090033,1.6805373953320362,1.696223818602661
0.012,939.6863306908916,952.4830715861297,965.7827009301247,981.1955097172704,991.8062036344212,1.6193609431598825,1.6414135597923385,1.6643328038153242,1.6908936888246278,1.7091790918873975
