strain, RD, DD, TD, biaxial, r_RD, r_DD, r_TD
0.055,      1017.162266,      1009.246316,      1032.966381,      1023.119908,      0.728536599,      1.007204193,      0.851508707
0.056,      1018.030417,      1009.947319,      1033.615545,      1024.130207,      0.728738121,      1.007880605,      0.851716408
0.057,      1018.876944,      1010.632312,      1034.248955,      1025.113027,      0.728922606,      1.008511122,      0.851905914
0.058,      1019.703002,      1011.304273,      1034.810082,      1026.071884,      0.729091493,      1.009098856,      0.852078818
0.059,      1020.509666,      1011.962155,      1035.418426,      1027.006195,      0.729246102,      1.009646711,      0.852236574
0.06,      1021.297935,      1012.608659,      1036.01574,      1027.919165,      0.72938764,      1.010157392,      0.852380511
0.061,      1022.068744,      1013.242486,      1036.600711,      1028.809922,      0.729517212,      1.010633423,      0.852511838
0.062,      1022.822964,      1013.864165,      1037.173893,      1029.679431,      0.729635829,      1.011077153,      0.85263166
0.063,      1023.561407,      1014.534422,      1037.737717,      1030.530507,      0.729744417,      1.011490776,      0.852740984
0.064,      1024.284831,      1015.134826,      1038.291535,      1031.362897,      0.729843825,      1.011876333,      0.852840732
0.065,      1024.993947,      1015.726072,      1038.836592,      1032.178211,      0.729934829,      1.012235729,      0.852931741
0.066,      1025.689417,      1016.307351,      1039.372065,      1032.975993,      0.730018139,      1.012570739,      0.853014778
0.067,      1026.371861,      1016.879719,      1039.899036,      1033.757666,      0.730094405,      1.012883018,      0.853090539
0.068,      1027.041861,      1017.443192,      1040.417523,      1034.523579,      0.730164224,      1.013174107,      0.853159664
0.069,      1027.699959,      1017.998693,      1040.880377,      1035.274991,      0.73022814,      1.013445446,      0.853222733
0.07,      1028.346667,      1018.547086,      1041.385445,      1036.013084,      0.730286652,      1.013698374,      0.853280277
0.071,      1028.982462,      1019.138133,      1041.882661,      1036.667962,      0.730340217,      1.013934139,      0.85333278
0.072,      1029.607794,      1019.670053,      1042.372801,      1037.380068,      0.730389253,      1.014153908,      0.853380683
0.073,      1030.223084,      1020.195237,      1042.856588,      1038.07998,      0.730434144,      1.014358765,      0.85342439
0.074,      1030.828729,      1020.713383,      1043.333713,      1038.767647,      0.730475239,      1.014549721,      0.853464268
0.075,      1031.425102,      1021.22512,      1043.804813,      1039.443952,      0.730512861,      1.014727721,      0.853500652
0.076,      1032.012553,      1021.731038,      1044.270489,      1040.109727,      0.730547301,      1.014893643,      0.853533849
0.077,      1032.591415,      1022.229756,      1044.729323,      1040.763786,      0.73057883,      1.015048307,      0.853564138
0.078,      1033.161997,      1022.723737,      1045.183826,      1041.408844,      0.730607693,      1.015192476,      0.853591773
0.079,      1033.724595,      1023.256037,      1045.631529,      1042.042644,      0.730634116,      1.015326863,      0.853616987
0.08,      1034.279486,      1023.737554,      1046.033852,      1042.667823,      0.730658305,      1.015452132,      0.853639993
0.081,      1034.826933,      1024.213817,      1046.472829,      1043.284023,      0.730680449,      1.015568901,      0.853660983
0.082,      1035.367184,      1024.684275,      1046.906326,      1043.890854,      0.73070072,      1.015677746,      0.853680134
0.083,      1035.900473,      1025.150292,      1047.335731,      1044.489865,      0.730719278,      1.015779207,      0.853697607
0.084,      1036.427024,      1025.610304,      1047.75944,      1045.079618,      0.730736267,      1.015873783,      0.85371355
0.085,      1036.947046,      1026.065635,      1048.1788,      1045.661606,      0.73075182,      1.015961941,      0.853728096
0.086,      1037.46074,      1026.516623,      1048.59415,      1046.236311,      0.730766058,      1.016044118,      0.853741368
0.087,      1037.968296,      1027.003913,      1049.004822,      1046.803203,      0.730779092,      1.016120719,      0.853753477
0.088,      1038.469894,      1027.445737,      1049.412109,      1047.363703,      0.730791024,      1.016192123,      0.853764525
0.089,      1038.965706,      1027.882205,      1049.814323,      1047.916251,      0.730801947,      1.016258681,      0.853774605
0.09,      1039.455894,      1028.314564,      1050.21273,      1048.411058,      0.730811947,      1.016320724,      0.853783803
0.091,      1039.940615,      1028.743074,      1050.607591,      1048.951484,      0.730821101,      1.016378556,      0.853792194
0.092,      1040.420016,      1029.167019,      1050.998169,      1049.48506,      0.730829482,      1.016432465,      0.85379985
0.093,      1040.894238,      1029.586639,      1051.384701,      1050.012125,      0.730837154,      1.016482715,      0.853806836
0.094,      1041.363417,      1030.04048,      1051.732391,      1050.533005,      0.730844177,      1.016529556,      0.85381321
0.095,      1041.827681,      1030.452714,      1052.11285,      1051.048997,      0.730850606,      1.016573219,      0.853819025
0.096,      1042.287154,      1030.860319,      1052.488922,      1051.558422,      0.730856492,      1.016613919,      0.853824331
0.097,      1042.741953,      1031.264466,      1052.861796,      1052.062549,      0.730861881,      1.016651858,      0.853829172
0.098,      1043.192191,      1031.665347,      1053.231663,      1052.56165,      0.730866813,      1.016687222,      0.853833589
0.099,      1043.637976,      1031.842636,      1053.597718,      1052.962904,      0.730871329,      1.016720187,      0.853837619
0.1,      1044.079412,      1034.013932,      1055.097972,      1055.237121,      0.730875463,      1.016750915,      0.853841296
0.11,      1048.274666,      1037.639454,      1058.464143,      1059.705241,      0.730901721,      1.016963978,      0.853864281
0.12,      1052.123987,      1040.993368,      1061.574475,      1063.80271,      0.730912576,      1.017069503,      0.85387347
0.13,      1055.685474,      1044.389884,      1064.466882,      1067.59465,      0.730917063,      1.017121766,      0.853877144
0.14,      1059.002335,      1047.292917,      1067.170405,      1071.127781,      0.730918918,      1.017147651,      0.853878613
0.15,      1062.108003,      1050.020028,      1069.707131,      1074.436232,      0.730919685,      1.017160471,      0.8538792
0.16,      1065.029123,      1052.592711,      1072.097828,      1077.549409,      0.730920002,      1.017166821,      0.853879435
0.17,      1067.787393,      1055.028102,      1074.358957,      1080.490259,      0.730920133,      1.017169965,      0.853879528
0.18,      1070.40079,      1057.339961,      1076.503655,      1083.276993,      0.730920187,      1.017171523,      0.853879566
0.19,      1072.884401,      1059.54198,      1078.364866,      1085.926896,      0.73092021,      1.017172294,      0.853879581
0.2,      1075.251032,      1061.829714,      1080.319505,      1088.45165,      0.730920219,      1.017172676,      0.853879587
0.21,      1077.511652,      1063.831287,      1082.187537,      1090.644793,      0.730920223,      1.017172866,      0.853879589
0.22,      1079.675737,      1065.750913,      1083.977559,      1092.963341,      0.730920224,      1.017172959,      0.85387959
0.23,      1081.751527,      1067.595251,      1085.696034,      1095.187439,      0.730920225,      1.017173006,      0.853879591
0.24,      1083.746238,      1069.369194,      1087.347647,      1097.323653,      0.730920225,      1.017173029,      0.853879591
0.25,      1085.666224,      1071.078079,      1088.93756,      1099.378808,      0.730920226,      1.01717304,      0.853879591
0.26,      1087.517112,      1072.727921,      1090.471642,      1101.360255,      0.730920226,      1.017173046,      0.853879591
0.27,      1089.303908,      1074.464136,      1091.952712,      1103.272111,      0.730920226,      1.017173049,      0.853879591
0.28,      1091.031084,      1076.002315,      1093.38562,      1105.120411,      0.730920226,      1.01717305,      0.853879591
0.29,      1092.702656,      1077.491964,      1094.772449,      1106.908275,      0.730920226,      1.017173051,      0.853879591
0.3,      1094.322243,      1078.936537,      1096.11656,      1108.482511,      0.730920226,      1.017173051,      0.853879591
0.31,      1095.893114,      1080.338891,      1097.42071,      1110.166485,      0.730920226,      1.017173051,      0.853879591
0.32,      1097.418237,      1081.70135,      1098.687129,      1111.80067,      0.730920226,      1.017173051,      0.853879591
0.33,      1098.900314,      1083.026744,      1099.918567,      1113.388554,      0.730920226,      1.017173051,      0.853879591
0.34,      1100.341811,      1084.432072,      1101.116377,      1114.932154,      0.730920226,      1.017173051,      0.853879591
0.35,      1101.744983,      1085.685326,      1102.282535,      1116.434055,      0.730920226,      1.017173051,      0.853879591
0.36,      1103.111903,      1086.906899,      1103.418693,      1117.896468,      0.730920226,      1.017173051,      0.853879591
0.37,      1104.444476,      1088.099187,      1104.527197,      1119.322265,      0.730920226,      1.017173051,      0.853879591
0.38,      1105.744459,      1089.262386,      1105.608168,      1120.585391,      0.730920226,      1.017173051,      0.853879591
0.39,      1107.013476,      1090.398398,      1106.663459,      1121.944453,      0.730920226,      1.017173051,      0.853879591
0.4,      1108.25303,      1091.608558,      1107.694718,      1123.271683,      0.730920226,      1.017173051,      0.853879591
0.41,      1109.464518,      1092.692899,      1108.7034,      1124.568928,      0.730920226,      1.017173051,      0.853879591
0.42,      1110.649236,      1093.752737,      1109.688823,      1125.835838,      0.730920226,      1.017173051,      0.853879591
