Tmp298.15K_StrRt0.0001_RD_E,Tmp298.15K_StrRt0.0001_RD_S,Tmp298.15K_StrRt0.0001_RD_U,Tmp298.15K_StrRt0.0001_RD_L,Tmp298.15K_StrRt0.0001_DD_E,Tmp298.15K_StrRt0.0001_DD_S,Tmp298.15K_StrRt0.0001_DD_U,Tmp298.15K_StrRt0.0001_DD_L,Tmp298.15K_StrRt0.0001_TD_E,Tmp298.15K_StrRt0.0001_TD_S,Tmp298.15K_StrRt0.0001_TD_U,Tmp298.15K_StrRt0.0001_TD_L,Tmp298.15K_StrRt0.001_RD_E,Tmp298.15K_StrRt0.001_RD_S,Tmp298.15K_StrRt0.001_RD_U,Tmp298.15K_StrRt0.001_RD_L,Tmp298.15K_StrRt0.001_DD_E,Tmp298.15K_StrRt0.001_DD_S,Tmp298.15K_StrRt0.001_DD_U,Tmp298.15K_StrRt0.001_DD_L,Tmp298.15K_StrRt0.001_TD_E,Tmp298.15K_StrRt0.001_TD_S,Tmp298.15K_StrRt0.001_TD_U,Tmp298.15K_StrRt0.001_TD_L,Tmp298.15K_StrRt0.01_RD_E,Tmp298.15K_StrRt0.01_RD_S,Tmp298.15K_StrRt0.01_RD_U,Tmp298.15K_StrRt0.01_RD_L,Tmp298.15K_StrRt0.01_DD_E,Tmp298.15K_StrRt0.01_DD_S,Tmp298.15K_StrRt0.01_DD_U,Tmp298.15K_StrRt0.01_DD_L,Tmp298.15K_StrRt0.01_TD_E,Tmp298.15K_StrRt0.01_TD_S,Tmp298.15K_StrRt0.01_TD_U,Tmp298.15K_StrRt0.01_TD_L,Tmp298.15K_StrRt0.1_RD_E,Tmp298.15K_StrRt0.1_RD_S,Tmp298.15K_StrRt0.1_RD_U,Tmp298.15K_StrRt0.1_RD_L,Tmp298.15K_StrRt0.1_DD_E,Tmp298.15K_StrRt0.1_DD_S,Tmp298.15K_StrRt0.1_DD_U,Tmp298.15K_StrRt0.1_DD_L,Tmp298.15K_StrRt0.1_TD_E,Tmp298.15K_StrRt0.1_TD_S,Tmp298.15K_StrRt0.1_TD_U,Tmp298.15K_StrRt0.1_TD_L,Tmp298.15K_StrRt1_RD_E,Tmp298.15K_StrRt1_RD_S
0.002,786.0922333,3.709966667,3.325333333,0.002,758.6549667,7.190433333,5.146766667,0.002,759.1802,16.4456,2.5603,0.002,790.9875513,3.60514876,8.003200912,0.002,768.9204194,10.56204812,5.732152885,0.002,756.2746034,17.44836626,14.80016338,0.005,889.4115995,3.557968419,2.637668826,0.005,873.1482957,2.93275518,2.208778729,0.005,895.3484331,8.790172409,7.1395608,0.01,969.9779525,6.992953549,2.792001057,0.01,979.7348112,3.80368605,4.768994992,0.01,1008.154722,2.212949373,1.458663264,0.0041,910.1225
0.0022,794.2745667,3.546233333,3.035566667,0.0022,768.5153667,6.855833333,4.930566667,0.0022,770.3098333,15.71626667,2.831133333,0.0022,799.1560934,3.419647997,8.396002669,0.0022,778.9594447,10.25165439,5.526134076,0.0022,768.0891417,16.05852837,12.91097109,0.0055,897.8371277,3.885640681,2.793932037,0.0055,882.6499194,3.153863567,2.322365714,0.0055,905.7602383,8.681241231,6.811377994,0.011,976.0461964,7.020943784,2.764647408,0.011,985.4857951,3.167069519,4.98500876,0.011,1014.082689,1.693907444,0.957724671,0.0046,918.065
0.0024,801.8906667,3.070233333,3.082266667,0.0024,777.7003333,6.484966667,4.910433333,0.0024,780.4252,14.318,2.1732,0.0024,810.244215,1.511873163,9.949776088,0.0024,788.1568906,10.02767941,5.071387951,0.0024,778.9696896,15.29770611,11.75523269,0.006,905.5545614,3.974564124,2.843802302,0.006,891.4565689,3.181156146,2.059949908,0.006,915.27034,8.388933398,6.564757434,0.012,981.6725193,7.033614163,2.754394912,0.012,990.656778,2.755701163,5.044845091,0.012,1019.520356,1.264237327,0.537828499,0.0052,925.9124
0.0026,808.6269667,2.921033333,3.133566667,0.0026,785.8261,5.7893,4.6286,0.0026,789.7822,13.5547,2.1108,0.0026,816.3522152,2.753511857,7.687533103,0.0026,796.3335301,9.301993791,4.831449733,0.0026,789.3892777,14.34713446,10.40138206,0.0065,912.6586257,4.175121484,3.013611969,0.0065,899.3789935,3.391578819,2.077477708,0.0065,923.9100868,7.95568039,6.077916558,0.013,986.7666714,6.717294156,2.589822765,0.013,995.1308947,2.678709085,4.9279877,0.013,1024.519785,0.935491916,0.184623085,0.0057,933.6254
0.0028,814.8081667,2.893133333,2.991766667,0.0028,793.5616333,5.530866667,4.467433333,0.0028,798.4698667,13.48573333,2.406266667,0.0028,820.862542,5.064321853,7.593232765,0.0028,803.9609029,8.9783567,4.69128478,0.0028,798.6893697,13.42712041,9.582201586,0.007,919.2804145,4.296483197,3.131668526,0.007,906.6060493,3.69498006,2.21766004,0.007,931.8595823,7.852787754,6.029260619,0.014,991.4836681,6.323177802,2.38510973,0.014,999.2839465,2.629893169,4.628844291,0.014,1029.13622,0.691189196,-0.041765832,0.0063,941.1663
0.003,820.5854,2.8524,2.7767,0.003,800.7704667,5.143333333,4.245166667,0.003,806.5723333,13.16426667,2.158633333,0.003,828.4556489,4.030350761,8.133701837,0.003,811.1591263,9.044266216,4.873200152,0.003,806.8450901,13.02377375,9.132957119,0.0075,925.2984735,4.272230997,3.080122068,0.0075,913.2473652,3.807987461,2.173476711,0.0075,939.2040951,7.697934224,5.776873022,0.015,995.933016,5.963846508,2.20493051,0.015,1003.151467,2.611321201,4.249370118,0.015,1033.345909,0.581501004,-0.057793329,0.0068,948.5001
0.0032,826.2517333,3.063066667,3.003133333,0.0032,807.2483333,4.914966667,4.470933333,0.0032,814.1631333,12.86356667,2.293333333,0.0032,834.8799077,2.523610905,8.150035218,0.0032,817.8824567,8.735194103,4.56260956,0.0032,814.9945781,12.49985211,8.57671467,0.008,930.8955389,4.411972915,3.158234295,0.008,919.4043652,3.974187111,2.255366933,0.008,945.8494061,7.562834245,5.461145963,0.016,1000.149083,5.637673911,2.02339122,0.016,1006.700173,2.689077549,4.075103636,0.016,1037.109509,0.67508282,0.282689794,0.0074,955.5949
0.0034,831.2607667,3.070633333,2.993766667,0.0034,813.4535667,4.537933333,4.284966667,0.0034,821.2065333,12.24616667,2.166833333,0.0034,841.0364319,4.4228191,8.442136457,0.0034,824.2675646,8.101806367,4.3433937,0.0034,822.923362,11.88837566,7.488014691,0.0085,936.155251,4.539199721,3.249928874,0.0085,925.0112606,4.074334579,2.420482516,0.0085,951.9987846,7.443373074,5.268298195,0.017,1004.053929,5.439166869,2.06543813,0.017,1010.010369,2.802644406,4.021195877,0.017,1040.649848,0.772004591,0.586979903,0.008,962.4225
0.0036,836.1524667,3.063533333,2.990666667,0.0036,819.2493,4.0213,3.891,0.0036,827.8325333,12.02746667,2.288533333,0.0036,845.4104151,3.958950419,7.288698122,0.0036,830.2064998,7.917297613,4.419702466,0.0036,830.1748655,11.19191478,7.003054508,0.009,941.0399615,4.604415779,3.368754148,0.009,930.1746694,4.141257673,2.371849016,0.009,957.7481295,7.1450456,4.991471794,0.018,1007.645601,5.382951719,2.346151142,0.018,1013.157581,2.891716664,3.965877249,0.018,1043.960956,0.865408317,0.897625019,0.0087,968.9593
0.0038,840.6859667,3.162533333,2.751266667,0.0038,824.7206,3.7999,3.6642,0.0038,833.9796333,11.90426667,2.463033333,0.0038,850.2223002,4.731087071,8.19106866,0.0038,835.8544598,7.768479724,4.313335383,0.0038,836.8825536,10.62251326,6.486166143,0.0095,945.6095436,4.721296292,3.433727837,0.0095,934.9855995,4.238186477,2.430642099,0.0095,963.0895172,6.990937768,4.819896345,0.019,1011.078548,5.329463424,2.590815142,0.019,1016.125443,2.906541374,3.882503745,0.019,1047.083725,0.961116512,1.188434588,0.0093,975.1865
