Tmp573.15K_StrRt0.0001_RD_E,Tmp573.15K_StrRt0.0001_RD_S,Tmp573.15K_StrRt0.001_RD_E,Tmp573.15K_StrRt0.001_RD_S,Tmp573.15K_StrRt0.01_RD_E,Tmp573.15K_StrRt0.01_RD_S,Tmp573.15K_StrRt0.1_RD_E,Tmp573.15K_StrRt0.1_RD_S
0.00385966,846.2689819,0.002528968,816.0317993,0.002512242,831.5371704,0.045244418,1044.674072
0.003951327,848.3800659,0.002628807,818.3848877,0.002571778,833.21698,0.046305232,1046.187256
0.004036746,850.7576294,0.002714192,821.5800781,0.00260215,834.8289185,0.047396503,1047.689819
0.004125276,852.8828125,0.002808331,823.8179932,0.00263868,836.4279175,0.048577368,1049.220337
0.004213475,854.8876953,0.002895712,826.4382324,0.002713935,838.0402832,0.049780261,1050.771118
0.004310989,856.8015747,0.002980671,828.9711304,0.002809697,839.619873,0.050930198,1052.200806
0.004411815,857.388855,0.003066537,831.4616699,0.00287808,841.1936035,0.052020043,1053.522339
0.004497253,859.8325195,0.003156405,833.7960815,0.002911535,842.7318115,0.053151052,1054.890625
0.004584339,861.9732666,0.003247168,836.4490356,0.00295003,844.2099609,0.054377865,1056.285156
0.004681112,863.5122681,0.003339034,838.3046875,0.0030306,845.7341919,0.05560125,1057.631958
0.004774579,865.5731201,0.003427383,841.1636963,0.003122585,847.2473755,0.056766432,1058.904663
0.004865846,867.2495728,0.003525187,843.6206665,0.003187825,848.7106934,,
0.004962579,869.1434326,0.00361373,846.0592041,0.003224225,850.1675415,,
0.00498923,869.4550171,0.003709046,847.8108521,0.003284264,851.5949097,,
0.005046298,870.1429443,0.003796662,850.0339355,0.003369507,853.0338135,,
0.005204269,873.0388184,0.003891219,852.2503662,0.003449343,854.4707031,,
0.00532078,875.6976929,0.003998147,854.251709,0.003507244,855.8533936,,
0.005462861,877.8458862,0.004083201,856.8661499,0.003555365,857.2210083,,
0.00553791,880.140625,0.004179156,858.1044922,0.003626177,858.6056519,,
0.005735387,882.1639404,0.004267874,860.0935059,0.003708382,859.9750366,,
0.005851153,882.171936,0.004360129,861.8519287,0.003776999,861.3314819,,
0.006026185,885.2849121,0.004453226,863.9920654,0.003833084,862.6425781,,
0.006130288,887.7623291,0.004555277,865.7921753,0.003898384,863.9484863,,
0.006271177,889.946167,0.0046483,867.9625854,0.003973889,865.2772217,,
0.006437106,892.506958,0.004739685,869.7759399,0.004049362,866.5806885,,
0.006552834,894.5018921,0.004834709,871.7716675,0.004101999,867.8458862,,
0.006707068,894.5941162,0.004928297,873.517395,0.004172836,869.1189575,,
0.006847264,897.7280273,0.004990011,874.5526123,0.004260507,870.3877563,,
0.006969632,900.1716309,0.005085752,876.124939,0.004344109,871.6713867,,
0.00713306,902.3212891,0.005178137,877.7441406,0.00439205,872.9123535,,
0.007269437,904.616272,0.005274525,879.59198,0.004438971,874.130127,,
0.007428359,906.7150879,0.005363779,881.4208984,0.004513124,875.3831787,,
0.007605887,906.9208374,0.005458455,882.7578125,0.004616439,876.6191406,,
0.007737795,909.3464966,0.005555568,884.5198975,0.004689715,877.8372803,,
0.007884587,911.5730591,0.005646375,886.1710815,0.004732117,879.0217896,,
0.008035382,913.2863159,0.005747603,887.4273682,0.004779532,880.1724243,,
0.008189824,915.0634155,0.005854752,889.2140503,0.004862224,881.366333,,
0.008319476,916.6871948,0.005954767,890.5177612,0.004968927,882.5682373,,
0.008468178,918.2730713,0.00605243,892.2072144,0.005040561,883.7045288,,
0.008639405,918.3406982,0.006148986,893.7593994,0.005087825,884.8355713,,
0.008769101,920.4886475,0.006244875,895.1063843,0.005151889,885.9359131,,
0.008917048,922.694458,0.006337951,896.5673828,0.005254479,887.0513306,,
0.009089919,924.4094849,0.006442495,897.9335327,0.005342544,888.1692505,,
0.009235095,926.3304443,0.006545048,899.5172729,0.005390265,889.196106,,
0.009369717,928.0608521,0.00664245,900.6026611,0.005518681,891.2972412,,
0.009562585,929.5409546,0.006734972,902.2769165,0.005636641,892.3584595,,
0.009699513,930.9790649,0.006838106,903.4243774,0.005715372,893.3994141,,
0.009857209,931.7660522,0.006943492,904.8528442,0.005781502,895.3262329,,
0.010010236,934.0540771,0.007045689,906.0849609,0.005893368,896.3687744,,
0.010187577,935.5656128,0.007146521,907.5870972,0.006005654,897.4124146,,
0.010338613,937.4612427,0.007252599,908.7352905,0.006065609,898.402832,,
0.010485934,939.1477051,0.007355449,909.9194336,0.006161286,900.3221436,,
0.010669048,940.5162354,0.00745347,911.3743896,0.006274331,901.3514404,,
0.010808331,941.7345581,0.007547595,912.3954468,0.00635917,902.3273926,,
0.010978905,942.1268311,0.007645577,913.9081421,0.006399497,903.2420654,,
0.011185264,942.4449463,0.007741909,914.9907227,0.006450424,904.1798706,,
0.011319245,944.3323975,0.007847858,916.0165405,0.006545932,905.138916,,
0.011463747,946.0465698,0.007945802,917.3560791,0.006653367,906.1075439,,
0.011606531,947.1376343,0.008041937,918.3428955,0.006727945,907.0360718,,
0.011802487,948.7390747,0.008140109,919.3842163,0.006792574,907.9058228,,
0.011958197,950.1693115,0.008233064,920.5133057,0.006873053,908.8320923,,
0.012095426,951.3792114,0.008327461,921.7509155,0.006954517,909.7556763,,
0.012289615,952.7055664,0.008427751,922.6342163,0.007024399,910.6275635,,
0.012433683,952.7093506,0.00852281,923.7329102,0.007081253,911.5059814,,
0.012618938,954.8921509,0.008622416,924.8208008,0.0071657,912.371521,,
0.012774738,956.5986328,0.008716738,925.8564453,0.007268317,913.2706299,,
0.012929263,958.1578979,0.0088195,926.9251099,0.007353317,914.1646118,,
0.013102927,959.7559204,0.008926122,927.9679565,0.007410699,914.9920654,,
0.013267906,961.1474609,0.009020442,929.1581421,0.007465585,915.8173828,,
0.013442723,962.2780762,0.009132497,930.1150513,0.007559818,916.6993408,,
0.013590944,963.3032227,0.009238279,930.9710693,0.007679088,917.550354,,
0.013789427,964.2575073,0.009336132,932.072937,0.007758902,918.3878784,,
0.013920098,963.5991821,0.009441982,933.083252,0.00780162,919.1819458,,
0.014101222,965.5437622,0.009537996,934.119873,0.007926388,920.8137207,,
0.014261823,966.8204346,0.009633586,935.09198,0.008041315,921.6257935,,
0.014458628,968.1699829,0.009747925,935.8823242,0.00813007,922.4180298,,
0.014579001,968.7240601,0.009847484,936.963562,0.008187125,923.1912231,,
0.014730335,970.2262573,0.009945225,937.899353,0.008251597,923.9407959,,
0.014929373,971.3071289,0.010041085,938.7282715,0.008352415,924.7319336,,
0.015096097,972.2647095,0.010136107,939.5938721,0.008449016,925.5182495,,
0.015295017,973.5796509,0.010235563,940.585022,0.008515707,926.2370605,,
0.01545602,974.616394,0.010344764,941.3915405,0.008572603,926.9870605,,
0.015617256,975.2808838,0.010442592,942.3730469,0.008650428,927.7312012,,
0.015776267,976.1732178,0.010537646,943.2338257,0.008747877,928.4746094,,
0.015960721,977.8238525,0.010637485,944.0756836,0.008836363,929.2492065,,
0.016149407,979.6691284,0.010736736,945.046936,0.008907554,929.949646,,
0.016289175,980.9860229,0.010836166,945.84021,0.008975148,930.6690674,,
0.016480174,982.0644531,0.010943388,946.6868286,0.009060717,931.413208,,
0.016626922,982.8897705,0.01104713,947.611145,0.009158941,932.1207886,,
0.016776055,983.8329468,0.011150499,948.3807373,0.009241601,932.8407593,,
0.016974602,984.4067383,0.011244598,949.3062744,0.009308103,933.5366821,,
0.017113423,984.94104,0.011352655,950.0033569,0.009380848,934.2114868,,
0.017278748,986.0917969,0.011448948,950.9641724,0.009470476,934.9129639,,
0.017413035,986.8550415,0.011546358,951.6580811,0.009561028,935.6047974,,
0.017596839,986.5830078,0.011648464,952.4728394,0.009636194,936.2938843,,
0.017785108,988.2042236,0.011745296,953.1779175,0.009704003,936.99646,,
0.01794339,989.1755371,0.011841699,954.0396729,0.009778435,937.6571655,,
0.018113764,990.4606323,0.011937476,954.8273926,0.009862932,938.3477173,,
0.018296596,991.0090332,0.012039312,955.526001,0.00995804,939.0528564,,
0.018479815,992.2245483,0.012134488,956.3491821,0.010042168,939.7331543,,
0.018623862,993.6018066,0.012232483,956.9800415,0.01010528,940.4102173,,
0.018807428,994.6083374,0.012333447,957.7384644,0.010181496,941.0669556,,
0.018943327,995.7627563,0.012437982,958.477356,0.01028047,941.7415161,,
0.01914064,995.9036255,0.012534206,959.2404785,0.010380551,942.4354248,,
0.019321993,997.1434326,0.01263932,960.0396118,0.010457178,943.0567017,,
0.019493254,998.668457,0.012744132,960.8140869,0.010513625,943.6628418,,
0.019627923,999.6508789,0.012844553,961.4606323,0.010594667,944.2907715,,
0.01982264,1000.533264,0.012949741,962.130249,0.010699361,944.9187012,,
0.019959364,1000.649536,0.013052987,962.7877197,0.010804709,945.5612183,,
0.020099917,1001.749207,0.013150202,963.4056396,0.01088447,946.1442871,,
0.020295648,1002.524292,0.013247836,964.1027222,0.010947634,946.7051392,,
0.020446468,1003.243042,0.013344875,964.6933594,0.011021614,947.3141479,,
0.020642182,1003.89325,0.013455985,965.5501099,0.011115494,947.9121704,,
0.020825839,1004.446411,0.013562728,966.2749634,0.011208382,948.5018921,,
0.021025555,1005.063049,0.013658619,966.9762573,0.011287387,949.0838623,,
0.021200167,1005.936646,0.013755042,967.5510254,0.011369914,949.6625977,,
0.021393798,1006.79071,0.013857028,968.3336792,0.011459869,950.2650757,,
0.021563116,1007.619202,0.013954758,969.1664429,0.011551109,950.8470459,,
0.021758223,1008.400391,0.014053693,969.7327881,0.011627735,951.4047852,,
0.0219486,1009.173828,0.014159013,970.3829956,0.011685675,951.9762573,,
0.022108098,1009.277344,0.014260046,971.1223755,0.011760009,952.5379639,,
0.022298111,1010.700378,0.014360681,971.7825928,0.011852595,953.0924072,,
0.022465447,1010.008972,0.014470606,972.4036255,0.011946768,953.6821289,,
0.022614378,1012.387512,0.014567435,973.0180664,0.012024757,954.2224121,,
0.022773439,1014.088562,0.01467103,973.7521973,0.012102034,954.7849121,,
0.022934485,1015.093689,0.014767644,974.3324585,0.012196667,955.3336182,,
0.023140484,1016.027283,0.01486689,974.8087158,0.012297881,955.8803711,,
0.02333626,1016.824646,0.014970476,975.4302979,0.012383423,956.4424438,,
0.023496354,1017.48114,0.015072157,976.1848145,0.012455085,956.9685669,,
0.023663854,1017.76001,0.015170578,976.8149414,0.012535973,957.494873,,
0.023821587,1018.269348,0.015275183,977.3751831,0.012632382,958.0581665,,
0.024018502,1018.72467,0.015376878,978.0200806,0.01273407,958.6015015,,
0.024166681,1019.242371,0.015474294,978.4987183,0.012810564,959.1306763,,
0.024367379,1019.562073,0.015587115,979.1453247,0.012875763,959.6532593,,
0.024549177,1020.366577,0.015685907,979.635498,0.012953048,960.144043,,
0.024695855,1020.321838,0.015788581,980.2646484,0.01305451,960.6868896,,
0.024895679,1021.521362,0.015887173,980.8096924,0.013166113,961.2341919,,
0.025061214,1021.612488,0.015983129,981.3449097,0.013257246,961.736084,,
0.025249401,1023.026611,0.016099017,982.0147095,0.013334841,962.2669067,,
0.025449848,1023.868958,0.016203698,982.6138916,0.013414161,962.7592773,,
0.02561724,1025.201294,0.016306216,983.1287842,0.013506091,963.2634888,,
0.025810808,1026.144775,0.016406059,983.6333618,0.01359423,963.7885742,,
0.025949661,1026.814819,0.016508546,984.2009888,0.01367615,964.2528076,,
0.026148599,1027.694092,0.016613634,984.8114624,0.01375977,964.7432861,,
0.026339013,1028.592407,0.016722078,985.4199219,0.013841785,965.2463989,,
0.026506085,1029.359497,0.016823294,986.0111084,0.013929075,965.7296143,,
0.026699543,1029.99939,0.016922239,986.5839233,0.014019056,966.2344971,,
0.026876843,1030.392822,0.017025525,987.1072998,0.014115347,966.7286987,,
0.027072221,1030.994141,0.017126372,987.6515503,0.014203733,967.1898804,,
0.027246844,1031.425293,0.017228469,988.2641602,0.014283392,967.6743774,,
0.027405621,1031.825317,0.017338725,988.8858032,0.014373817,968.1462402,,
0.02758806,1031.601563,0.017437071,989.4348145,0.014478844,968.6315308,,
0.027782351,1032.178467,0.017540446,990.0023193,0.014572017,969.1272583,,
0.02792849,1033.233276,0.017636798,990.4255371,0.014647361,969.5680542,,
0.028138401,1034,0.017741261,990.944458,0.014707836,970.0183105,,
0.028262928,1033.427002,0.017838873,991.4332886,0.014796379,970.4910889,,
0.028459713,1034.622925,0.017936386,991.9065552,0.014909327,970.97052,,
0.028606767,1035.977051,0.018038256,992.460083,0.015014455,971.453186,,
0.028800759,1036.467163,0.018134991,992.8947144,0.01509128,971.8985596,,
0.02896183,1037.556519,0.018238166,993.4471436,0.015159354,972.3394775,,
0.029157199,1038.338501,0.01834573,993.9503174,0.015253335,972.8054199,,
0.029298089,1039.043701,0.018453658,994.4981079,0.01535673,973.2445068,,
0.029497178,1039.599609,0.018552579,994.942749,0.015442983,973.6813965,,
0.029673824,1040.421753,0.018649541,995.4597168,0.015507481,974.1019897,,
0.029872693,1041.094238,0.018745733,995.859314,0.015585605,974.5084229,,
0.030023506,1041.680786,0.01885101,996.4498291,0.015693521,974.9727173,,
0.030220985,1041.695801,0.018948762,996.9338989,0.015806589,975.4318237,,
0.030418722,1042.416748,0.019050432,997.4946289,0.015893219,975.8651123,,
0.030585827,1042.968262,0.019150207,997.8429565,0.015954148,976.2836914,,
0.030780533,1043.35022,0.019248148,998.37146,0.01602472,976.6730957,,
0.030978145,1042.778931,0.019349759,998.9067383,0.016120972,977.0990601,,
0.031142341,1043.619141,0.019446008,999.291626,0.01622906,977.5612793,,
0.031338695,1044.345825,0.019546811,999.7589111,0.016316285,977.9751587,,
0.031501234,1044.828369,0.019645242,1000.161743,0.016401313,978.4191895,,
0.031678557,1045.537109,0.019745175,1000.609558,0.016502324,978.8618774,,
0.031870861,1046.277832,0.019841071,1001.046387,0.016609475,979.2923584,,
0.032068677,1046.920532,0.019940559,1001.574768,0.016699981,979.7133789,,
0.032224685,1046.609741,0.020043544,1002.037354,0.016773235,980.0975952,,
0.032417018,1047.72937,0.020147273,1002.51532,0.016854718,980.4805298,,
0.032614894,1048.743042,0.02024327,1002.979614,0.0169587,980.9004517,,
0.032791238,1049.35498,0.020354854,1003.465393,0.017060749,981.3054199,,
0.032978311,1050.426025,0.020451885,1003.93103,0.017142259,981.6901245,,
0.033144459,1051.250854,0.020551745,1004.309326,0.017216606,982.0745239,,
0.033338908,1051.92981,0.020654025,1004.747375,0.017291892,982.4259033,,
0.033529356,1052.411865,0.020750903,1005.169495,0.017386148,982.8362427,,
0.033717316,1052.888062,0.02085603,1005.641479,0.017482266,983.2164307,,
0.033893134,1053.32251,0.020964881,1006.133362,0.017578714,983.616394,,
0.034085695,1053.633179,0.021066552,1006.509583,0.017670799,984.022644,,
0.034283496,1053.827515,0.021169992,1006.982849,0.01775784,984.4137573,,
0.034482915,1054.158936,0.021273751,1007.426208,0.017846264,984.8062744,,
0.034649182,1054.410889,0.0213816,1007.979065,0.017961724,985.2112427,,
0.034842674,1054.682739,0.021482987,1008.376953,0.018086871,985.6079102,,
0.034999572,1055.024292,0.021590481,1008.786011,0.018177077,985.9909058,,
0.035190415,1055.77478,0.021691529,1009.212036,0.018216217,986.3200684,,
0.035392907,1056.385254,0.021795355,1009.576477,0.018257229,986.6326294,,
0.035562579,1056.929199,0.021892847,1009.965454,0.018368589,987.0397949,,
0.035725348,1056.809204,0.021992432,1010.329834,0.018500304,987.4231567,,
0.035907645,1058.036255,0.022101184,1010.760071,0.018592833,987.7737427,,
