Tmp473.15K_StrRt0.0001_RD_E,Tmp473.15K_StrRt0.0001_RD_S,Tmp473.15K_StrRt0.001_RD_E,Tmp473.15K_StrRt0.001_RD_S,Tmp473.15K_StrRt0.01_RD_E,Tmp473.15K_StrRt0.01_RD_S,Tmp473.15K_StrRt0.1_RD_E,Tmp473.15K_StrRt0.1_RD_S
0,645.6557007,0,399.3873901,0,573.2112427,0,662.9614868
1.09098E-05,655.0203857,1.21818E-05,401.6997986,1.36206E-06,584.0003052,3.69566E-05,690.1474609
3.52764E-05,664.2728271,3.38278E-05,402.283905,1.29803E-05,594.6355591,0.000201755,715.4891357
8.35386E-05,673.130188,3.85349E-07,403.4049072,3.13038E-05,599.8815308,0.000405014,738.7866211
0.000114518,681.8751831,7.93342E-06,406.8094482,4.36477E-05,605.0584106,0.000653033,759.8703003
0.000171926,690.2876587,4.97749E-05,418.8500366,5.72568E-05,615.2992554,0.000996802,778.8127441
0.000183787,698.7713013,2.17486E-05,443.983551,6.37786E-05,625.3253174,0.001444906,795.6331177
0.000246367,705.2686768,3.1954E-05,462.3824158,7.78453E-05,630.2626953,0.001906531,810.3828125
0.000247285,713.2841797,5.46366E-05,479.5633545,0.000102185,635.1533813,0.002392893,823.3789063
0.00032359,717.3757324,7.00498E-05,499.2306519,0.000122458,639.9980469,0.002934972,834.8220215
0.000370498,724.9609985,4.04829E-05,524.5194092,0.000120098,649.4786987,0.003566873,845.0391235
0.000395297,732.0370483,5.54443E-05,541.706604,0.000135869,654.154541,0.004256878,854.2995605
0.000471177,737.4261475,6.23713E-05,560.3933716,0.000166332,658.7561646,0.004895917,862.6220703
0.000544,742.9391479,8.65193E-05,576.7183228,0.000190441,663.2979126,0.005562411,870.2818604
0.000545967,749.5142822,9.08459E-05,596.1151123,0.000218031,672.1741943,0.0062993,877.442749
0.000631248,752.203125,0.000107054,614.0740967,0.000252719,676.5179443,0.007104815,884.1552124
0.000681139,758.3580933,0.00016292,624.2772217,0.000284757,680.7982788,0.007909904,890.4709473
0.000764916,762.5090942,0.000174286,642.6907349,0.000310687,689.1002197,0.008630087,896.4176636
0.000816755,768.2038574,0.000209721,655.9504395,0.000339409,693.1204834,0.00938297,902.0858154
0.000894863,772.1851807,0.000246987,673.3376465,0.000380933,697.0570068,0.010237854,907.612915
0.000969053,776.6560669,0.000289221,686.6881104,0.000404297,700.9320679,0.011137794,912.9420776
0.001050079,781.7492676,0.000338192,696.8673096,0.000427116,704.7253418,0.012016723,918.0236206
0.001126655,786.3787231,0.000399611,705.8427734,0.000458342,708.4328003,0.012840898,922.8642578
0.001209433,790.3185425,0.000453166,717.795105,0.000493866,712.0481567,0.013727291,927.5505371
0.001289198,794.7166138,0.000514063,725.5522461,0.000524261,715.5668335,0.01470472,932.1248779
0.001371877,798.0217896,0.00059414,735.7099609,0.000573023,722.3980713,0.015641915,936.5072021
0.001425223,802.687439,0.000658025,743.1591797,0.000615053,725.6861572,0.016529994,940.6593628
0.001525198,804.0406494,0.000743776,749.680542,0.000655596,728.9285278,0.01740256,944.6212769
0.001577755,808.5043335,0.000812745,756.2427979,0.000703721,732.1034546,0.018355453,948.4941406
0.001666889,811.4642944,0.000889647,762.1871338,0.000741598,735.1624756,0.019371906,952.2611084
0.001750666,814.3710327,0.000966021,769.0927124,0.000782406,738.1589355,0.02031496,955.8016357
0.001830856,818.1494141,0.001056181,772.734314,0.000820634,741.0897827,0.021199379,959.1508789
0.001921036,821.0354004,0.001128301,778.8183594,0.000856745,743.9659424,0.022156592,962.4162598
0.002004769,823.9477539,0.00121303,783.5685425,0.000908814,746.7982178,0.023170466,965.616333
