PEEQ,C1,C2,C3,C4,R_squared
0.0,-0.0006358276111213468,354.9219836147172,5.6394887022539315,-4.397364412633329e-05,0.04205633909232698
0.00011,-0.0004834096695330956,0.015819653466725134,1.1650387263533035,-3.077559884538067e-05,1.0
0.0002,0.00014745523114817385,0.0021531098795912387,-3.050256069058586e-05,1.1545502929061233e-05,0.5181315333196775
0.0003,-0.0004165541235830138,0.00420879834453077,0.6245412274538106,-2.5598451408119032e-05,1.0
0.0004,8.546070223748993e-05,0.0019133053895115492,3.052171349316045e-05,6.171046486566408e-06,0.649834835147928
0.0005,-0.0003577553374089341,0.0026641433671993897,0.42207165975088556,-2.0646430112669864e-05,1.0
0.0006,5.55586101195889e-05,0.001788113427194867,3.053070030202541e-05,3.5785240709078516e-06,0.8087525191732479
0.0007,4.618588120382068e-05,0.0017446248185402095,-3.878258024269984e-06,2.767235756930252e-06,0.8717502803128325
0.0008,3.899875630336944e-05,0.0017090159668626378,1.4305209348937348e-05,2.1566843008934896e-06,0.9180743941862602
0.0009,-0.0002526907971882009,0.0018674848336907423,0.23064063825255904,-1.2264479389717462e-05,1.0
0.001,-0.00022923424381092212,0.001788596923747901,0.2014944283463363,-1.0562815271374238e-05,1.0
0.002,-7.834719190260584e-05,0.0015224323518496642,0.06465749536320112,-1.922972948172276e-06,1.0
0.003,-0.00010170352778694681,0.0014652324986538234,0.08607260682246301,-3.0198039370302375e-06,1.0
0.004,-0.00012867031460140444,0.0014382553486411971,0.11425641454489627,-4.484999516219795e-06,1.0
0.005,-0.00014249574268192166,0.0014199731447476988,0.13233788238914396,-5.3407532942312035e-06,1.0
0.01,-0.00015246607038627098,0.001352225354559704,0.1583978787445731,-6.1080091198562355e-06,1.0
0.011,1.8205020294710183e-05,0.0012822241155863465,-2.3838478121186406e-07,9.141251043096738e-07,0.9795798588600786
0.012,-0.0001478471020386757,0.001327538781367001,0.15595652346380395,-5.837746829951508e-06,1.0
0.013,-0.00014490764894728745,0.001315683035242297,0.15353130496627854,-5.65960782933348e-06,1.0
0.014,-0.00014168256507307545,0.0013042104201639658,0.15054270700477193,-5.462951468229276e-06,1.0
0.015,-0.00013823414308885694,0.0012931504098539983,0.14711590031735522,-5.252708868806548e-06,1.0
0.016,1.6974135483552542e-05,0.0012386643185118425,3.078243311613946e-11,8.731884841761427e-07,0.9847602888837355
0.017,-0.0001308232055812067,0.0012723291263018203,0.13930001983037368,-4.804542774625881e-06,1.0
0.018,-0.0001269061467206898,0.0012625748425767768,0.13503213353779453,-4.570853613340831e-06,1.0
0.019,-0.00012286230568918604,0.0012532509994973007,0.1305772211763649,-4.33248399593062e-06,1.0
0.02,-0.00011869278960575125,0.0012443460559353095,0.12595858332557436,-4.09011357561076e-06,1.0
0.021,-0.00011439192813388584,0.001235845271742339,0.12118870104915713,-3.844037504328093e-06,1.0
0.022,-0.00010994731076669445,0.001227731847766819,0.11627025806418824,-3.5942159878243413e-06,1.0
0.023,-0.00010533919347760167,0.0012199878189244672,0.11119642293377859,-3.3402960775852156e-06,1.0
0.024,-0.00010053912169381677,0.0012125947391803955,0.10595029225265405,-3.081605605599141e-06,1.0
0.025,-9.550742618267836e-05,0.001205534198535465,0.1005032256273339,-2.8171140507856447e-06,1.0
0.026,1.3037882596738764e-05,0.0011842921595975454,2.861045595418494e-06,6.075666832288644e-07,0.9973921137317945
0.027,-8.450525591632417e-05,0.0011923395013113593,0.08881006020549834,-2.2642269938306656e-06,1.0
0.028,-7.834128754469789e-05,0.001186171748702565,0.08240079578353492,-1.9707767286627195e-06,1.0
0.029,-7.151744274924121e-05,0.00118026979147353,0.07542889761295231,-1.6605480801176348e-06,1.0
0.03,-6.372849979655889e-05,0.0011746198984674777,0.06762984407504434,-1.32639734685923e-06,1.0
0.031,-5.4378949041349515e-05,0.0011692102420951668,0.058486844559892885,-9.554049914119096e-07,1.0
0.032,-4.1973974845742676e-05,0.0011640321285995047,0.04670357739379685,-5.185262541301673e-07,1.0
0.033,1.0619486611563318e-05,0.0011587150533742404,-1.177173508771309e-06,4.3062277622564464e-07,0.9999975914667818
0.034,4.8672536459710365e-05,0.0011544565728681601,-0.03389031933677346,-3.989850319327702e-07,1.0
0.035,1.0008531282848645e-05,0.0011525381176493807,6.556682285092246e-07,3.8566951197602125e-07,0.9998641906898073
0.036,9.719104110229945e-06,0.0011496005505383007,-9.536576435069623e-07,3.641205368202335e-07,0.9996726004857868
0.037,9.433990875491471e-06,0.0011467558335427365,9.983939660682537e-07,3.4317166998947804e-07,0.9994032865286476
0.038,9.151661437990965e-06,0.0011439987347774928,7.627942612925209e-06,3.2280640412703074e-07,0.9990602227357253
0.039,7.36501183199343e-05,0.0011338645080907943,-0.0615472220299353,-2.770485413150637e-06,1.0
0.04,8.637105577522853e-06,0.0011387284693705993,-2.622589563273e-06,2.8375668160064506e-07,0.9981679412997603
0.041,7.704817104305667e-05,0.0011265305886856733,-0.06673335309003324,-3.436374932855736e-06,1.0
0.042,7.831188707788722e-05,0.0011230267694401915,-0.0689104766837958,-3.73868068154115e-06,1.0
0.043,7.936692595623748e-05,0.001119623856645646,-0.07088155865982568,-4.024148500146725e-06,1.0
0.044,8.02534399052392e-05,0.001116316560681075,-0.07268202126610096,-4.294742661358801e-06,1.0
0.045,8.100155945522984e-05,0.0011131000006334515,-0.07433867364002739,-4.552051808952967e-06,1.0
0.046,7.237832381406919e-06,0.0011245868185169026,-1.524987722322803e-05,1.7870057591892574e-07,0.9940840466555182
0.047,8.217037187843513e-05,0.0011069213428395353,-0.07729955716627177,-5.03185562384652e-06,1.0
0.048,8.262381821126848e-05,0.0011039511542949515,-0.07863367694785282,-5.256393867901331e-06,1.0
