strain,m_estimated
0.0,-0.012071804272959733
0.00011,-0.0011397594504225566
0.0002,0.0022331584778408405
0.0003,0.0038339247706290465
0.0004,0.004432775498901019
0.0005,0.004581310219735899
0.0006,0.004528734138029935
0.0007,0.00439287662767201
0.0008,0.0042303015863092465
0.0009,0.00406785480935251
0.001,0.003917658406772016
0.002,0.0032407016695403714
0.003,0.0031899499282811695
0.004,0.0031399396605240946
0.005,0.002980321237768391
0.01,0.0013977110608784933
0.011,0.0010625386088441938
0.012,0.0007390819307404401
0.013,0.0004289814478989027
0.014,0.00013279560318708462
0.015,-0.00014953690094197323
0.016,-0.00041841830383879
0.017,-0.0006744262281409044
0.018,-0.0009182169834026132
0.019,-0.0011504702457325372
0.02,-0.001371858316193797
0.021,-0.0015830298004440913
0.022,-0.0017846016266231445
0.023,-0.0019771557951079634
0.024,-0.002161238746072164
0.025,-0.002337362121978593
0.026,-0.0025060042291187522
0.027,-0.002667611810363246
0.028,-0.00282260191887605
0.029,-0.0029713637832052657
0.03,-0.0031142606099631006
0.031,-0.003251631300394018
0.032,-0.0033837920727006997
0.033,-0.00351103798962779
0.034,-0.003633644394189815
0.035,-0.0037518682576913225
0.036,-0.0038659494444442744
0.037,-0.0039761118974336205
0.038,-0.0040825647489158385
0.039,-0.004185503359675098
0.04,-0.004285110290455173
0.041,-0.0043815562089389755
0.042,-0.004475000735544152
0.043,-0.004565593231232298
0.044,-0.004653473530471254
0.045,-0.004738772622435495
0.046,-0.004821613283471785
0.047,-0.004902110663789226
0.048,-0.0049803728312486995
0.049,-0.00505650127504164
0.05,-0.005130591371939178
0.051,-0.0052027328176829455
0.052,-0.005273010025969956
0.053,-0.005341502497358612
0.054,-0.005408285160296436
0.055,-0.005473428686340785
0.056,-0.005536999781516885
0.057,-0.005599061455635592
0.058,-0.005659673271262438
0.059,-0.005718891573923657
0.06,-0.005776769705011197
0.061,-0.005833358198748368
0.062,-0.005888704964473899
0.063,-0.005942855455403405
0.064,-0.005995852824943314
0.065,-0.00604773807154147
0.066,-0.006098550172985186
0.067,-0.006148326210983264
0.068,-0.006197101486798067
0.069,-0.006244909628636407
0.07,-0.0062917826914457645
0.071,-0.006337751249711151
0.072,-0.006382844483800474
0.073,-0.006427090260356347
0.074,-0.006470515207197163
0.075,-0.006513144783148067
0.076,-0.006555003343188748
0.077,-0.006596114199274133
0.078,-0.0066364996771536965
0.079,-0.006676181169488391
