PEEQ,CT1
0.00011,2.9664671568049137
0.0002,2.86124731874643
0.0003,2.75428947105072
0.0004,2.656902049483907
0.0005,2.568229100614662
0.0006,2.487491221926658
0.0007,2.4139787159529913
0.0008,2.3470453565978913
0.0009,2.2861027129040026
0.001,2.230614980418269
0.002,1.8872307388321568
0.003,1.7529701570331104
0.004,1.7006468609615872
0.005,1.6804291706160124
0.01,1.6696383996448123
0.011,1.670069732031247
0.012,1.6705554481587157
0.013,1.671067994142566
0.014,1.6715966180952126
0.015,1.6721371473002862
0.016,1.672687984469261
0.017,1.6732485397504728
0.018,1.6738186166689597
0.019,1.674398171641084
0.02,1.674987219779435
0.021,1.675585797981534
0.022,1.6761939504485865
0.023,1.676811722986788
0.024,1.677439160747623
0.025,1.6780763073150782
0.026,1.678723204320756
0.027,1.6793798912662976
0.028,1.680046405427669
0.029,1.6807227817922326
0.03,1.6814090530094419
0.031,1.6821052493476911
0.032,1.6828113986544417
0.033,1.6835275263185272
0.034,1.684253655234253
0.035,1.6849898057671626
0.036,1.6857359957214715
0.037,1.6864922403091827
0.038,1.6872585521209404
0.039,1.68803494109866
0.04,1.6888214145099865
0.041,1.6896179769246298
0.042,1.6904246301926196
0.043,1.6912413734245237
0.044,1.692068202973671
0.045,1.6929051124204182
0.046,1.6937520925584946
0.047,1.6946091313834566
0.048,1.6954762140832862
0.049,1.6963533230311558
0.05,1.6972404377803847
0.051,1.6981375350616115
0.052,1.6990445887821952
0.053,1.6999615700278634
0.054,1.7008884470666161
0.055,1.7018251853548945
0.056,1.7027717475460202
0.057,1.7037280935009056
0.058,1.7046941803010291
0.059,1.7056699622636775
0.06,1.706655390959439
0.061,1.7076504152319392
0.062,1.7086549812198002
0.063,1.7096690323808084
0.064,1.7106925095182626
0.065,1.7117253508094805
0.066,1.7127674918364326
0.067,1.7138188656184719
0.068,1.7148794026471204
0.069,1.7159490309228786
0.07,1.7170276759940108
0.071,1.718115260997266
0.072,1.7192117067004817
0.073,1.7203169315470248
0.074,1.7214308517020112
0.075,1.7225533811002545
0.076,1.7236844314958781
0.077,1.7248239125135383
0.078,1.7259717317011862
0.079,1.7271277945843115
0.08,1.7282920047215993
0.081,1.7294642637619249
0.082,1.7306444715026292
0.083,1.7318325259489862
0.084,1.7330283233748074
0.085,1.7342317583840905
0.086,1.7354427239736545
0.087,1.73666111159667
0.088,1.7378868112270154
0.089,1.739119711424382
0.09,1.740359699400043
0.091,1.7416066610832175
0.092,1.7428604811879393
0.093,1.7441210432803649
0.094,1.7453882298464303
0.095,1.7466619223597848
0.096,1.7479420013499254
0.097,1.7492283464704488
0.098,1.7505208365673508
0.099,1.7518193497472916
0.1,1.7531237634457586
0.11,1.7664651199769201
0.12,1.7802592861697113
0.13,1.7943827607025613
0.14,1.8087185320459334
0.15,1.8231603217293957
0.16,1.8376154039383437
0.17,1.8520060434218986
0.18,1.866269738444784
0.19,1.880358535311484
0.2,1.8942377026146104
0.21,1.9078840323728152
0.22,1.9212839893255977
0.23,1.934431874190726
0.24,1.947328112606941
0.25,1.9599777351286298
0.26,1.9723890776209445
0.27,1.984572705800187
0.28,1.9965405511364291
0.29,2.0083052359701905
0.3,2.019879561541578
0.31,2.031276131983559
0.32,2.0425070888408685
0.33,2.0535839333513275
0.34,2.0645174168871923
0.35,2.0753174831661623
0.36,2.085993248850535
0.37,2.0965530118291564
0.38,2.1070042787719996
0.39,2.1173538054625523
0.4,2.1276076449775574
0.41,2.137771200038717
0.42,2.147849276852595
0.43,2.157846138527581
0.44,2.1677655567509317
0.45,2.177610860859763
0.46,2.187384983777299
0.47,2.1970905045342586
0.48,2.206729687275013
0.49,2.2163045167751316
0.5,2.225816730583841
0.51,2.2352678479617416
0.52,2.2446591958186115
0.53,2.253991931874302
0.54,2.2632670652721183
0.55,2.2724854748722487
0.56,2.2816479254453266
0.57,2.2907550819750493
0.58,2.299807522265433
0.59,2.3088057480337554
0.6,2.317750194655281
0.61,2.326641239711104
0.62,2.33547921047609
0.63,2.3442643904703426
0.64,2.352997025184858
0.65,2.361677327080308
0.66,2.370305479947019
0.67,2.378881642704402
0.68,2.3874059527091562
0.69,2.3958785286335145
0.7,2.40429947296758
0.71,2.412668874193379
0.72,2.4209868086724584
