PEEQ,CT1,CT2
0.00011,2.9664671568049137,0.010221350983092351
0.0002,2.86124731874643,0.010096060498958297
0.0003,2.75428947105072,0.009959172835622098
0.0004,2.656902049483907,0.009824690022588041
0.0005,2.568229100614662,0.00969256991265139
0.0006,2.487491221926658,0.009562771097051675
0.0007,2.4139787159529913,0.009435252892539757
0.0008,2.3470453565978913,0.009309975328671323
0.0009,2.2861027129040026,0.009186899135322791
0.001,2.230614980418269,0.009065985730425843
0.002,1.8872307388321568,0.007967785446234367
0.003,1.7529701570331104,0.007048094511037673
0.004,1.7006468609615872,0.006277980179870082
0.005,1.6804291706160124,0.005633198118227362
0.01,1.6696383996448123,0.00368285757457358
0.011,1.670069732031247,0.0034617304982792357
0.012,1.6705554481587157,0.003276945271177073
0.013,1.671067994142566,0.003122611118930805
0.014,1.6715966180952126,0.0029937924248814632
0.015,1.6721371473002862,0.0028863539140330163
0.016,1.672687984469261,0.0027968309216061076
0.017,1.6732485397504728,0.0027223206831041603
0.018,1.6738186166689597,0.002660391240734828
0.019,1.674398171641084,0.002609005112433271
0.02,1.674987219779435,0.002566455331875393
0.021,1.675585797981534,0.0025313118551944323
0.022,1.6761939504485865,0.002502376654731553
0.023,1.676811722986788,0.002478646092209619
0.024,1.677439160747623,0.002459279391726363
0.025,1.6780763073150782,0.0024435722240491644
0.026,1.678723204320756,0.0024309345738354393
0.027,1.6793798912662976,0.0024208721956096536
0.028,1.680046405427669,0.0024129710767989846
0.029,1.6807227817922326,0.002406884420383894
0.03,1.6814090530094419,0.0024023217387069465
0.031,1.6821052493476911,0.0023990397161752293
0.032,1.6828113986544417,0.0023968345540607092
0.033,1.6835275263185272,0.00239553555708538
0.034,1.684253655234253,0.002394999760429445
0.035,1.6849898057671626,0.0023951074284409134
0.036,1.6857359957214715,0.0023957582836760657
0.037,1.6864922403091827,0.002396868347819086
0.038,1.6872585521209404,0.0023983672952336906
0.039,1.68803494109866,0.0024001962359916323
0.04,1.6888214145099865,0.002402305858706731
0.041,1.6896179769246298,0.002404654874801223
0.042,1.6904246301926196,0.002407208715297891
0.043,1.6912413734245237,0.002409938439163391
0.044,1.692068202973671,0.0024128198188741777
0.045,1.6929051124204182,0.0024158325744448373
0.046,1.6937520925584946,0.002418959731824146
0.047,1.6946091313834566,0.002422187085473115
0.048,1.6954762140832862,0.002425502748214288
0.049,1.6963533230311558,0.002428896774185448
0.05,1.6972404377803847,0.002432360843029703
0.051,1.6981375350616115,0.002435887995379873
0.052,1.6990445887821952,0.0024394724113086064
0.053,1.6999615700278634,0.0024431092247674505
0.054,1.7008884470666161,0.002446794368170505
0.055,1.7018251853548945,0.0024505244422270292
0.056,1.7027717475460202,0.0024542966069221223
0.057,1.7037280935009056,0.0024581084902103975
0.058,1.7046941803010291,0.0024619581115453
0.059,1.7056699622636775,0.0024658438178339565
0.06,1.706655390959439,0.0024697642297988134
0.061,1.7076504152319392,0.002473718197055181
0.062,1.7086549812198002,0.0024777047604884247
0.063,1.7096690323808084,0.0024817231207446017
0.064,1.7106925095182626,0.0024857726118410104
0.065,1.7117253508094805,0.0024898526790645484
0.066,1.7127674918364326,0.002493962860460958
0.067,1.7138188656184719,0.002498102771331276
0.068,1.7148794026471204,0.00250227209124665
0.069,1.7159490309228786,0.00250647055317214
0.07,1.7170276759940108,0.002510697934356635
0.071,1.718115260997266,0.0025149540487017725
0.072,1.7192117067004817,0.0025192387403693926
0.073,1.7203169315470248,0.0025235518784261822
0.074,1.7214308517020112,0.0025278933523568596
0.075,1.7225533811002545,0.0025322630683047255
0.076,1.7236844314958781,0.0025366609459213066
0.077,1.7248239125135383,0.002541086915726104
0.078,1.7259717317011862,0.00254554091689352
0.079,1.7271277945843115,0.0025500228953975516
0.08,1.7282920047215993,0.002554532802456122
0.081,1.7294642637619249,0.0025590705932263735
0.082,1.7306444715026292,0.002563636225710178
0.083,1.7318325259489862,0.002568229659835749
0.084,1.7330283233748074,0.002572850856686777
0.085,1.7342317583840905,0.002577499777855189
0.086,1.7354427239736545,0.0025821763848975056
0.087,1.73666111159667,0.002586880638878027
0.088,1.7378868112270154,0.002591612499984828
0.089,1.739119711424382,0.002596371927206812
0.09,1.740359699400043,0.0026011588780619904
0.091,1.7416066610832175,0.0026059733083687643
0.092,1.7428604811879393,0.00261081517205331
0.093,1.7441210432803649,0.002615684420987317
0.094,1.7453882298464303,0.002620581004851244
0.095,1.7466619223597848,0.0026255048710190545
0.096,1.7479420013499254,0.002630455964461066
0.097,1.7492283464704488,0.00263543422766207
0.098,1.7505208365673508,0.0026404396005523683
0.099,1.7518193497472916,0.0026454720204497407
0.1,1.7531237634457586,0.0026505314220106975
0.11,1.7664651199769201,0.0027025930862793483
0.12,1.7802592861697113,0.0027572603326560165
0.13,1.7943827607025613,0.002814421347500732
0.14,1.8087185320459334,0.002873936572029605
0.15,1.8231603217293957,0.0029356403514914733
0.16,1.8376154039383437,0.002999343417126249
0.17,1.8520060434218986,0.003064836083466811
0.18,1.866269738444784,0.0031318920400983863
0.19,1.880358535311484,0.0032002725908122907
0.2,1.8942377026146104,0.0032697311715186405
0.21,1.9078840323728152,0.003340017967257026
0.22,1.9212839893255977,0.003410884449512489
0.23,1.934431874190726,0.003482087667371015
0.24,1.947328112606941,0.0035533941482165854
0.25,1.9599777351286298,0.003624583293223296
0.26,1.9723890776209445,0.003695450186895541
0.27,1.984572705800187,0.0037658077753221814
0.28,1.9965405511364291,0.0038354884018444385
0.29,2.0083052359701905,0.003904344719205493
0.3,2.019879561541578,0.003972250022331103
0.31,2.031276131983559,0.004039098064779726
0.32,2.0425070888408685,0.004104802434366156
0.33,2.0535839333513275,0.004169295569835817
0.34,2.0645174168871923,0.004232527501491824
0.35,2.0753174831661623,0.0042944643953510405
0.36,2.085993248850535,0.004355086973831501
0.37,2.0965530118291564,0.004414388877237724
0.38,2.1070042787719996,0.004472375020395346
0.39,2.1173538054625523,0.004529059988515934
0.4,2.1276076449775574,0.004584466506389544
0.41,2.137771200038717,0.004638624005765791
