PEEQ,C1,C2,C3,C4,C5,C6,R²
0.00011,2.0621315295195072e-16,0.0025749083204153612,0.6654281863996129,0.5907922281010194,545.4361753358859,349.99999999998636,0.6845173811628045
0.0002,0.033153268129799775,0.00010000000000000002,0.9999988642591034,0.19245409991531062,490.8309684804146,100.00110636874611,0.8003139586312289
0.0003,7.262432839522786e-06,0.009999999999999998,0.9999999999999999,0.18825004097868941,493.668964302855,100.00010114536812,0.9407681494834448
0.0004,9.372662487771128e-16,0.009998896642793376,0.9936243215250742,0.16190568343711875,495.38305692059333,100.00000000006757,0.986013037283733
0.0005,0.3610412111295907,0.009999997371133044,0.9763225440182135,0.15477057552946116,499.32330692751606,100.000000091506,0.9940432095832553
0.0006,0.6493775526537298,0.009999999962493946,0.9633116874347972,0.14865119497752682,502.20783502969005,100.0000000376274,0.9980068547158789
0.0007,0.8613726560208823,0.00999980401939919,0.953710233041546,0.14326772231391083,504.19961508029536,100.00000607288628,0.9996784415053774
0.0008,1.020369703467089,0.009970704217726686,0.9458042914086848,0.1389321862932903,505.6178218699845,100.69713532821042,0.9999999999996274
0.0009,0.7325175241783416,0.008370996142686651,0.9379096898871402,0.13404161020087557,507.8799112765441,100.41857274429098,1.0
0.001,0.6109234355169807,0.007390795553554389,0.9310601250389712,0.12998274213810682,509.7456869710623,100.08737543317093,0.9999999999645964
0.002,0.9036093857804738,0.007355906901097301,0.8967446976638875,0.12355329255658765,516.6707020444098,112.07538826556377,0.9998972977630124
0.003,0.689346605593815,0.005911682474954664,0.879477222251402,0.1204864717320531,522.8419332503173,112.48326928597275,0.9999999999999851
0.004,0.756064955680485,0.005919530415276401,0.8673799882311484,0.1252898031103939,526.1317315298253,118.94359418830601,0.999999999999444
0.005,0.9676330377672918,0.006415062359267989,0.8503816136269657,0.1392231806806077,529.187357600378,132.67397549133227,0.9999999999999707
0.01,0.9966393132603969,0.005176141264379585,0.7693559266493917,0.1860432902321333,545.5480512236593,161.2635405296321,0.9999999999999979
0.011,0.7347400142023314,0.004266858743047778,0.7872934786238275,0.15748277466283295,545.0795340697147,141.39285114008408,0.9998479867772316
0.012,0.9318452848048993,0.00449661947206934,0.7369902335245566,0.19801329240207438,551.3930195454899,165.73294506176438,0.9999999999995874
0.013,0.8809961702152488,0.004140759873984947,0.7257307614792115,0.19800745215742263,553.4576227521785,164.74544665105142,0.999999999999572
0.014,0.8546894256130072,0.003848429598967602,0.711035172574467,0.20067541047339424,555.6534159084015,165.13055483724082,0.99999999999999
0.015,0.7680604678486382,0.004240881400061836,0.7773718046930047,0.16478538710417953,546.879668849623,141.09208685525215,0.9990857806056362
0.016,0.6891291561496368,0.003100002756707298,0.7176027848665733,0.1734730219742344,554.3948203984879,148.7878397738183,0.9999999999999997
0.017,0.7359744764297395,0.003010964502507401,0.6884158126490512,0.18791506573950964,558.0511371911763,155.92168933882962,0.9999999999999712
0.018,0.786784262495473,0.004237667003164571,0.7722096741955329,0.16959566282904734,547.6247795590211,140.95773312767255,0.9982293529064469
0.019,0.6713748465486872,0.0025688267847120794,0.6800287766894201,0.17494975803332977,557.5267806435066,147.1835265956036,1.0
0.02,0.779464518749758,0.004205721187911781,0.7716267510209424,0.17019059778094225,547.249357340679,140.9928762318171,0.9978455043698413
0.021,0.6803776296572549,0.0027246320460806287,0.6907044282960804,0.1769224290679779,556.89057182263,146.11583767469392,0.9998841845721512
0.022,0.8197536762060277,0.004281103768714043,0.7665692390129494,0.17648378946261598,548.5360156950796,140.7743911559165,0.9968192897832667
0.023,0.6838270372746608,0.002100257608501113,0.6273107537932009,0.1788221455455677,560.6825141155483,146.15756381744862,0.9999999999999909
0.024,0.7283492990720561,0.002054514246818385,0.5963440338891896,0.19084644257416397,563.6819937439453,151.7046971665819,1.0
0.025,0.7850743591288107,0.004112148716406371,0.763705331163169,0.17663923505674245,548.145057935605,140.8749884355461,0.9967352510869866
0.026,0.6380777198881604,0.0017966354186841576,0.6224523427194879,0.1641333814840586,557.9501971982424,135.22651025236902,0.9999999999999989
0.027,0.8580408875549734,0.004386515773124215,0.7636519793232264,0.18399154823398364,549.1185319918902,140.58774990640336,0.9952862730547758
0.028,0.8083836398259242,0.00417026931589398,0.7610059164685404,0.1820795857097125,548.3275098457295,140.78504303212566,0.9959089502915139
0.029,0.8704572611541106,0.004411471169383893,0.7621005990993404,0.18704337192515008,549.2882075905088,140.54843759228325,0.9948131189153279
0.03,0.882797971651592,0.004445290830142665,0.7611198822031365,0.1895438727200989,549.3770651297707,140.50052415738122,0.9943981177483804
0.031,0.886929656275385,0.004477371652798285,0.7623961131958799,0.18960809464222622,549.4454887621337,140.4903000771638,0.9942964084836865
0.032,0.887249348477572,0.004469739418725676,0.7616154820017165,0.19092016652028068,549.5757231282716,140.48159702385558,0.9942388909313437
0.033,0.7068803331835831,0.0015477143482388303,0.549646834284567,0.17840040583544647,561.9327031774027,138.56152144297656,0.9999999999999347
0.034,0.664823856105217,0.0015049445161457147,0.5722181650249241,0.16791987250824478,559.0159425728565,131.69627183666577,0.9999999999999987
0.035,0.8992982314169277,0.0044951456591196684,0.7603105162757356,0.19440473994299917,549.7139937379806,140.41343047022667,0.9938626915784963
0.036,0.6675437187582748,0.001474375921260337,0.5667118542187507,0.1689287610087068,559.0548089282548,130.939380436439,0.9999999999999999
0.037,0.6446828204118309,0.0014551376341320151,0.5796824020410701,0.1640431463247821,557.4536693764707,127.11274362406026,0.9999999999999993
0.038,0.9199886239209021,0.0045928561935171565,0.7618583604686426,0.19733502900903768,549.8599789787564,140.35089608025777,0.9933574629102315
0.039,0.9216228119622252,0.00459421768809523,0.7614728085852317,0.19841639270683298,549.9031711045849,140.33947696131767,0.9933308315557541
0.04,0.9445109117299024,0.00467603829557042,0.7617366028542607,0.20060483894797934,549.9696359940675,140.28073487043713,0.9927949047771583
0.041,0.9166283073161255,0.004560558710417432,0.7600764457255423,0.20034116193752782,549.9519499484819,140.34060016822588,0.9934665509759636
0.042,0.7679653213923194,0.0014455260801428528,0.49530629513707713,0.19512849522328302,565.0197624389259,141.68038189307896,0.9999999999999996
0.043,0.7905239669741704,0.0014421399157630644,0.47947074469677176,0.20103187056923308,566.2614937336446,143.9872607247366,0.999999999999998
