PEEQ,C1,C2,C3,C4,C5,C6,R²
0.00011,2.9999999999999996,0.008394649539235959,0.7427694375757284,0.7340430205786137,527.4636525740736,183.4626628443235,0.9709575657229655
0.0002,2.6128084925856734,0.009999999999999998,0.670571837319163,0.5343301048725991,512.0290294268344,221.85838848210707,0.9993645511698827
0.0003,2.8564240755964456,0.009452847762775843,0.18278699341770163,0.9331870047494072,514.8165810790506,349.9999999999909,0.9994690365370595
0.0004,2.7160004434209646,0.009999999998410527,0.2652303072145898,0.8329971047237678,509.3713840918019,349.99999999963876,0.9985061664493554
0.0005,2.6024052303913305,0.009999999998135072,0.29480487841009106,0.792978377248764,508.64944859920314,349.99999095833715,0.9979752368871269
0.0006,2.512613463280703,0.009999999999979874,0.3205392841232942,0.7598594564854018,508.01430123432107,349.9999977738467,0.9977014131752034
0.0007,2.435611210097067,0.009999999982629387,0.343877587841504,0.7302590787259567,507.3586740244201,349.99999999733916,0.9975425953524412
0.0008,2.367494673084319,0.009999999999999974,0.3653155289863494,0.7031855148113406,506.668927863168,349.99999999999994,0.9974380779002177
0.0009,2.3064329595480983,0.009999999999995996,0.3850873872693569,0.6782656683859742,505.95136258564816,349.99999999999994,0.9973603467625188
0.001,2.25129994361262,0.009999999999999998,0.40335000337581933,0.6552882917441457,505.2144553247308,349.9999999999718,0.9972944169927849
0.002,1.8476960948549404,0.007618565338563868,0.37220175699697194,0.6357293533664099,524.552411868193,349.9999999999969,0.9971042971861364
0.003,1.7385153710528938,0.0059919959481567015,0.2860452606619192,0.6726835761056151,546.7395513067768,349.99999999999994,0.9973268191084604
0.004,1.4921257019607612,0.005657407657522476,0.47244632866535385,0.4798767019103477,546.2800350025001,294.4594065921155,0.9975404608426476
0.005,1.2899728102247723,0.005871617450193373,0.6335653118988582,0.33312065718295164,537.4538559337981,243.92393613353255,0.9977478550602799
0.01,1.6357275985282578,0.003631792886015354,0.1497935958323354,0.6569550011486056,586.1641907907177,314.88622650602105,0.9984048959757554
0.011,1.7658423760085291,0.003303974577558744,6.094074976243379e-05,0.7490453062742232,596.271783079294,328.86049642523244,0.9985149822509413
0.012,1.757541797602937,0.0032169706225885445,2.036717052849874e-05,0.7383885267769131,596.965572667441,324.02725475915844,0.9986175488498134
0.013,1.7490731217925715,0.003138613355918689,0.0009268822242165423,0.7276347600571055,597.4554505666407,319.30688828536614,0.9987124751872746
0.014,1.7429650915235166,0.003063972501805656,6.070431285059608e-07,0.718487201447037,597.9331772756539,314.990342769895,0.9988005292896226
0.015,1.7365374307454466,0.002996329301570565,1.0967607331580682e-08,0.7091931009463277,598.2563292801315,310.7708577242194,0.9988820104918544
0.016,1.7306199973054681,0.002933977671121255,8.27534813033009e-08,0.7003490405445965,598.4939811718461,306.75172945529204,0.9989572693165195
0.017,1.725179633550348,0.002876606651641222,7.2029438706489604e-09,0.6919745479806763,598.6582294405057,302.93579944308556,0.9990265354966886
0.018,1.7201888138355095,0.002823940460344663,8.692424181199312e-11,0.684087079427959,598.7595082571524,299.3248329185942,0.9990900090195953
0.019,1.7156236910914704,0.0027757132278095906,9.517532151878005e-08,0.676699002562535,598.8071018915444,295.91888671980166,0.9991478893692614
0.02,1.7114624701366432,0.0027316599622763055,7.26390420005199e-14,0.669816192444741,598.8093593652342,292.71612957412725,0.9992003910820703
0.021,1.70768327756314,0.002691513511511036,1.0885152215609381e-07,0.663436825792865,598.7737305333341,289.71259895302535,0.9992477491141512
0.022,1.7042649792333031,0.002655010893977385,6.156066853834511e-07,0.657553465747733,598.7068251706069,286.9029647959132,0.9992902179221884
0.023,1.7011878073971904,0.0026218838383843847,1.676985632533989e-09,0.6521529405030052,598.6145575842608,284.28012551530475,0.9993280672386239
0.024,1.6984303808989425,0.0025918943199351235,1.6894902280425529e-12,0.6472195122258024,598.5018863748326,281.8372035886861,0.9993615748776167
0.025,1.6959722573264329,0.002564787566986265,5.864575319311251e-09,0.64273124727146,598.3731937703192,279.5648236528925,0.9993910215517975
0.026,1.693794139045918,0.0025403381129893068,4.3093647757359533e-13,0.6386667574096889,598.2321690441397,277.4544964801544,0.9994166845606981
0.027,1.691877121858387,0.0025183307860835473,9.390493504073114e-10,0.6350027828992943,598.0819211438993,275.4972515893542,0.9994388331293219
0.028,1.6902019743353103,0.0024985647451861086,1.049024657995497e-06,0.6317147701032997,597.9249827315012,273.6838908580005,0.9994577246664631
0.029,1.6887548712342624,0.0024808526909589146,3.5996340740470693e-10,0.628781038917862,597.763658684638,272.0061236102371,0.9994736032443189
0.03,1.687516360682989,0.0024650260093875298,5.945663100217564e-09,0.6261765549076722,597.5995394201143,270.4549963416373,0.9994866959598964
0.031,1.686472146808489,0.0024509244857349607,2.548916075025591e-09,0.6238790423249545,597.4340922353858,269.02224702028866,0.9994972142040207
0.032,1.685607995985613,0.0024384043628542,8.17324159012087e-09,0.6218669977106918,597.2684582963834,267.7000621309696,0.9995053528282786
0.033,1.6849106126631657,0.0024273336954097635,1.4896620402290757e-08,0.6201198923126817,597.1035416179561,266.4809841307836,0.9995112901401514
0.034,1.6843676431949655,0.002417591900908622,7.329445470398303e-12,0.6186183236609907,596.9400513133198,265.357963374973,0.9995151892004815
0.035,1.6839673968914473,0.002409067231807341,4.5969897045951436e-09,0.6173436652126573,596.778513342578,264.32418080621693,0.9995171983871489
0.036,1.6836996634033612,0.0024016639774082347,3.868809779465303e-09,0.6162797485294269,596.6193771336029,263.3738633336125,0.9995174525855713
0.037,1.6835528742919708,0.002395292998578974,1.7315543098009737e-06,0.6154098582985769,596.4628576345561,262.5010407204636,0.9995160738339883
0.038,1.6835227831156654,0.002389860712273245,9.806560042806896e-10,0.6147207929599594,596.3093911597416,261.70037111351394,0.9995131746705379
0.039,1.6835960452741319,0.002385300509391397,1.2389601699597707e-09,0.6141969561512124,596.15887439246,260.96658930737954,0.9995088547148245
0.04,1.6837666241405276,0.0023815408112820534,4.2894579513470164e-10,0.6138263400012012,596.0114777190004,260.2951239784461,0.9995032063742156
0.041,1.6840275625382262,0.0023785207833865256,1.3919463166957042e-08,0.6135975739551971,595.8672453972322,259.68180650968776,0.9994963132197429
0.042,1.684372194736835,0.002376181910844242,2.7816937621487873e-08,0.613499563382216,595.726168314518,259.1224815328505,0.9994882516900964
0.043,1.684794566198708,0.0023744724852452588,5.681795091963143e-10,0.6135224207088473,595.588220749387,258.61346307594,0.9994790916550805
0.044,1.6852890661786304,0.0023733452749198215,1.4265344592614829e-11,0.6136569426885469,595.4533483210366,258.1513102460999,0.999468897249288
0.045,1.685850590743458,0.002372756785598387,2.984954257006699e-12,0.6138946346549207,595.3214847415878,257.73282081601513,0.9994577275896495
0.046,1.6864739107335909,0.00237266781050895,4.842559014066603e-07,0.6142274184611544,595.1925250520321,257.35497660576016,0.9994456369186575
0.047,1.6871558805033713,0.0023730410847967666,2.9074611208871274e-07,0.6146486927446415,595.0664342153327,257.0151765358889,0.9994326760948828
0.048,1.6878918171035406,0.0023738441050458266,6.620487227918692e-08,0.6151514938678068,594.9430853256883,256.7108154374184,0.9994188917305319
0.049,1.688677814510776,0.0023750466570532317,1.1786392148727646e-12,0.6157295999068036,594.8223685851896,256.4395218369287,0.9994043274104893
0.05,1.6895105163400528,0.0023766206085913456,7.480328619516652e-09,0.6163773712279773,594.7041842616388,256.19911120607173,0.9993890239649531
0.051,1.6903868367204273,0.002378540197752568,5.087903286128912e-10,0.6170896248660983,594.5884325237272,255.9875679930242,0.9993730196538871
0.052,1.6913037939289812,0.002380781611059144,1.873678724365041e-11,0.6178614803491949,594.4750087862408,255.80299016268168,0.999356350466832
0.053,1.6922587431939835,0.002383323867124609,3.113131999110963e-14,0.6186886303632307,594.363812437646,255.64370287592888,0.9993390501140016
0.054,1.6932490911983973,0.0023861462053681374,1.1733727231056804e-09,0.6195668091048958,594.2547403180067,255.5080171925127,0.9993211506806771
0.055,1.694272549848855,0.002389230668183606,9.436347329238524e-12,0.6204923077952116,594.1476968709468,255.3944765030408,0.9993026823273363
0.056,1.695326876855744,0.0023925597107652074,1.5239617624383888e-08,0.6214614898955466,594.042585743511,255.3016340225726,0.9992836737593986
0.057,1.696409824864866,0.0023961147647442306,6.603553554957369e-09,0.6224705702924079,593.93929303056,255.2279247148531,0.9992641522175425
0.058,1.6975202985387083,0.002399889493439322,1.6544462709277492e-09,0.6235181177296432,593.8377860500211,255.17291357052335,0.9992441436482294
0.059,1.6986555224591837,0.0024038642929978473,3.812223491721818e-07,0.6245998679001739,593.7379131912038,255.13481215557752,0.9992236725964332
0.06,1.6998151959787002,0.002408026955470951,6.867498011728338e-17,0.6257140814386749,593.6396598120274,255.11283597911194,0.9992027632334161
0.061,1.700996530718884,0.0024123660529365614,1.1819000925248745e-10,0.6268575812427762,593.5428898250284,255.10579196370327,0.9991814374167509
0.062,1.7021985802391735,0.0024168711327586796,4.227498444367045e-12,0.6280284582999414,593.447544304346,255.112868144084,0.9991597169239227
0.063,1.703420083563672,0.0024215327148231452,2.272673503957275e-12,0.6292247353954097,593.3535547396718,255.1332606672183,0.9991376224682942
0.064,1.7046597263066472,0.002426340633054991,2.4915301178886253e-10,0.6304443123223872,593.2608509385572,255.1660980069047,0.9991151738110173
0.065,1.7059163587524826,0.0024312861920210388,2.649391854054369e-11,0.6316853862823392,593.1693672063632,255.2106343341812,0.9990923899256491
0.066,1.7071890233181128,0.0024363624906375493,2.625502858472981e-13,0.6329465085574663,593.0790401091062,255.26627387692503,0.9990692887813729
0.067,1.7084765619391693,0.002441560475656086,5.001212940046172e-09,0.6342258246939585,592.9898117584523,255.33223644525054,0.9990458881385447
0.068,1.70977812316998,0.002446873833002522,4.673570460924606e-22,0.6355220305587489,592.9016198237354,255.40797015961388,0.9990222045342428
0.069,1.7110927700837504,0.0024522956008640375,5.986361539748542e-14,0.6368336855574726,592.8144152040595,255.49287464861337,0.9989982542091824
0.07,1.7124195811084781,0.0024578185955928707,5.804546320918667e-11,0.6381593319250738,592.7281379785743,255.58631780125174,0.9989740525688133
0.071,1.7137581260939247,0.0024634405349810875,3.3739192043154766e-13,0.6394984495753459,592.6427558402085,255.68811075080694,0.9989496145842376
0.072,1.7151073203423894,0.0024691524546963067,5.193825368933347e-12,0.6408492538303108,592.5582090630776,255.79746477834365,0.9989249543914763
0.073,1.7164666393385513,0.002474950858476643,8.369320793582928e-18,0.6422110117645448,592.4744533673434,255.91406875719133,0.9989000858697984
0.074,1.7178353246332914,0.002480829878320092,2.613477145361291e-21,0.64358254373994,592.3914495885571,256.0374159505934,0.9988750221320309
0.075,1.7192124685061034,0.002486782012199776,4.1206018905830366e-09,0.6449623743677957,592.3091452923097,256.16684524872085,0.9988497759892062
0.076,1.720598608586572,0.0024928140994109576,1.6503907581658008e-20,0.6463517381733512,592.227537405516,256.302953867658,0.998824359714063
0.077,1.7219920748895494,0.0024989108969766497,3.7149538804224147e-13,0.6477477113954424,592.1465510513012,256.4444033315983,0.9987987850085868
0.078,1.7233927913402545,0.002505072989888451,2.5530113846843113e-25,0.6491503596150457,592.0661715834668,256.5912491503574,0.9987730632234741
0.079,1.724800169090691,0.0025112957623046545,3.058557558628104e-12,0.6505587767379396,591.9863600589927,256.7430840801937,0.998747205144827
0.08,1.726213822789346,0.0025175765405200004,3.4191917729093227e-12,0.6519724267159589,591.9070875338462,256.89967144770696,0.9987212213689254
0.081,1.727633265759638,0.00252391158673821,1.2807409315813605e-12,0.6533905790926935,591.8283254334194,257.0606868249601,0.9986951219884752
0.082,1.7290578525268134,0.002530298627117492,2.7349552384944145e-07,0.6548125848551027,591.7500270533794,257.2258672114795,0.9986689164039423
0.083,1.7304820997988315,0.0025367405161901154,5.816260744378947e-06,0.6562353471159469,591.6719290087285,257.3944556208049,0.9986426099383123
0.084,1.7319227803954826,0.002543217366260259,9.549621020511497e-26,0.6576671282164783,591.5948165841294,257.56807432739987,0.9986162248550441
0.085,1.7333617376642831,0.0025497432623545367,7.916965720121825e-11,0.6590981590729772,591.5178236535663,257.7444822978778,0.9985897561414369
0.086,1.7348047267631328,0.0025563106872267265,4.760323015190038e-12,0.6605312166438194,591.4412140047607,257.92419662415057,0.9985632165816011
0.087,1.7362512719683765,0.002562916545822212,7.769066906828467e-08,0.6619656639590592,591.364959615561,258.10693320387054,0.9985366141717874
0.088,1.7377015112680039,0.002569560390619706,8.364848224759485e-16,0.663401572414443,591.2890571803545,258.2926955248015,0.9985099567183454
0.089,1.7391547635047087,0.0025762387312379953,3.986544903807496e-11,0.6648381287793035,591.2134706888736,258.48113583456865,0.9984832514415974
0.09,1.7406108787528882,0.0025829498844531632,4.79647016455884e-15,0.6662750755296089,591.1381864890826,258.67212302796196,0.998456505467325
0.091,1.7420696541906742,0.0025896924895461196,7.836814051460725e-11,0.667712159201782,591.0631889481399,258.86553819322467,0.9984297255520688
0.092,1.743530814943565,0.0025964643886018943,3.1806596032382975e-13,0.6691489873974655,590.9884586131512,259.0611938437036,0.9984029182913661
0.093,1.7449941361920465,0.0026032639136478104,1.0039953046158204e-10,0.6705852575575457,590.9139815519203,259.2589476271556,0.9983760899608783
0.094,1.746459440658951,0.002610089863102926,6.268016340337169e-14,0.6720207530976557,590.8397426265544,259.45869392267775,0.9983492464386364
0.095,1.7479264510745591,0.0026169399568456383,2.5470545421732828e-20,0.6734550682174609,590.7657292239174,259.660243315722,0.9983223936804813
0.096,1.749395115127989,0.002623814162135976,2.1873230983212274e-13,0.6748882010225559,590.691922170741,259.86357781333805,0.9982955372189636
0.097,1.7508450457932103,0.0026307361006511236,2.0002186358259434e-05,0.6763096725476375,590.6173477565152,260.0666583433082,0.9982686635193689
