PEEQ,C1,C2,C3,C4,C5,C6,R²
0.00011,2.754772767955556,0.0029999999999999996,3.3770662093777345e-36,1.0176591736697254,574.0219796386117,182.17743065184877,0.8926204232908216
0.0002,2.2746606673240475,0.0029999999999999996,2.9386817687212906e-29,0.8213338466901745,577.8602250664363,202.82720235968247,0.9374244540935385
0.0003,2.1260938343008915,0.0029999999999999996,1.5799694013440162e-26,0.7708007927338955,580.2552228566326,215.40143638877169,0.941418940609082
0.0004,2.0675188123654227,0.0029999999999999996,3.512368061164019e-26,0.7560458089648129,581.7885040323257,222.75600045863413,0.9427476205990503
0.0005,2.03455152144675,0.0029999999999999953,2.791044064100661e-16,0.7496792606728432,582.9486456546372,228.02624957064222,0.9450282045643523
0.0006,2.010950212772016,0.0029999999999999996,1.431395279571369e-22,0.7454376209486492,583.9323890314754,232.36438159540504,0.9479101197929363
0.0007,1.9919214867395576,0.0029999999999999996,2.908735104155389e-21,0.7418193764077186,584.8193756660944,236.19310983218776,0.9510357398655737
0.0008,1.975768960805719,0.0029999999999999996,1.7209016712390935e-18,0.7384852312388801,585.6423515263449,239.68185603016948,0.9542022233405316
0.0009,1.9617214620231076,0.0029999999999999875,1.2045123509264579e-16,0.7353710196763131,586.415615450482,242.9107415803306,0.9572979265815591
0.001,1.9493214323291463,0.0029999999999999996,9.364083884520577e-19,0.7324655558245781,587.1474038254242,245.93122960492673,0.9602613807382443
0.002,1.8739070121185866,0.0029999999999999996,3.7896918787667524e-16,0.7132389464900787,592.7183978724421,268.49159060102716,0.9805572302049591
0.003,1.836332165776987,0.0029999999999999996,3.519384182666409e-14,0.704830581207436,596.1212768134011,282.49401103991084,0.9892332549216863
0.004,1.8129691014483942,0.0029999999999999996,4.380718438087113e-18,0.7013111962214057,598.1658602982036,291.50123233019184,0.9930842960568825
0.005,1.7966936359760097,0.002999999999999995,4.17893373744204e-17,0.7001791081191281,599.3170907282728,297.3915202019288,0.9950119107118234
0.01,1.754870272130837,0.0029999999999999177,1.1691483539085596e-14,0.7043912909373585,599.6995596220457,308.354532226888,0.9980454070498488
0.011,1.7500880759731525,0.0029999999999832366,5.19762079331487e-07,0.7055759245460351,599.4249569551306,309.16233619547495,0.9982967312468007
0.012,1.7459727542789876,0.0029999999999999975,1.0014780591504121e-10,0.7067149613859464,599.1289769832364,309.79800033509275,0.9985004453566949
0.013,1.7424242925111606,0.002999999999985533,7.845758344564299e-07,0.7077929923257903,598.82513592158,310.30276672851807,0.9986631917968153
0.014,1.7393704294345473,0.002999999999997515,1.6317879923583202e-07,0.7088075262013442,598.5218427981123,310.7040326220661,0.9987892837709239
0.015,1.7365374478508593,0.002996329405075901,8.333022120839417e-17,0.7091931257318062,598.2563286407116,310.7708668777915,0.9988820104927695
0.016,1.7306199580097974,0.002933975412344089,2.3004768250968754e-11,0.7003487504803719,598.4940000505895,306.75158081690927,0.9989572693245998
0.017,1.7251795828037628,0.0028766056725380057,6.459352132769276e-11,0.6919743948401554,598.6582365348141,302.93572905598376,0.9990265354974768
0.018,1.7201887382914374,0.002823939248511492,1.179847611870643e-10,0.684086878138138,598.7595162028468,299.3247425771399,0.9990900090195856
0.019,1.7156237759394752,0.002775712973073827,1.5525318198140565e-12,0.6766990339212247,598.8071081960833,295.91888680849615,0.9991478893819994
0.02,1.7114624447004114,0.002731659803013562,1.3686692542932426e-08,0.6698161542656987,598.8093597663842,292.71611471312116,0.9992003910801004
0.021,1.7076834161818089,0.0026915139573030437,9.188967267762417e-09,0.6634369810551607,598.7737332458305,289.7126540012432,0.9992477491294329
0.022,1.7041885688598801,0.002655123080461708,7.88573711677103e-05,0.6575138664435701,598.7024889067337,286.89604231187406,0.9992902052300926
0.023,1.7011863687485793,0.0026218898562324552,1.7349758989054536e-06,0.6521527209652667,598.6144627507247,284.2802764527979,0.9993280669428314
0.024,1.6982857500650792,0.002592106770678792,0.00014774764760790688,0.6471476124297578,598.4938283531706,281.82463556202697,0.9993615484318431
0.025,1.6959722685408818,0.002564787625584276,4.439536425728146e-11,0.6427312625055696,598.3731930193911,279.56482870957444,0.9993910215528863
0.026,1.6937941381292667,0.0025403381431806,2.9232641959586476e-09,0.6386667609489322,598.2321689428959,277.4544985659451,0.999416684560128
0.027,1.6918770955576121,0.0025183304497886547,1.5332611763418612e-12,0.6350027198970237,598.081921699384,275.4972230783465,0.9994388331295113
