Row,R-value
0,0.9878591855200105
1,0.9464315577531981
2,0.9621654821473198
3,0.9776190816136864
4,0.9820864033445876
5,0.9812134390464384
6,0.9807200432018051
7,0.9819010569263591
8,0.9841196246515522
9,0.9865608613882609
10,0.9887192595677974
11,0.989863580759235
12,0.9830009556368593
13,0.9790024557562985
14,0.9780018809130455
15,0.9894204535316903
16,0.9903702739462362
17,0.9900502789617892
18,0.9883923178623106
19,0.985423181942476
20,0.9812348062054446
21,0.9759585197523478
22,0.9697445835191264
23,0.9627471338282537
24,0.9551139673061522
25,0.9743034313722826
26,0.9774816348771681
27,0.9803968581530089
28,0.983053981636721
29,0.9854603076016782
30,0.9876249613030927
31,0.9895583864440392
32,0.9912719251549773
33,0.9927774734483363
34,0.9940872034400178
35,0.9952133438347956
36,0.9961680103969045
37,0.9969630784410618
38,0.9976100897817517
39,0.9981201870472436
40,0.9985040687602338
41,0.9987719590562926
42,0.9989335863069777
43,0.9989981651805567
44,0.9989743767514621
45,0.998870341091692
46,0.9986935762585039
47,0.9984509366189446
48,0.9981485218653839
49,0.9977915456504748
50,0.9973841491749194
51,0.9969291398070947
52,0.9964276271717363
53,0.9958785180118961
54,0.9952778148287
55,0.994617639255699
56,0.9938848653194596
57,0.9930591938760158
58,0.9921104176015764
59,0.9909944999409219
60,0.9896478954991416
61,0.9879792314239876
62,0.9858569808032853
63,0.9830909789179935
64,0.9794043848123107
65,0.9743907068283102
66,0.9674474322749033
67,0.9576733013214169
68,0.9437106273726958
69,0.9235101770789345
70,0.8940052820777501
71,0.8507376744793393
72,0.7876567130361367
73,0.697711853866827
74,0.5753075905388787
75,0.42104269148497214
76,0.24581371116463688
77,0.0684748061920735
78,-0.0931335235915758
79,-0.2293352404442583
80,-0.33875383918228535
81,-0.42463553945362315
82,-0.49159015475441864
83,-0.543939451963594
84,-0.5851912489816379
