PEEQ,C1,C2,C3,C4,R_squared
0.0,0.7283068604818859,0.006302322369316167,0.06416967401842835,-6.515979200085549e-05,0.02463327323122355
0.00011,0.699788455752722,-0.026961962402892524,1.0,0.5971854399323007,0.7024173892006075
0.0002,0.8311988153259514,-0.01857352377534742,1.0,0.7064049320136045,0.7545001756926668
0.0003,0.2063853269236803,0.13164120737510474,1.0,-0.07767585208513164,0.5450150015089266
0.0004,1.0,-0.007310459956040622,1.0,0.913846047310688,0.85314704285489
0.0005,1.0,-0.009500914413093746,0.4845266425367637,0.5427820647787824,0.8418095929534124
0.0006,1.0,-0.009945173614498417,0.339505521266197,0.3419338711002165,0.8654597620062204
0.0007,1.0,-0.009713276158687282,0.3009901134325281,0.24798180610087966,0.9013606094738551
0.0008,1.0,-0.00908072682980438,0.28779585534318225,0.19170744205844148,0.933540611521806
0.0009,1.0,-0.008218938584813642,0.28422102899413554,0.1539241473945223,0.9576213583799436
0.001,1.0,-0.007241341136941983,0.2851202155805608,0.1268369344331137,0.9739969316157574
0.002,1.0,-0.0007587888279307159,0.33756333538698363,0.04353148047198529,0.9998716403786113
0.003,1.0,-0.0030634993929087913,0.3861074324358657,0.0452038017512896,0.9993088748670934
0.004,1.0,-0.0068290724658698196,0.424636860209905,0.05469542625451951,0.9968860324175527
0.005,1.0,-0.01004356692790029,0.4560082196267148,0.06273995448985054,0.9933572273875525
0.01,1.0,-0.018699799980949713,0.5520265946192079,0.07969263366259946,0.9823316996792048
0.011,1.0,-0.019509219711595194,0.5638127214956645,0.08025820958328642,0.9822798544798499
0.012,1.0,-0.020130532671004266,0.5740625702415223,0.08029801986953561,0.9827167659744663
0.013,1.0,-0.020594699999452976,0.5830304208518635,0.07992196564873173,0.9835173682381574
0.014,1.0,-0.020926756932416406,0.5909253748532082,0.07921808672563563,0.9845737917416802
0.015,1.0,-0.02114714046942159,0.5979199892393225,0.07825709665274459,0.9857968945761754
0.016,1.0,-0.021272667338041187,0.6041570046250261,0.07709588480956414,0.9871151386703453
0.017,1.0,-0.021317268658335803,0.6097547145134108,0.07578025716295356,0.9884723981005717
0.018,1.0,-0.021292550445912814,0.6148113091208856,0.07434709917751534,0.9898255030095877
