Row,R-value
0,0.6469656412315565
1,0.4055143587090091
2,0.5234786209192838
3,0.4397846396105046
4,0.3522224970882927
5,0.09991417701359889
6,-0.3751178591821383
7,-0.7981157957579799
8,-0.9380490186280777
9,-0.9730623698427401
10,-0.9845641988268616
11,-0.9993637072214532
12,-0.9994828926360269
13,-0.9976248568814612
14,-0.9946816766641571
15,-0.9850996268779648
16,-0.9854786708111634
17,-0.9864190615154051
18,-0.9877386788289471
19,-0.9892510289032013
20,-0.990771289993214
21,-0.9921149792779165
22,-0.9930880914724763
23,-0.9934635018471932
24,-0.9929297127691574
25,-0.9909754207426004
26,-0.986605522362523
27,-0.9775470146312344
28,-0.9576048422397886
29,-0.9055096964397662
30,-0.723397302606567
31,-0.03519263646490528
32,0.679140670374204
33,0.8787842735312774
34,0.9380358685212766
35,0.9615856507747113
36,0.9728645047740976
37,0.9788777385359306
38,0.9822551876472825
39,0.9841579459807115
40,0.9851652565372702
41,0.9855964349578045
42,0.985643550501087
43,0.9854313759733522
44,0.9850463110089422
45,0.9845510340430446
46,0.9844692229061947
47,0.9853538471431661
48,0.9861154391105993
49,0.9867655808642143
50,0.9873139291804742
51,0.9877686967630492
52,0.9881369882786195
53,0.9884250403294497
54,0.9886383963975869
55,0.9887820368337863
56,0.9888604771820946
57,0.9888778437760786
58,0.9888379327704638
59,0.9887442568712654
60,0.9886000828162683
61,0.9884084617725204
62,0.988172254237927
63,0.9878941506147749
64,0.9875766883164534
65,0.9872222660629912
66,0.9868331558569784
67,0.9864115130179987
68,0.9859593845623554
69,0.985478716159022
70,0.9849713578206174
71,0.9844390684805215
72,0.983883519542359
73,0.9833062974927329
74,0.9827089056227437
75,0.9820927649072799
76,0.9814592140625322
77,0.9808095087993072
78,0.98014482026476
79,0.9794662326725925
80,0.9787747401041024
81,0.978071242451206
82,0.9773565404829468
83,0.9766313300177938
84,0.975896195179013
