strain,stress_strRt_0.0001,Extrapolated,Stress 298,Stress 473
0.06,1.040258887,1073.30999,1050.158474,1091.730151
0.061,1.040471401,1075.00947,1051.1269,1092.982342
0.062,1.040672716,1076.66714,1052.076471,1094.212608
0.063,1.040862706,1078.28421,1053.007846,1095.42167
0.064,1.041041248,1079.8618,1053.921653,1096.610219
0.065,1.041208217,1081.40096,1054.818487,1097.778909
0.066,1.041363491,1082.90269,1055.698915,1098.928365
0.067,1.041506947,1083.1685,1056.563478,1100.059185
0.068,1.041638464,1084.3679,1057.41269,1101.171938
0.069,1.041757921,1085.79745,1058.247042,1102.267168
0.07,1.041865197,1087.19214,1059.067001,1103.345395
0.071,1.041960172,1088.55272,1059.873016,1104.407118
0.072,1.042042723,1089.87991,1060.665512,1105.452814
0.073,1.04211273,1091.17436,1061.444899,1106.482938
0.074,1.042170072,1092.43669,1062.211567,1107.497928
0.075,1.042214627,1093.66748,1062.965891,1108.498205
0.076,1.042246273,1094.86728,1063.708228,1109.484171
0.077,1.042264886,1096.0366,1064.438922,1110.456213
0.078,1.042270344,1097.0988,1065.158302,1111.414701
0.079,1.042262521,1097.17591,1065.866684,1112.359994
0.08,1.042241292,1098.28568,1066.564372,1113.292433
0.081,1.042206532,1099.36631,1067.251656,1114.212351
0.082,1.042158113,1100.4182,1067.928817,1115.120063
0.083,1.042095906,1101.44173,1068.596124,1116.015878
0.084,1.042019783,1102.43724,1069.253835,1116.900088
0.085,1.041929612,1103.40505,1069.902199,1117.772979
0.086,1.041825261,1104.34547,1070.541457,1118.634824
0.087,1.041706596,1105.25878,1071.171839,1119.485888
0.088,1.041573484,1106.14524,1071.793568,1120.326427
0.089,1.041425787,1107.00511,1072.406858,1121.156685
0.09,1.041263366,1107.5935,1073.011916,1121.976902
0.091,1.041086084,1107.8386,1073.608942,1122.787307
0.092,1.040893798,1108.64594,1074.198129,1123.588121
0.093,1.040686365,1109.42731,1074.779661,1124.379561
0.094,1.04046364,1110.18291,1075.35372,1125.161833
0.095,1.040225476,1110.9129,1075.920479,1125.935139
0.096,1.039971726,1111.61743,1076.480105,1126.699673
0.097,1.039702238,1112.29665,1077.03276,1127.455624
0.098,1.039416859,1112.95068,1077.578603,1128.203174
0.099,1.039115436,1113.57965,1078.117784,1128.942499
0.1,1.038797811,1114.18365,1078.65045,1129.673773
0.11,1.034694401,1114.76278,1083.648056,1136.577826
0.12,1.028781082,1114.95855,1088.126431,1142.831945
0.13,1.020859448,1115.31713,1092.176351,1148.543967
0.14,1.01070045,1115.84677,1095.867223,1153.797228
0.15,0.998040095,1116.35176,1099.253234,1158.657425
0.16,0.98257498,1116.83216,1102.377448,1163.177241
0.17,0.963957541,1117.288,1105.274624,1167.399553
0.18,0.941790887,1117.71933,1107.973194,1171.359709
0.19,0.915623144,1118.12617,1110.496697,1175.087185
0.2,0.884941169,1118.50854,1112.864824,1178.606808
0.21,0.849163535,1118.86645,1115.094205,1181.939682
0.22,0.807632652,1119.19989,1117.199003,1185.10389
0.23,0.759605893,1119.44389,1119.191375,1188.115044
0.24,0.704245571,1119.50887,1121.081825,1190.98671
0.25,0.640607604,1119.79337,1122.879493,1193.730749
0.26,0.567628695,1120.05337,1124.592371,1196.357592
0.27,0.484111826,1120.28883,1126.22749,1198.876455
0.28,0.388709845,1120.49973,1127.791066,1201.295524
0.29,0.279906916,1121.24458,1129.288616,1203.622099
