strain,C1,C2,C3,C4
0.0,-0.11863473392971843,0.5591503641869684,-0.2845544929952499,-0.10282279622921643
0.00011,-0.12003024178390558,1.0887503355286865,-0.20420926038146361,-0.03670464870414221
0.0002,-0.1211619879497534,1.1431837410216523,-0.05573824588122145,-0.010242353921905565
0.0003,-0.12240894646614513,1.176927016721333,0.15119904535476647,-0.002582905142916943
0.0004,-0.12364486713105777,1.1989699946952719,0.28343250327886904,-0.004208774484789747
0.0005,-0.1248698056447198,1.2148296309301272,0.33448062446542604,-0.007036888177663576
0.0006,-0.1260838175809797,1.226904407814533,0.350208930741542,-0.008625056852859931
0.0007,-0.1272869583873058,1.2364457835105565,0.35470455887045516,-0.00909016767007182
0.0008,-0.12847928338478648,1.2441855770946457,0.3559615441569054,-0.009057041023536137
0.0009,-0.12966084776812997,1.2505867763230374,0.3563108238271777,-0.008930551284178885
0.001,-0.13083170660566457,1.255959735794586,0.3564077108044066,-0.008850696676645455
0.002,-0.14196351463199036,1.2820784794956055,0.3564448763406687,-0.008833620423152805
0.003,-0.15208440486657493,1.288991745527322,0.35644487644025524,-0.010648401620808823
0.004,-0.1612473603667643,1.2897366447885892,0.3564448764402556,-0.01083976048767199
0.005,-0.16950410038937125,1.2878408313555993,0.3564448764402556,-0.010995116683312212
0.01,-0.19891627628980119,1.2685114072611223,0.3564448764402556,-0.011349101580013787
0.011,-0.20275105501012863,1.264441254719826,0.3564448764402556,-0.011356780797536326
0.012,-0.2060062666356362,1.2604935893679992,0.3564448764402556,-0.011349877242426087
0.013,-0.2087235200188717,1.2566937817093085,0.3564448764402556,-0.01133085292632674
0.014,-0.21094316021184986,1.253057118412327,0.3564448764402556,-0.011302012909805592
0.015,-0.21270426846605228,1.2495923546346828,0.3564448764402556,-0.011265502902756408
0.016,-0.2140446622324275,1.2463039461446481,0.3564448764402556,-0.011223306902083063
0.017,-0.21500089516139073,1.2431934890513778,0.3564448764402556,-0.01117724486793148
0.018,-0.21560825710282436,1.2402606687257225,0.3564448764402556,-0.01112897043972172
0.019,-0.21590077410607736,1.237503896448441,0.3564448764402556,-0.011079968693243014
0.02,-0.2159112084199659,1.2349207427555478,0.3564448764402556,-0.011031553940050287
0.021,-0.2156710584927726,1.2325082357769015,0.3564448764402556,-0.01098486757042405
0.022,-0.21521055897224736,1.230263068376191,0.3564448764402556,-0.010940875941123362
0.023,-0.2145586807056068,1.228181742771557,0.3564448764402556,-0.010900368309179509
0.024,-0.21374313073953424,1.2262606717530078,0.3564448764402556,-0.010863954812954768
0.025,-0.2127903523201802,1.2244962494433236,0.3564448764402556,-0.010832064501698824
0.026,-0.2117255248931619,1.2228849004956845,0.3564448764402556,-0.0108049434148203
0.027,-0.21057256410356337,1.2214231139139924,0.3564448764402556,-0.010782652712081564
0.028,-0.20935412179593568,1.2201074658468058,0.3564448764402556,-0.010765066855932481
0.029,-0.20809158601429664,1.2189346344452052,0.3564448764402556,-0.010751871847168193
0.03,-0.20680508100213088,1.2179014089984244,0.3564448764402556,-0.010742563515108383
0.031,-0.2055134672023903,1.2170046949450137,0.3564448764402556,-0.010736445863470001
0.032,-0.2042343412574932,1.2162415159199056,0.3564448764402556,-0.010732629473110267
0.033,-0.20298403600932483,1.2156090136845177,0.3564448764402556,-0.010730029962791932
0.034,-0.20177762049923761,1.2151044465608385,0.3564448764402556,-0.010727366509124758
0.035,-0.2006288999680507,1.2147251868259483,0.3564448764402556,-0.010723160426815648
0.036,-0.19955041585604985,1.214468717403086,0.3564448764402556,-0.010715733810354733
0.037,-0.19855344580298803,1.2143326280967344,0.3564448764402556,-0.010703208238253659
0.038,-0.19764800364808507,1.214314611553731,0.3564448764402556,-0.010683503540924955
0.039,-0.19684283943002764,1.214412459083729,0.3564448764402556,-0.01065433663330384
0.04,-0.19614543938696913,1.214624056436122,0.3564448764402556,-0.010613220413269397
0.041,-0.1955620259565297,1.214947379603475,0.3564448764402556,-0.010650662342540912
0.042,-0.19509755777579693,1.2153804907012802,0.3564448764402556,-0.010655574114246549
0.043,-0.19475572968132468,1.215921533958703,0.3564448764402556,-0.010660579850146878
0.044,-0.1945389727091343,1.216568731843683,0.3564448764402556,-0.010665681347815245
0.045,-0.1944484540947133,1.2173203813372808,0.3564448764402556,-0.010670880439213302
0.046,-0.1944840772730165,1.218174850365913,0.3564448764402556,-0.010676178991348876
0.047,-0.19464448187846548,1.2191305743954393,0.3564448764402556,-0.010681578906946413
0.048,-0.19492704374494893,1.2201860531876934,0.3564448764402556,-0.010687082125130257
0.049,-0.1953278749058218,1.221339847717552,0.3564448764402556,-0.010692690622120986
0.05,-0.1958418235939072,1.222590577246923,0.3564448764402556,-0.01069840641194509
0.051,-0.19646247424149363,1.2239369165507643,0.3564448764402556,-0.010704231547158197
0.052,-0.19718214748033666,1.2253775932894877,0.3564448764402556,-0.01071016811958217
0.053,-0.19799190014165977,1.2269113855215557,0.3564448764402556,-0.010716218261056272
0.054,-0.19888152525615263,1.228537119349832,0.3564448764402556,-0.01072238414420272
0.055,-0.19983955205397194,1.230253666695113,0.3564448764402556,-0.010728667983206883
0.056,-0.20085324596474138,1.2320599431903179,0.3564448764402556,-0.010735072034612393
0.057,-0.20190860861755053,1.2339549061888895,0.3564448764402556,-0.010741598598131487
0.058,-0.2029903778409576,1.2359375528811576,0.3564448764402556,-0.010748250017470831
0.059,-0.20408202766298564,1.2380069185126166,0.3564448764402556,-0.010755028681173156
0.06,-0.20516576831112607,1.2401620746983268,0.3564448764402556,-0.010761937023474989
0.061,-0.2062225462123379,1.2424021278279038,0.3564448764402556,-0.010768977525180792
0.062,-0.20723204399304437,1.2447262175558342,0.3564448764402556,-0.010776152714553832
0.063,-0.20817268047913726,1.2471335153721375,0.3564448764402556,-0.010783465168224076
0.064,-0.20902161069597655,1.2496232232486464,0.3564448764402556,-0.01079091751211348
0.065,-0.2097547258683856,1.2521945723564791,0.3564448764402556,-0.010798512422378953
0.066,-0.21034665342065803,1.2548468218504911,0.3564448764402556,-0.010806252626373376
0.067,-0.2107707569765521,1.2575792577167824,0.3564448764402556,-0.010814140903625005
0.068,-0.210999136359295,1.2603911916795434,0.3564448764402556,-0.0108221800868356
0.069,-0.21100262759157892,1.2632819601637724,0.3564448764402556,-0.010830373062897665
0.07,-0.21075080289556278,1.266250923310592,0.3564448764402556,-0.010838722773931133
0.071,-0.21021197069287387,1.269297464042106,0.3564448764402556,-0.010847232218339886
0.072,-0.2093531756046064,1.2724209871729308,0.3564448764402556,-0.010855904451888504
0.073,-0.20814019845131956,1.2756209185656988,0.3564448764402556,-0.010864742588799579
0.074,-0.20653755625304157,1.278896704328024,0.3564448764402556,-0.010873749802872056
0.075,-0.20450850222926628,1.2822478100485588,0.3564448764402556,-0.010882929328620944
0.076,-0.20201502579895456,1.2856737200699246,0.3564448764402556,-0.010892284462438848
0.077,-0.19901785258053414,1.2891739367964428,0.3564448764402556,-0.010901818563779699
0.078,-0.19547644439190057,1.2927479800347184,0.3564448764402556,-0.010911535056365159
0.079,-0.1913489992504149,1.296395386365247,0.3564448764402556,-0.010921437429414076
