Row,R_squared
0.0,-4.209090693470488
0.00011,-30.313818940863182
0.0002,-52.235722786311534
0.0003,-74.44368741125757
0.0004,-38.27799911659048
0.0005,-2.2193515317168866
0.0006,-17.30822178184066
0.0007,-25.40721541476641
0.0008,-4.631091368144521
0.0009,-11.363117870380835
0.001,-122.16729146100806
0.002,-5.413323546511234
0.003,-791.8514682278484
0.004,-87.50206671461653
0.005,-24.413543380889735
0.01,-433.78736032597413
0.011,-296.76840108455235
0.012,-162.6402594869644
0.013,-64.736932916458
0.014,-14.717231721060124
0.015,-5.3211759170833375
0.016,-18.796448267834858
0.017,-36.48613581046508
0.018,-45.83436624625649
0.019,-42.97849515946669
0.02,-31.47167159204036
0.021,-17.193127504017006
0.022,-6.597359408135305
0.023,-2.3111813333719278
0.024,-3.4452151713523813
0.025,-7.009730894022093
0.026,-9.883097742046953
0.027,-10.289936661962535
0.028,-8.24499602610986
0.029,-5.032444646183709
0.03,-2.21914625699468
0.031,-0.795562961939636
0.032,-0.8328058595638688
0.033,-1.7004828054921313
0.034,-2.5977041876777474
0.035,-3.037534723116557
0.036,-3.016497241447861
0.037,-2.8259780772960506
0.038,-2.71215864626708
0.039,-7.464180945209025
0.04,-2.3816644240504727
0.041,-18.951260730981513
0.042,-8.377252014699597
0.043,-3.3686161433568858
0.044,-1.5333535173228543
0.045,-1.3693591462712735
0.046,-1.9617462958620484
0.047,-2.7780192859201556
0.048,-3.5303147422318073
0.049,-4.083469368911283
0.05,-4.394279997068656
0.051,-4.471894859394314
0.052,-4.352436634189391
0.053,-4.08314050992516
0.054,-3.7127948817268352
0.055,-3.2863069829130227
0.056,-2.8419256150365046
0.057,-2.4101386413791377
0.058,-2.0135937032267672
0.059,-1.66761494879071
0.06,-1.3810398132105757
0.061,-1.1572011212379683
0.062,-0.9949469177054309
0.063,-0.8896344240940552
0.064,-0.8340629008174152
0.065,-0.8193281215789507
0.066,-0.8355921575852558
0.067,-0.8727686170580549
0.068,-0.9211270048433411
0.069,-0.9718215418575555
0.07,-1.0173503350281692
0.071,-1.0519506884225827
0.072,-1.0719359012579055
0.073,-1.075978301716729
0.074,-1.0653426352315738
0.075,-1.0440733309424712
0.076,-1.019138646995155
0.077,-1.0005342603528846
0.078,-1.0013485232669792
0.079,-1.037791352348893
