PEEQ,C1,C2,C3,C4,R_squared
0.0,-0.3771483018161273,12361955.73598358,7.034198460994119,-0.02156856038613695,0.9747162048119101
0.00011,-0.3065305935032141,10.031259347148312,1.1650387263413613,-0.019514840463586515,1.0
0.0002,-0.2549125630696586,3.7602189515552693,0.8116920144715358,-0.016028372798008346,1.0
0.0003,-0.23522047767198742,2.3766312730506676,0.6245412274538147,-0.014454976261160369,1.0
0.0004,-0.22194699988581154,1.8388662753089777,0.5064704138701831,-0.013249060936315721,1.0
0.0005,-0.20915868529667805,1.5575692822951397,0.4220716597508797,-0.012070763806661604,1.0
0.0006,-0.1959335249979849,1.3878153775205777,0.35774123917895895,-0.010887088900984845,1.0
0.0007,-0.1823619513755487,1.2768809709862747,0.30673249465954144,-0.009720015294430909,1.0
0.0008,-0.16869440780872239,1.2007234645890834,0.26517682364480516,-0.008594863426938435,1.0
0.0009,-0.155158841996025,1.1466851482714628,0.23064063825256292,-0.007530715170348742,1.0
0.001,-0.14193317914618356,1.107431609598506,0.2014944283463172,-0.006540095961563799,1.0
0.002,-0.0511857309141727,0.994634406191117,0.06465749536450564,-0.0012563152997589464,1.0
0.003,-0.06866274342173653,0.989217240511793,0.08607260682283024,-0.002038749563798792,1.0
0.004,-0.08902599829937889,0.9951177831337443,0.11425641454549088,-0.0031031365745943407,1.0
0.005,-0.10054557840974251,1.0019388542832366,0.13233788239023095,-0.003768457351823173,1.0
0.01,-0.11435519083285943,1.0142190197492649,0.15839787875279915,-0.004581232708092327,1.0
0.011,-0.11371921453713545,1.0129193862067425,0.15765232588677372,-0.00452914280715944,1.0
0.012,-0.11258322216187591,1.0108997165033857,0.1559565234710375,-0.004445351577635618,1.0
0.013,-0.1110580451926092,1.0083469508804774,0.1535313049724918,-0.0043375555856512375,1.0
0.014,-0.10922293714630218,1.005414411180502,0.15054270701036174,-0.004211383415812213,1.0
0.015,-0.10713504469719112,1.0022250932871033,0.14711590032167893,-0.004070985553019982,1.0
0.016,-0.10483546112136193,0.998875962364963,0.14334498435951432,-0.003919429073915837,1.0
0.017,-0.10235319731524826,0.9954423111141174,0.13930001983224266,-0.0037589685441394203,1.0
0.018,-0.09970781775018464,0.9919817562058699,0.13503213353933666,-0.0035912353406094303,1.0
0.019,-0.09691117160055962,0.988537712914813,0.1305772211773463,-0.003417371158976314,1.0
0.02,-0.09396846614923099,0.9851423209667973,0.12595858332616322,-0.0032381217119725786,1.0
0.021,-0.09087881367862904,0.9818188574840673,0.1211887010494655,-0.0030539005140362016,1.0
0.022,-0.08763529775129669,0.9785836987474572,0.11627025806443894,-0.002864828489929403,1.0
0.023,-0.08422452535610682,0.9754478992664736,0.11119642293452563,-0.002670751905309957,1.0
0.024,-0.08062553313556252,0.9724184541656958,0.10595029227064881,-0.002471237968791661,1.0
0.025,-0.07680776155396762,0.9694993045792619,0.10050322562733813,-0.002265543454905975,1.0
0.026,-0.07272752674512976,0.9666921385177016,0.09481149694582813,-0.002052545276276007,1.0
0.027,-0.06832182942705511,0.9639970336016119,0.08881006020601644,-0.0018306095730888515,1.0
0.028,-0.0634969861372011,0.9614129847004323,0.08240079578361205,-0.0015973490676685841,1.0
0.029,-0.058106053330496586,0.9589383626048241,0.07542889761303398,-0.0013491519214344023,1.0
0.03,-0.05189837016601518,0.9565713689972452,0.06762984407547933,-0.0010801738737681353,1.0
0.031,-0.04438415521692018,0.9543106253280828,0.05848684456167628,-0.0007798025556191909,1.0
0.032,-0.034333920716819386,0.952156353119619,0.0467035773938967,-0.0004241447078662305,1.0
0.033,-0.015397882976168164,0.9501152690971794,0.025590381888825835,8.430455082958921e-05,1.0
0.034,0.03997931673089434,0.9482634014146639,-0.033890319336768095,-0.00032772380736141295,1.0
0.035,0.04821341086345896,0.9465211598076588,-0.04370815474500414,-0.0008478118573076048,1.0
0.036,0.05305396599026419,0.9448502474293612,-0.049923531758573385,-0.0012735279764364358,1.0
0.037,0.0564533724400698,0.9432430331321009,-0.05459217349678912,-0.0016473932338664662,1.0
0.038,0.05903048279020475,0.9416944590913573,-0.05836629323214308,-0.001985768243445304,1.0
0.039,0.061070682756401935,0.9402005216278085,-0.061547222029941145,-0.002297286679334481,1.0
0.04,0.06273157576866042,0.9387578078822912,-0.06430184776679897,-0.0025872727912028284,1.0
0.041,0.06411022349982036,0.937363299378763,-0.06673335309003839,-0.002859338021813388,1.0
0.042,0.06527096766130855,0.9360142717287405,-0.06891047668379911,-0.003116095333242928,1.0
0.043,0.06625878766559135,0.9347082363024221,-0.07088155866130089,-0.003359525366433872,1.0
0.044,0.06710641634511623,0.9334429026645469,-0.07268202126614862,-0.003591183000610505,1.0
0.045,0.06783843504032182,0.9322161522933514,-0.07433867364125746,-0.003812322540684554,1.0
0.046,0.068473775715081,0.9310260189003677,-0.07587234222201256,-0.004023977955044133,1.0
0.047,0.06902732473597918,0.92987067287965,-0.0772995571662756,-0.004227016675618563,1.0
0.048,0.06951099183111438,0.9287484085025443,-0.07863367694787735,-0.00442217703227522,1.0
0.049,0.06993444622697388,0.9276576330339639,-0.07988566339896475,-0.004610095125804251,1.0
0.05,0.07030563775116815,0.9265968572692511,-0.08106463094218327,-0.004791324636552594,1.0
0.051,0.07063117453722356,0.9255646871743719,-0.08217824523939231,-0.004966351761011,1.0
0.052,0.07091660245035983,0.924559816408346,-0.08323301863181347,-0.0051356067014170425,1.0
0.053,0.07116661552089812,0.9235810195886675,-0.08423453309807184,-0.005299472654952181,1.0
0.054,0.07138521695807387,0.9226271461719218,-0.085187611284748,-0.005458292959680084,1.0
