PEEQ,C1,C2,C3,C4,C5,C6,C7,C8,C9,R²
1.99,2.7913465712081313,0.007276761271582529,0.2735934357027004,0.33643986645853396,341.80356051982847,119.39707620385973,0.8500076521165437,578.158070590456,197.21112837765216,0.9999999999999918
2.0,2.7803355767496902,0.007193617590628202,0.2711727017836398,0.32396368769804895,341.18255212681197,116.77921916800811,0.8520779431098757,577.061114328627,199.39780770755377,1.0
2.01,2.865317113803129,0.007692314848155928,0.28311099880482615,0.3944986382875516,345.75118918990336,130.11150741638,0.8404239992669624,583.5913710044482,187.431961899722,1.0
2.02,2.772280262773175,0.007196456937630247,0.27886056517258273,0.31509344448821763,340.9621982957324,114.79094988772259,0.8458046548955609,576.0651679070863,199.98563603152374,1.0
2.03,2.843831917198656,0.007490761289283729,0.27406008951025296,0.36950592627749984,343.7322114513675,125.28168516494797,0.8503964800893331,581.1312795902679,192.27742448985666,1.0
2.04,2.85102392799818,0.007513155843075085,0.2738836440303856,0.37280790286311183,343.9489137226243,125.78767878466441,0.850712277947178,581.4253846502359,191.82507490369574,0.9999999999999997
2.05,2.752781734561242,0.00726188090037897,0.3020823497398338,0.3037973214799639,341.2590657368005,112.02139663691094,0.8261869251985646,574.5935017652332,198.98527321855136,0.9999997667051626
2.06,2.7959186438956762,0.007486525150238405,0.3056685229896052,0.33221403491322626,342.35155967259385,118.19349896132711,0.824329921692887,577.0134471937895,194.47532138024144,1.0
2.07,2.8153281634624445,0.007184446697709903,0.2582740293218719,0.3303800341262507,341.3309875566924,117.34182088693932,0.8651380501612538,577.7022506256518,199.99995709855267,1.0
2.08,2.7738504228038416,0.007372056292005839,0.3070945491873884,0.31089783307524044,341.355478621945,113.51942901025492,0.8232521242087045,574.9395237736247,197.7059050869133,0.9999999999999999
2.09,2.6473977569430414,0.007438722228376517,0.3884250316559437,0.24419611599888913,340.21657587586503,95.80146329947527,0.7502671549669762,566.673344888097,199.20784912967497,0.9999999162320526
2.1,2.6508466490130775,0.007414178434590298,0.3848354950219469,0.24300474516635098,340.04527690240235,95.15378371118602,0.7535364993362665,566.5681595509652,199.96920364448914,1.0
2.11,2.602731325514744,0.007458815184319996,0.4183133762152455,0.2230287103611632,339.85812753817055,86.47368736184784,0.7231753481444553,563.5065092894326,199.53332686576124,0.9999999999999981
