Strain,Stress,delT,Rate,I_Temp,Temp
0.095,1075.920478811016,0,0.0001,298.0,298.0
0.096,1076.480104763865,0,0.0001,298.0,298.0
0.097,1077.0327604397455,0,0.0001,298.0,298.0
0.098,1077.5786027909205,0,0.0001,298.0,298.0
0.099,1078.1177836880645,0,0.0001,298.0,298.0
0.1,1078.6504501338914,0,0.0001,298.0,298.0
0.11,1083.6480563993207,0,0.0001,298.0,298.0
0.12,1088.1264313981762,0,0.0001,298.0,298.0
0.13,1092.176351286748,0,0.0001,298.0,298.0
0.14,1095.867223207298,0,0.0001,298.0,298.0
0.15,1099.2532338290707,0,0.0001,298.0,298.0
0.16,1102.3774480497311,0,0.0001,298.0,298.0
0.17,1105.2746236059716,0,0.0001,298.0,298.0
0.18,1107.973194000862,0,0.0001,298.0,298.0
0.19,1110.4966970001933,0,0.0001,298.0,298.0
0.2,1112.8648240909615,0,0.0001,298.0,298.0
0.21,1115.0942049882417,0,0.0001,298.0,298.0
0.22,1117.1990032461283,0,0.0001,298.0,298.0
0.23,1119.1913747974393,0,0.0001,298.0,298.0
0.24,1121.081825435484,0,0.0001,298.0,298.0
0.25,1122.8794927103938,0,0.0001,298.0,298.0
0.26,1124.5923705480946,0,0.0001,298.0,298.0
0.27,1126.227489944204,0,0.0001,298.0,298.0
0.28,1127.7910656017264,0,0.0001,298.0,298.0
0.29,1129.288615896761,0,0.0001,298.0,298.0
0.3,1130.725061760117,0,0.0001,298.0,298.0
0.31,1132.104808747797,0,0.0001,298.0,298.0
0.32,1133.4318155995973,0,0.0001,298.0,298.0
0.33,1134.7096518563037,0,0.0001,298.0,298.0
0.34,1135.9415465550608,0,0.0001,298.0,298.0
0.35,1137.1304296021513,0,0.0001,298.0,298.0
0.36,1138.278967098924,0,0.0001,298.0,298.0
0.37,1139.389591645586,0,0.0001,298.0,298.0
0.38,1140.464528451308,0,0.0001,298.0,298.0
0.39,1141.5058179245236,0,0.0001,298.0,298.0
0.4,1142.515335294746,0,0.0001,298.0,298.0
0.41,1143.4948077194294,0,0.0001,298.0,298.0
0.42,1144.445829250873,0,0.0001,298.0,298.0
0.43,1145.3698739747826,0,0.0001,298.0,298.0
0.44,1146.268307580611,0,0.0001,298.0,298.0
0.45,1147.1423975818,0,0.0001,298.0,298.0
0.46,1147.9933223695928,0,0.0001,298.0,298.0
0.47,1148.8221792556958,0,0.0001,298.0,298.0
0.48,1149.6299916355692,0,0.0001,298.0,298.0
0.49,1150.4177153846017,0,0.0001,298.0,298.0
0.5,1151.1862445831118,0,0.0001,298.0,298.0
