Tmp298.15K_StrRt0.0001_RD_E,Tmp298.15K_StrRt0.0001_RD_r,Tmp298.15K_StrRt0.0001_RD_U,Tmp298.15K_StrRt0.0001_RD_L,Tmp298.15K_StrRt0.0001_DD_E,Tmp298.15K_StrRt0.0001_DD_r,Tmp298.15K_StrRt0.0001_DD_U,Tmp298.15K_StrRt0.0001_DD_L,Tmp298.15K_StrRt0.0001_TD_E,Tmp298.15K_StrRt0.0001_TD_r,Tmp298.15K_StrRt0.0001_TD_U,Tmp298.15K_StrRt0.0001_TD_L,Tmp298.15K_StrRt0.001_RD_E,Tmp298.15K_StrRt0.001_RD_r,Tmp298.15K_StrRt0.001_RD_U,Tmp298.15K_StrRt0.001_RD_L,Tmp298.15K_StrRt0.001_DD_E,Tmp298.15K_StrRt0.001_DD_r,Tmp298.15K_StrRt0.001_DD_U,Tmp298.15K_StrRt0.001_DD_L,Tmp298.15K_StrRt0.001_TD_E,Tmp298.15K_StrRt0.001_TD_r,Tmp298.15K_StrRt0.001_TD_U,Tmp298.15K_StrRt0.001_TD_L,Tmp298.15K_StrRt0.01_RD_E,Tmp298.15K_StrRt0.01_RD_r,Tmp298.15K_StrRt0.01_RD_U,Tmp298.15K_StrRt0.01_RD_L,Tmp298.15K_StrRt0.01_DD_E,Tmp298.15K_StrRt0.01_DD_r,Tmp298.15K_StrRt0.01_DD_U,Tmp298.15K_StrRt0.01_DD_L,Tmp298.15K_StrRt0.01_TD_E,Tmp298.15K_StrRt0.01_TD_r,Tmp298.15K_StrRt0.01_TD_U,Tmp298.15K_StrRt0.01_TD_L,Tmp298.15K_StrRt0.1_RD_E,Tmp298.15K_StrRt0.1_RD_r,Tmp298.15K_StrRt0.1_RD_U,Tmp298.15K_StrRt0.1_RD_L,Tmp298.15K_StrRt0.1_DD_E,Tmp298.15K_StrRt0.1_DD_r,Tmp298.15K_StrRt0.1_DD_U,Tmp298.15K_StrRt0.1_DD_L,Tmp298.15K_StrRt0.1_TD_E,Tmp298.15K_StrRt0.1_TD_r,Tmp298.15K_StrRt0.1_TD_U,Tmp298.15K_StrRt0.1_TD_L
0.037,0.722433333,0.002966667,0.003833333,0.037,0.990166667,0.006233333,0.003266667,0.037,0.846033333,0.002766667,0.002233333,0.046,0.7683,0.0186,0.0169,,,,,,,,,0.046,0.787633333,0.055066667,0.061433333,,,,,,,,,0.046,0.729233333,0.059666667,0.036233333,,,,,,,,
0.038,0.722866667,0.002733333,0.003266667,0.038,0.993033333,0.004566667,0.004033333,0.038,0.843733333,0.004366667,0.004033333,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.729266667,0.059333333,0.036366667,,,,,,,,
0.039,0.723233333,0.002266667,0.002233333,0.039,0.994233333,0.003766667,0.002933333,0.039,0.8477,0.0071,0.004,,,,,,,,,,,,,,,,,,,,,,,,,0.048,0.727033333,0.061366667,0.042733333,,,,,,,,
0.04,0.723766667,0.002133333,0.002966667,0.04,0.995266667,0.003133333,0.003166667,0.04,0.849,0.0052,0.0057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.041,0.727666667,0.005633333,0.005466667,0.041,0.9971,0.0038,0.003,0.041,0.8477,0.0032,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.042,0.727666667,0.005333333,0.004966667,0.042,0.998633333,0.002866667,0.003433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.043,0.728666667,0.004533333,0.005066667,0.043,0.9991,0.0041,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.042,0.725966667,0.001833333,0.001666667,0.044,1.001533333,0.003466667,0.002833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045,0.727433333,0.002866667,0.002733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.046,0.728066667,0.001333333,0.002566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
