Strain,RD_R_value,DD_R_value,TD_R_value
0.0,0.527104363326687,0.9999999999999998,0.9999999999999988
0.00011,0.5288202788282524,1.00016084204902,1.0000125062519876
0.0002,0.5302172069767157,1.0002917836866052,1.0000226876014882
0.0003,0.5317619944757119,1.0004365849815482,1.0000339466067911
0.0004,0.533299077314914,1.0005806640770196,1.0000451494575708
0.0005,0.5348284939214728,1.0007240245750046,1.0000562964338993
0.0006,0.5363502825308836,1.000866670059523,1.0000673878144513
0.0007,0.5378644811879405,1.0010086040967192,1.000078423876512
0.0008,0.5393711277476889,1.0011498302349515,1.0000894048959834
0.0009,0.5408702598763713,1.001290352004881,1.000100331147392
0.001,0.542361915052369,1.0014301729195592,1.000111202903894
0.002,0.5568753471996798,1.002790595482768,1.0002169823781693
0.003,0.570680950908697,1.0040846694546472,1.0003176029266079
0.004,0.5838132473797105,1.005315630694179,1.0004133161529922
0.005,0.5963050741942062,1.0064865572456418,1.0005043613902427
0.01,0.650198642006938,1.0115382931079857,1.0008971584359156
0.011,0.659452814920719,1.0124057368323893,1.0009646064065771
0.012,0.6682556564957256,1.0132308748271406,1.0010287649008933
0.013,0.6766291784210904,1.0140157703670214,1.0010897943485184
0.014,0.6845943188631998,1.0147623860997155,1.0011478473548605
0.015,0.6921709948220154,1.0154725889534493,1.0012030690826739
0.016,0.6993781519339483,1.016148154805285,1.0012555976150415
0.017,0.7062338118458188,1.0167907729217394,1.0013055643006556
0.018,0.7127551172783606,1.017402050182828,1.0013530940822566
0.019,0.7189583748919512,1.0179835151001035,1.0013983058090554
0.02,0.7248590960617569,1.018536621638731,1.001441312533919
0.021,0.7304720356642509,1.019062752853157,1.0014822217960606
0.022,0.735811228972089,1.0195632243454675,1.0015211358899443
0.023,0.7408900267496024,1.020039287555077,1.0015581521210744
0.024,0.7457211286366623,1.02049213288798,1.0015933630493092
0.025,0.7503166149043949,1.0209228926933849,1.0016268567203104
0.026,0.7546879766621518,1.0213326440951784,1.001658716885701
0.027,0.7588461445912678,1.0217224116852945,1.0016890232124902
0.028,0.7628015162774584,1.02209317008573,1.0017178514822807
0.029,0.7665639822102005,1.022445846385605,1.0017452737807626
0.03,0.7701429505141066,1.02278132245937,1.0017713586779662
0.031,0.7735473704741381,1.0231004371719514,1.0017961713997214
0.032,0.7767857549134779,1.02340398847635,1.0018197739907568
0.033,0.7798662014800238,1.0236927354089393,1.001842225469844
0.034,0.7827964128947246,1.0239673999874526,1.0018635819773756
0.035,0.7855837162123965,1.0242286690164026,1.0018838969157442
0.036,0.7882350811431749,1.0244771958044507,1.0019032210828773
0.037,0.7907571374804212,1.0247136017980185,1.0019216027992581
0.038,0.7931561916786586,1.0249384781352286,1.0019390880287524
0.039,0.7954382426229945,1.0251523871240569,1.0019557204935416
0.04,0.7976089966294568,1.0253558636483955,1.0019715417834512
0.041,0.7996738817137571,1.0255494165055414,1.0019865914599464
0.042,0.8016380611641566,1.0257335296784549,1.0020009071550582
0.043,0.8035064464523767,1.0259086635459682,1.0020145246654804
0.044,0.8052837095148363,1.0260752560339736,1.0020274780420826
0.045,0.8069742944349266,1.0262337237104653,1.0020397996750534
0.046,0.8085824285555341,1.0263844628271763,1.002051520374893
0.047,0.8101121330496,1.026527850310415,1.002062669449456
0.048,0.8115672329751469,1.0266642447035768,1.0020732747772365
0.049,0.8129513668399164,1.0267939870636893,1.0020833628770778
0.05,0.8142679956995332,1.0269174018142324,1.002092958974484
0.051,0.8155204118119485,1.0270347975563665,1.0021020870646973
0.052,0.8167117468697966,1.0271464678405955,1.0021107699726974
0.053,0.8178449798312618,1.0272526919007965,1.0021190294102775
0.054,0.8189229443690219,1.0273537353524496,1.0021268860303336
0.055,0.8199483359559082,1.027449850856815,1.0021343594785082
0.056,0.82092371860499,1.0275412787527183,1.002141468442314
0.057,0.8218515312809448,1.0276282476575216,1.002148230697864
