strain,r_value
0.0,-0.23123514884619703
0.00011,-0.20926399409448693
0.0002,-0.1916509132653414
0.0003,-0.17245657670613554
0.0004,-0.15365004363937726
0.0005,-0.1352234788607453
0.0006,-0.11716920546884216
0.0007,-0.09947970166683281
0.0008,-0.0821475976287031
0.0009,-0.06516567242883237
0.001,-0.04852685103360105
0.002,0.10044857461275117
0.003,0.22191912473125666
0.004,0.32096294005902093
0.005,0.40172059979720465
0.01,0.6298362940276347
0.011,0.6535676145698327
0.012,0.67291749424826
0.013,0.6886948650399037
0.014,0.7015593082940152
0.015,0.7120486288800476
0.016,0.7206013384053043
0.017,0.7275749874251294
0.018,0.7332611130334052
0.019,0.7378974267253012
0.02,0.7416777520523351
0.021,0.7447601275186875
0.022,0.7472734134646423
0.023,0.7493226791414187
0.024,0.7509935951869143
0.025,0.7523560151321339
0.026,0.7534668956650825
0.027,0.754372677735298
0.028,0.7551112280423651
0.029,0.7557134220733632
0.03,0.7562044348689705
0.031,0.7566047934793849
0.032,0.7569312351085375
0.033,0.7571974068217763
0.034,0.7574144360686659
0.035,0.757591395871916
0.036,0.7577356841299049
0.037,0.7578533328897423
0.038,0.7579492605201968
0.039,0.7580274773267093
0.04,0.7580912532043371
0.041,0.758143254337451
0.042,0.7581856546609859
0.043,0.7582202267429424
0.044,0.7582484158875332
0.045,0.7582714005568902
0.046,0.7582901416372998
0.047,0.7583054226095629
0.048,0.7583178823028248
0.049,0.7583280416011674
0.05,0.7583363252194428
0.051,0.7583430794587044
0.052,0.7583485866835045
0.053,0.7583530771262952
0.054,0.7583567385124178
0.055,0.7583597239080598
0.056,0.7583621581192689
0.057,0.7583641429095346
0.058,0.7583657612540663
0.059,0.758367080808615
0.06,0.758368156737858
0.061,0.7583690340215874
0.062,0.7583697493351151
0.063,0.7583703325825019
0.064,0.758370808146714
0.065,0.7583711959089655
0.066,0.7583715120798629
0.067,0.758371769877098
0.068,0.7583719800780209
0.069,0.7583721514701927
0.07,0.7583722912187539
0.071,0.7583724051659673
