Strain,RD_R_value,DD_R_value,TD_R_value
0.0,0.3961640965328839,0.34470169503094894,0.48231221578909356
0.00011,0.40417613998217095,0.361064414671759,0.49076773363365334
0.0002,0.4105437054017922,0.3740600158899383,0.4975082483193347
0.0003,0.41742671251460894,0.3880977561691594,0.5048150270396121
0.0004,0.42411356595978783,0.40172445976720894,0.5119342998974759
0.0005,0.430610304442602,0.41495214408797665,0.5188709080656153
0.0006,0.43692277823610665,0.4277925038723396,0.5256295771329818
0.0007,0.44305665506837316,0.440256918903259,0.5322149195382977
0.0008,0.44901742582584075,0.4523564615566755,0.5386314369623761
0.0009,0.45481041007852907,0.46410190420040465,0.5448835226794344
0.001,0.46044076143267365,0.4755037264430939,0.5509754638680135
0.002,0.5088245065964774,0.5727328036558106,0.603958675980806
0.003,0.5455620669072633,0.645209033982141,0.6449380374915066
0.004,0.5737472873513023,0.6995652320718335,0.6767702506439832
0.005,0.5956347324100125,0.7407474097395834,0.7016605789194443
0.01,0.6548854397620119,0.8475370153527138,0.7688607117165347
0.011,0.6615403275640226,0.8596616240459127,0.7763139010910436
0.012,0.6673178326745575,0.8704626675565947,0.7827786501812284
0.013,0.6724039631919982,0.8802700585818997,0.788477320623322
0.014,0.6769365125134453,0.8893054404251757,0.7935725970877385
0.015,0.6810181377305249,0.8977151248975446,0.7981830205393194
0.016,0.6847258718302163,0.9055939724637625,0.8023947491778145
0.017,0.6881180408974532,0.9130025088941238,0.8062703998003258
0.018,0.6912392933523575,0.9199790323843615,0.8098556442897475
0.019,0.6941242559032579,0.926548042142457,0.8131840911607355
0.02,0.6968001908379713,0.9327259912098214,0.8162808655654104
0.021,0.6992889272965802,0.9385251135651629,0.8191652081919969
0.022,0.701608264919044,0.9439558823851542,0.8218523399020299
0.023,0.7037729942034006,0.949028509684851,0.824354781114998
0.024,0.7057956385566319,0.9537537869590693,0.8266832697876367
0.025,0.7076869943736828,0.9581434835772029,0.8288473867818169
0.026,0.7094565246301044,0.9622104580097357,0.8308559703659668
0.027,0.711112646300806,0.9659685913803884,0.8327173808356676
0.028,0.7126629408779293,0.9694326194049694,0.8344396603984663
0.029,0.71411430923086,0.9726179144612814,0.8360306214451825
0.03,0.7154730862123001,0.9755402520162875,0.8374978872618613
0.031,0.7167451261700456,0.9782155831633048,0.8388489024362258
0.032,0.7179358674405573,0.9806598262595401,0.8400909251509958
0.033,0.7190503816614805,0.9828886846057117,0.8412310098155302
0.034,0.7200934121157979,0.9849174930312756,0.8422759857484721
0.035,0.7210694041427032,0.9867610935804976,0.8432324356388605
0.036,0.7219825297975573,0.9884337388307358,0.844106676091684
0.037,0.7228367083266202,0.9899490204124106,0.8449047415645055
0.038,0.723635623576995,0.9913198198186848,0.8456323723086641
0.039,0.7243827391413609,0.99255827843524,0.8462950064660149
0.04,0.7250813118063766,0.9936757837727015,0.8468977761712821
0.041,0.7257344037082334,0.9946829690635894,0.8474455073277554
0.042,0.7263448934806501,0.9955897236384743,0.8479427226244951
0.043,0.7269154865965013,0.9964052117829993,0.8483936473203499
0.044,0.7274487250446937,0.9971378980708892,0.8488022173158782
0.045,0.7279469964419885,0.997795577455733,0.8491720890543704
0.046,0.7284125426501533,0.9983854086718367,0.8495066508286087
0.047,0.7288474679485315,0.9989139497388635,0.8498090351129903
0.048,0.729253746798209,0.9993871945827806,0.8500821315875768
0.049,0.7296332312245479,0.9998106099773025,0.8503286005670532
0.05,0.729987657838616,1.0001891721751974,0.8505508865922877
0.051,0.7303186545139715,1.0005274027405164,0.8507512319841339
0.052,0.7306277467326915,1.0008294032119807,0.8509316901961839
0.053,0.730916363612978,1.0010988883276184,0.8510941388373183
0.054,0.7311858436297581,1.0013392176235527,0.8512402922635829
0.055,0.7314374400392247,1.0015534252865166,0.851371713664733
0.056,0.7316723260180246,1.0017442481947683,0.8514898265921786
0.057,0.7318915995277189,1.0019141521250958,0.8515959258928589
0.058,0.7320962879151114,1.0020653561369812,0.851691188029335
0.059,0.732287352259039,1.0021998551722078,0.8517766807778173
0.06,0.7324656914741986,1.0023194409268257,0.851853372306536
0.061,0.7326321461825323,1.0024257210665581,0.851922139644266
0.062,0.7327875023626077,1.0025201368672754,0.8519837765552936
0.063,0.7329324947872975,1.00260397936772,0.8520390008413443
0.064,0.7330678102598954,1.0026784041247794,0.8520884610946879
0.065,0.73319409065859,1.0027444446640033,0.8521327429288519
0.066,0.733311935798982,1.002803024715945,0.8521723747149537
0.067,0.7334219061240579,1.002854969328098,0.8522078328520237
0.068,0.7335245252307371,1.0029010149388569,0.852239546600579
0.069,0.7336202822418009,1.0029418184957848,0.8522679025078546
0.07,0.7337096340316838,1.0029779656978803,0.8522932484529591
0.071,0.7337930073142758,1.003009978435088,0.8523158973388831
0.072,0.7338708006005398,1.00303832149568,0.852336130457914
0.073,0.7339433860334132,1.0030634086056693,0.8523542005552045
0.074,0.7340111111071141,1.0030856078615216,0.8523703346142497
0.075,0.7340743002776403,1.0031052466119519,0.8523847363868029
0.076,0.7341332564709159,1.0031226158398283,0.8523975886880848
0.077,0.7341882624947118,1.0031379740928799,0.8524090554771391
0.078,0.7342395823601562,1.003151551005672,0.8524192837406659
0.079,0.7342874625183321,1.0031635504532375,0.8524284051972799
0.08,0.7343321330171788,1.0031741533729388,0.8524365378382228
0.081,0.7343738085836096,1.0031835202867398,0.852443787318947
0.082,0.734412689635495,1.0031917935557289,0.852450248215213
0.083,0.7344489632278947,1.0031990993918924,0.8524560051559646
0.084,0.7344828039376637,1.0032055496543109,0.8524611338445212
0.085,0.734514374690327,1.003211243450366,0.852465701978339
0.086,0.7345438275328783,1.0032162685628947,0.8524697700771213
0.087,0.7345713043559488,1.0032207027217055,0.8524733922277719
0.088,0.7345969375685786,1.0032246147355721,0.8524766167543234
0.089,0.7346208507286327,1.0032280654995134,0.852479486820009
0.09,0.7346431591317133,1.0032311088907733,0.8524820409680274
0.091,0.7346639703612496,1.0032337925656236,0.8524843136072278
0.092,0.734683384802274,1.0032361586671357,0.8524863354478143
0.093,0.7347014961212451,1.0032382444541952,0.8524881338922583
0.094,0.734718391714123,1.003240082859847,0.8524897333858164
0.095,0.7347341531247671,1.003241702987168,0.8524911557306751
0.096,0.7347488564355968,1.003243130548924,0.8524924203674331
0.097,0.7347625726323295,1.0032443882579116,0.8524935446271868
0.098,0.7347753679444939,1.0032454961726103,0.852494543957171
0.099,0.7347873041633143,1.0032464720040508,0.8524954321227654
0.1,0.7347984389384487,1.003247331387513,0.8524962213881935
0.11,0.7348759320820941,1.0032518849862413,0.8525005770729592
0.12,0.734914597865427,1.0032531485136644,0.8525018997652651
0.13,0.7349338885682781,1.0032534958653514,0.8525022977297425
0.14,0.7349435124037007,1.0032535906250928,0.8525024165576411
0.15,0.7349483134710251,1.0032536163109,0.8525024518126187
0.16,0.7349507085627629,1.0032536232356506,0.8525024622159165
0.17,0.7349519033866294,1.003253625093862,0.8525024652715985
0.18,0.7349524994388614,1.003253625590503,0.8525024661655038
0.19,0.7349527967862275,1.0032536257227633,0.8525024664261025
0.2,0.7349529451211976,1.0032536257578926,0.8525024665018321
0.21,0.7349530191196842,1.0032536257671723,0.8525024665238021
0.22,0.7349530560346138,1.0032536257696592,0.8525024665301402
0.23,0.7349530744500163,1.0032536257702986,0.8525024665319592
0.24,0.734953083636734,1.0032536257704692,0.8525024665324992
0.25,0.7349530882196247,1.0032536257705118,0.8525024665326484
