strain,r_value
0.0,0.5263463639357259
0.00011,0.5314067604179482
0.0002,0.5354862963500575
0.0003,0.5399558904210198
0.0004,0.5443598777244133
0.0005,0.5486992212666951
0.0006,0.5529748699188685
0.0007,0.5571877586239693
0.0008,0.5613388086015079
0.0009,0.5654289275489083
0.001,0.5694590098399925
0.002,0.6066454355719183
0.003,0.6387202532898253
0.004,0.6663860993986572
0.005,0.6902490266224106
0.01,0.7684991099124056
0.011,0.778325687242237
0.012,0.7868015133116047
0.013,0.7941122610060316
0.014,0.8004180808062669
0.015,0.8058571090719189
0.016,0.8105484940800122
0.017,0.8145950061073816
0.018,0.8180852887338121
0.019,0.8210958006833546
0.02,0.8236924907421214
0.021,0.825932242443596
0.022,0.8278641201689806
0.023,0.8295304439598631
0.024,0.8309677165882373
0.025,0.832207423192426
0.026,0.8332767209958689
0.027,0.8341990342178719
0.028,0.8349945672085342
0.029,0.8356807470486732
0.03,0.836272605310417
0.031,0.8367831073413765
0.032,0.8372234362857522
0.033,0.8376032380641911
0.034,0.8379308326789621
0.035,0.8382133964733396
0.036,0.8384571193377977
0.037,0.838667340306802
0.038,0.8388486645166066
0.039,0.8390050640861498
0.04,0.8391399651309671
0.041,0.8392563228162597
0.042,0.8393566860932453
0.043,0.8394432535369165
0.044,0.8395179215083983
0.045,0.8395823256969566
0.046,0.839637876951685
0.047,0.8396857921878053
0.048,0.8397271210446184
0.049,0.8397627688790817
0.05,0.8397935165987118
0.051,0.8398200377682774
0.052,0.8398429133650236
0.053,0.8398626445056586
0.054,0.8398796634239003
0.055,0.8398943429390624
0.056,0.8399070046230976
0.057,0.8399179258450068
0.058,0.8399273458469322
0.059,0.839935470985036
0.06,0.8399424792499737
0.061,0.8399485241659872
0.062,0.8399537381540336
0.063,0.8399582354326207
0.064,0.839962114519897
0.065,0.8399654603918071
0.066,0.8399683463435896
0.067,0.8399708355953945
0.068,0.8399729826771943
0.069,0.839974834623328
0.07,0.8399764320028419
0.071,0.839977809808203
0.072,0.8399789982218497
0.073,0.839980023277373
0.074,0.8399809074298135
0.075,0.8399816700475644
0.076,0.83998232783666
0.077,0.8399828952067401
0.078,0.8399833845867096
0.079,0.8399838066970096
0.08,0.8399841707844597
0.081,0.8399844848248217
0.082,0.8399847556975171
0.083,0.8399849893363289
0.084,0.8399851908593889
0.085,0.8399853646812954
0.086,0.8399855146098205
0.087,0.8399856439293241
0.088,0.839985755472701
0.089,0.8399858516834396
0.09,0.8399859346691486
0.091,0.8399860062477269
0.092,0.8399860679871871
0.093,0.8399861212400044
0.094,0.8399861671727438
0.095,0.839986206791616
0.096,0.8399862409645185
0.097,0.8399862704400489
0.098,0.8399862958639029
0.099,0.8399863177930201
0.1,0.8399863367077833
0.11,0.8399864283436281
0.12,0.8399864492299991
0.13,0.839986453990587
0.14,0.8399864550756581
0.15,0.8399864553229761
0.16,0.8399864553793468
0.17,0.8399864553921952
0.18,0.8399864553951237
0.19,0.8399864553957912
0.2,0.8399864553959434
0.21,0.8399864553959782
0.22,0.8399864553959859
0.23,0.8399864553959878
0.24,0.8399864553959882
0.25,0.8399864553959883
0.26,0.8399864553959884
0.27,0.8399864553959884
0.28,0.8399864553959884
0.29,0.8399864553959884
0.3,0.8399864553959884
0.31,0.8399864553959884
0.32,0.8399864553959884
0.33,0.8399864553959884
0.34,0.8399864553959884
0.35,0.8399864553959884
0.36,0.8399864553959884
0.37,0.8399864553959884
0.38,0.8399864553959884
0.39,0.8399864553959884
0.4,0.8399864553959884
0.41,0.8399864553959884
0.42,0.8399864553959884
0.43,0.8399864553959884
0.44,0.8399864553959884
0.45,0.8399864553959884
0.46,0.8399864553959884
0.47,0.8399864553959884
0.48,0.8399864553959884
0.49,0.8399864553959884
0.5,0.8399864553959884
0.51,0.8399864553959884
0.52,0.8399864553959884
0.53,0.8399864553959884
0.54,0.8399864553959884
0.55,0.8399864553959884
0.56,0.8399864553959884
0.57,0.8399864553959884
0.58,0.8399864553959884
0.59,0.8399864553959884
0.6,0.8399864553959884
0.61,0.8399864553959884
