Tmp373.15K_StrRt0.0001_RD_E,Tmp373.15K_StrRt0.0001_RD_S,Tmp373.15K_StrRt0.001_RD_E,Tmp373.15K_StrRt0.001_RD_S,Tmp373.15K_StrRt0.01_RD_E,Tmp373.15K_StrRt0.01_RD_S,Tmp373.15K_StrRt0.1_RD_E,Tmp373.15K_StrRt0.1_RD_S
0.003390608,815.6900635,0.003295699,817.3654175,0.002034213,781.0031738,0.039178755,1003.718445
0.00347989,817.4776611,0.0033863,819.3978882,0.002108816,782.9562378,0.040164411,1004.98291
0.00357049,819.8360596,0.003483056,821.2666626,0.00218807,784.8911133,0.0412056,1006.237488
0.003660603,821.6626587,0.003571036,824.0270386,0.00222621,786.7817993,0.04228919,1007.510986
0.003755373,824.0241089,0.003666378,826.7418213,0.00230932,790.4624023,0.043356918,1008.733521
0.003845334,825.942627,0.003759574,828.5210571,0.002396474,792.3201294,0.044383548,1009.855347
0.003952396,827.3271484,0.003869872,831.0623779,0.002468887,794.1323853,0.045396499,1010.932556
0.004041361,829.913208,0.003968373,833.1656494,0.002500103,795.8925171,0.046533689,1012.104675
0.00414481,831.612915,0.00406186,835.4085693,0.002534504,797.6455688,,
0.004235674,833.5889893,0.004162242,837.6210938,0.002586272,799.3823242,,
0.004330017,835.1599121,0.004260484,839.6121216,0.002656352,801.0986938,,
0.004420115,836.9675293,0.004352758,841.4434814,0.002703759,802.7914429,,
0.004512224,838.5551758,0.004449359,843.2980347,0.002743897,804.4352417,,
0.004605787,840.1721191,0.004549441,845.6502686,0.00280229,806.1040649,,
0.004710587,842.0528564,0.004645276,847.1525879,0.002869179,807.7572632,,
0.004799876,843.802124,0.004736939,848.9995117,0.002928964,809.3968506,,
0.00489172,845.4552612,0.004831615,850.9470825,0.00297965,810.9990845,,
0.00498656,846.8804932,0.00492586,852.1414185,0.003042736,812.5980225,,
0.005085771,848.2160645,0.005018978,853.947876,0.003114403,814.1832886,,
0.005190354,849.9978027,0.005115982,855.9379883,0.003173961,815.7226563,,
0.005284775,851.5706177,0.00522409,857.4376831,0.00322496,817.2481079,,
0.005378278,853.0463257,0.005321322,859.131897,0.003283464,818.7723999,,
0.005474053,854.4956665,0.005414274,860.5794678,0.003350586,820.2932739,,
0.005568639,856.0605469,0.005506552,861.9946289,0.003425109,821.7733154,,
0.005676349,857.3299561,0.005616148,863.56427,0.003481979,823.2454224,,
0.005791832,858.8991699,0.00571527,865.0560913,0.003531151,824.6838379,,
0.005894534,860.3659668,0.005807052,866.5709839,0.003594708,826.1039429,,
0.005989559,861.8927002,0.00591303,868.0803223,0.00367249,827.5484619,,
0.006091144,863.2938843,0.006013625,869.2991943,0.003758173,828.9649048,,
0.006189338,864.420166,0.006111679,870.9993896,0.003815638,830.348938,,
0.006282043,865.6014404,0.006210092,872.814209,0.003852439,831.7184448,,
0.006386097,866.9335327,0.00630839,873.8939209,0.003904706,833.0588379,,
0.006490726,868.3009033,0.006409063,875.020752,0.003983279,834.4017944,,
0.0065898,869.4576416,0.006507719,876.4003296,0.004065814,835.7498779,,
0.006683125,870.72229,0.006603878,877.880127,0.004126047,837.0535278,,
0.006778641,871.6896973,0.0067124,878.951355,0.00417286,838.3353882,,
0.006873261,872.9818726,0.006820998,880.3731689,0.004241507,839.6447144,,
0.006967498,874.0130615,0.006916345,881.4241333,0.004327235,840.9273071,,
0.007062224,875.1730957,0.007018415,882.944458,0.004402593,842.1925049,,
0.007157714,876.2418823,0.007115006,884.1669922,0.004446334,843.4117432,,
0.007264875,877.5152588,0.007209963,885.1821289,0.004484044,844.6140137,,
0.007361628,878.6593018,0.007308657,886.4855347,0.004551734,845.8469238,,
0.007468818,879.7696533,0.007407419,887.789856,0.00464415,847.0800171,,
0.007564186,880.862854,0.007508414,888.8453979,0.004721747,848.291687,,
0.007660817,881.9404297,0.007604626,889.9963989,0.004785363,849.4758911,,
0.007761203,882.968689,0.007710416,890.9451904,0.004861541,850.6428833,,
0.007854701,884.027771,0.007808619,892.0747681,0.004935215,851.8035889,,
0.007951822,884.8384399,0.007906012,893.085022,0.004988702,852.9334106,,
0.008050993,885.9648438,0.008000389,894.2716675,0.005041108,854.0432129,,
0.008144736,887.0026245,0.0080966,895.1190796,0.005113355,855.1671753,,
0.008249734,888.0350952,0.008210288,896.2593384,0.005202195,856.2967529,,
0.008345527,889.053772,0.008308614,897.406311,0.00527199,857.3916626,,
0.008450653,890.0883789,0.00841861,898.4052124,0.005323613,858.4638062,,
0.008546883,891.1010132,0.008528019,899.4301147,0.005378775,859.5344849,,
0.008640295,892.140564,0.008631043,900.4181519,0.005455073,860.6052856,,
0.008738587,892.9141846,0.00873339,901.4044189,0.005542751,861.6879272,,
0.008841703,893.9823608,0.008830387,902.2718506,0.005632908,862.7488403,,
0.008937312,894.8977051,0.008932663,903.2756348,0.005702702,863.7665405,,
0.009040507,895.7348022,0.009030121,904.3416138,0.005761269,864.7721558,,
0.009136227,896.5992432,0.009133865,905.2452393,0.005816931,865.7825928,,
0.009236749,897.4543457,0.00923441,906.0600586,0.005898034,866.7825928,,
0.009333242,898.3231201,0.009360662,907.0637207,0.005997787,867.7855835,,
0.009429629,899.270813,0.009464646,908.0776367,0.006080088,868.7797241,,
0.009530138,900.060791,0.009562937,909.1239014,0.006133843,869.7196045,,
0.009631246,900.8421631,0.009661605,909.9699097,0.006187699,870.6589355,,
0.009727405,901.6020508,0.009761215,910.7229004,0.006266823,871.6152954,,
0.009825057,902.4030151,0.009881554,911.7877808,0.006361058,872.5817871,,
0.00992347,903.211792,0.009980621,912.5870972,0.006449317,873.5357056,,
0.010019233,904.0827637,0.010087934,913.4491577,0.006504206,874.4633179,,
0.010114568,904.8844604,0.010207007,914.4162598,0.006562164,875.3708496,,
0.010210059,905.5532227,0.010303359,915.1255493,0.006638575,876.2761841,,
0.010306292,906.3815308,0.010415037,915.8328247,0.006732961,877.2158203,,
0.010407573,907.1224365,0.010523204,916.7057495,0.006800945,878.0949707,,
0.010518862,908.038269,0.010627861,917.706543,0.006850037,878.9588623,,
0.010628905,908.8154297,0.010734993,918.4858398,0.006929712,879.8452759,,
0.010725763,909.6297607,0.010844992,919.1751709,0.007044444,880.741333,,
0.010833472,910.4282227,0.010944113,920.0527344,0.007138293,881.5979614,,
0.010930991,911.1755371,0.011047604,920.7893066,0.007178198,882.4196167,,
0.011030452,912.0343628,0.011143204,921.5328979,0.007221248,883.2349243,,
0.011129371,912.8731689,0.011255389,922.1727905,0.007316922,884.0803833,,
0.011225095,913.5908203,0.011365674,922.967041,0.007439672,884.9718018,,
0.011323937,914.1812134,0.011468749,923.6619873,0.007522641,885.7897949,,
0.011424215,914.8813477,0.011564093,924.4657593,0.007561939,886.5674438,,
0.011522498,915.6381836,0.011660352,925.1694946,0.007610372,887.3463135,,
0.011619831,916.3330688,0.011770856,925.9036255,0.007701793,888.1646118,,
0.011715032,917.0778198,0.011872553,926.5587158,0.007812435,888.9849243,,
0.011813021,917.7432861,0.011978604,927.3649902,0.007893611,889.7784424,,
0.011911474,918.4127808,0.012091361,928.1430664,0.00794847,890.5458374,,
0.012011272,919.038208,0.012198972,928.8638306,0.008018821,891.3195801,,
0.012108403,919.8824463,0.012302485,929.4942627,0.008121283,892.100708,,
0.012218493,920.6051025,0.012408949,930.2593384,0.008214465,892.8700562,,
0.012324691,921.3166504,0.012509851,930.8395386,0.008279914,893.6153564,,
0.012423364,921.9280396,0.012615565,931.5322266,0.00834655,894.3508301,,
0.012522294,922.6542969,0.012722727,932.1324463,0.00843809,895.1088867,,
0.012638063,923.1862183,0.012818348,932.8321533,0.00853549,895.8473511,,
0.01274121,923.850647,0.012916839,933.4789429,0.008609056,896.5698853,,
0.012843321,924.5372314,0.013018774,933.9591064,0.008665733,897.2868652,,
0.012942976,925.2716675,0.013121594,934.5553589,0.008734291,897.9933472,,
0.013040334,925.8483887,0.013219398,935.1875,0.008832856,898.6989136,,
0.01313646,926.3607788,0.013327033,935.9124146,0.008927761,899.4429932,,
0.013235219,926.9887695,0.01343775,936.4144287,0.009002483,900.1471558,,
0.013343181,927.5540771,0.013545703,937.0067749,0.009067938,900.8234253,,
0.013443189,928.1783447,0.013651152,937.7866821,0.009159599,901.5374146,,
0.013541405,928.8192139,0.013752744,938.2808228,0.009274558,902.2523193,,
0.0136451,929.4170532,0.013851227,938.8970947,0.00935927,902.9245605,,
0.013742484,930.0681763,0.013962558,939.5319824,0.009413552,903.5698853,,
0.013847856,930.5609131,0.014070584,940.1378784,0.009467591,904.2155762,,
0.013943737,931.2516479,0.014187866,940.7700806,0.009559655,904.8862305,,
0.014040767,931.8312988,0.014294527,941.4202271,0.009664556,905.5666504,,
0.0141458,932.5551758,0.01440639,942.005127,0.009739749,906.203125,,
0.014247748,933.0840454,0.01451196,942.708252,0.009803835,906.8245239,,
0.014348935,933.6689453,0.014614591,943.1391602,0.009873751,907.4511719,,
0.014446444,934.1991577,0.014717262,943.7568359,0.009957095,908.0848999,,
0.014542733,934.7625122,0.014822333,944.2888794,0.010053899,908.7234497,,
0.014638664,935.3080444,0.0149189,944.7461548,0.010151847,909.3720703,,
0.014734784,935.8637085,0.015031961,945.3879395,0.010244641,910.0136719,,
0.014836173,936.4141846,0.015134927,945.9453735,0.010320927,910.6200562,,
0.014934237,936.9692993,0.015239333,946.4450684,0.010392317,911.2067871,,
0.015035713,937.4681396,0.015344874,946.850769,0.010468041,911.8021851,,
0.015133915,937.9836426,0.015447362,947.550354,0.010557259,912.4024658,,
0.01522973,938.5933838,0.015547427,947.9630737,0.010654361,913.0116577,,
0.01532651,939.0023193,0.015654728,948.5783081,0.010738,913.6022339,,
0.015422871,939.6203613,0.0157675,949.0371704,0.010808756,914.190918,,
0.015533744,940.1305542,0.015872704,949.4174194,0.010885715,914.7775879,,
0.015638962,940.6422119,0.015976552,950.0402222,0.010977471,915.3656006,,
0.015739972,941.1618042,0.016086763,950.6002808,0.011060322,915.9511719,,
0.015844217,941.6606445,0.016185876,951.1079102,0.011130844,916.4848633,,
0.015948439,942.1317749,0.016297702,951.5252686,0.011212351,917.0571899,,
0.016056668,942.6953735,0.016413052,952.048645,0.011312068,917.6640625,,
0.016153382,943.1692505,0.016511232,952.5164795,0.011414926,918.2449341,,
0.016264036,943.75,0.016608179,953.0869751,0.011498881,918.7755737,,
0.016364101,944.1921387,0.016715361,953.5601196,0.011569435,919.3058472,,
0.016465304,944.680603,0.016832177,954.0548706,0.011642918,919.8198853,,
0.016567357,945.0776367,0.016935812,954.6052856,0.011724089,920.3450928,,
0.016667787,945.6396484,0.017041635,955.0603027,0.011798793,920.8790894,,
0.016775761,946.1203003,0.017154686,955.6447754,0.011882273,921.4044189,,
0.01687252,946.6420288,0.017263243,956.0789185,0.011990891,921.9714355,,
0.016971229,947.1235962,0.017359754,956.5182495,0.012099875,922.5383301,,
0.017069336,947.5682373,0.017465651,956.9771118,0.012177682,923.0563354,,
0.017167574,948.0290527,0.017568095,957.2752686,0.012226698,923.5320435,,
0.017266378,948.5657349,0.017670492,957.8336182,0.012281644,924.0513306,,
0.017363207,948.9516602,0.017786687,958.3283691,0.01237594,924.5821533,,
0.017463634,949.414856,0.017891522,958.694519,0.012494802,925.1279907,,
0.017561255,949.8436279,0.017988417,959.1329346,0.012597234,925.6744995,,
0.017668575,950.3728027,0.018096192,959.4575806,0.012668116,926.1773682,,
0.017765235,950.727356,0.018220145,959.9873047,0.01273951,926.6429443,,
0.017863626,951.2712402,0.018322825,960.5808716,0.012827532,927.1552124,,
0.017963611,951.7579956,0.018429756,960.932373,0.012914944,927.6351318,,
0.0180657,952.2037964,0.01852552,961.4909058,0.012988963,928.1029663,,
0.018165562,952.7278442,0.018633153,961.7642212,0.013076969,928.5941162,,
0.018272294,953.1290283,0.018729908,962.2457275,0.013186726,929.081665,,
0.018380871,953.6664429,0.01883664,962.5898438,0.01329361,929.5704956,,
0.018486062,954.1710815,0.018936494,963.078125,0.013367325,930.0217285,,
0.018584786,954.5505981,0.019033879,963.5134277,0.013428525,930.4645386,,
0.018680975,954.9908447,0.019134438,963.8330078,0.013511618,930.9096069,,
0.018779766,955.3491211,0.019233482,964.2678223,0.013617686,931.3865356,,
0.018878423,955.7487793,0.0193337,964.6035767,0.013703506,931.8464355,,
0.018987624,956.1866455,0.019449502,965.0847168,0.013775832,932.2832031,,
0.019086467,956.6712036,0.019551998,965.4978027,0.013873704,932.7523804,,
0.01919998,957.0223999,0.019653622,965.8297119,0.013979916,933.2290649,,
0.019306097,957.4462891,0.0197661,966.2124634,0.014066122,933.6858521,,
0.019405421,957.8143921,0.019864816,966.5922852,0.014120134,934.1022339,,
0.019511484,958.2175293,0.01996927,967.0259399,0.01418974,934.5388184,,
