PEEQ,stress_fit
0.00011,1.1376260892198307
0.0002,0.8509199801909275
0.0003,0.7195917045000888
0.0004,0.6717116864689484
0.0005,0.6579218366879547
0.0006,0.6580817274407158
0.0007,0.663967954621723
0.0008,0.6722175631964091
0.0009,0.6814498291061736
0.001,0.6910923133192621
0.002,0.7878468911501539
0.003,0.8692826069326488
0.004,0.9209005063646271
0.005,0.9352555333481123
0.01,0.714148707417535
0.011,0.6860971806225076
0.012,0.6712591958968217
0.013,0.6657078088817263
0.014,0.6652047306607848
0.015,0.6665242192983221
0.016,0.6678699552472097
0.017,0.6686581626312998
0.018,0.669033754810441
0.019,0.6693960777517172
0.02,0.6700691199624338
0.021,0.671142338507846
0.022,0.6724542310854604
0.023,0.6736731124825044
0.024,0.6744240804224055
0.025,0.6744102607030431
0.026,0.6734868833198618
0.027,0.671671826916517
0.028,0.669105221543635
0.029,0.6659874987453667
0.03,0.6625236876246886
0.031,0.6588885859894633
0.032,0.6552137306004795
0.033,0.6515893930201079
0.034,0.6480734943038446
0.035,0.6447015598977262
0.036,0.6414948071977631
0.037,0.6384656578086157
0.038,0.6356210761809429
0.039,0.6329644430873852
0.04,0.6304965791409339
0.041,0.6282163283222546
0.042,0.6261209322427177
0.043,0.624206308960261
0.044,0.6224672863552064
0.045,0.6208978096554612
0.046,0.6194911298078892
0.047,0.6182399745471485
0.048,0.6171367024842879
0.049,0.6161734402536047
0.05,0.6153422028915392
0.051,0.6146349978717672
0.052,0.6140439134742675
0.053,0.613561192384122
0.054,0.6131792915852624
0.055,0.6128909297315026
0.056,0.6126891232462189
0.057,0.6125672124268204
0.058,0.6125188788184732
0.059,0.612538155079593
0.06,0.6126194284964576
0.061,0.6127574392235402
0.062,0.6129472742328321
0.063,0.613184357858207
0.064,0.6134644397194445
0.065,0.6137835807125182
0.066,0.6141381376566827
0.067,0.6145247470994313
0.068,0.6149403086973544
0.069,0.6153819685152606
0.07,0.6158471025183462
0.071,0.6163333004720165
0.072,0.6168383504126312
0.073,0.6173602238070376
0.074,0.617897061481
0.075,0.6184471603658677
0.076,0.6190089610861349
0.077,0.6195810363903984
0.078,0.6201620804122052
0.079,0.620750898734788
0.08,0.6213463992247548
0.081,0.6219475835939725
0.082,0.6225535396449139
0.083,0.6231634341528094
0.084,0.6237765063377899
0.085,0.6243920618805985
0.086,0.625009467437485
0.087,0.6256281456117201
0.088,0.626247570342238
0.089,0.6268672626723046
0.09,0.6274867868645567
0.091,0.6281057468313997
0.092,0.6287237828526658
0.093,0.6293405685554009
0.094,0.6299558081328835
0.095,0.6305692337824931
0.096,0.6311806033441825
0.097,0.631789698123219
0.098,0.6323963208822426
0.099,0.6330002939898873
0.1,0.6336014577136518
0.11,0.6394334290675591
0.12,0.6448944312836937
0.13,0.64996094526944
0.14,0.6546323952569675
0.15,0.6589164043274286
0.16,0.6628242181214093
0.17,0.6663693266142832
0.18,0.6695669304119606
0.19,0.6724335986644965
