PEEQ,stress_fit
0.00011,1.4941613663407693
0.0002,1.2073850247723832
0.0003,1.0759254463411332
0.0004,1.0278582046941254
0.0005,1.0138254605289876
0.0006,1.0136871401456757
0.0007,1.0192203025065494
0.0008,1.0270625690982136
0.0009,1.0358339094575086
0.001,1.044962698031275
0.002,1.1339440622126737
0.003,1.2040855117793892
0.004,1.2432735736776155
0.005,1.2465417778801031
0.01,1.022937896690395
0.011,1.001415214986001
0.012,0.9931206089555232
0.013,0.9934547011078172
0.014,0.9978287363704316
0.015,1.0029596824030889
0.016,1.007217430885784
0.017,1.010314066479578
0.018,1.012719299642587
0.019,1.0150983750940163
0.02,1.0179265643101818
0.021,1.0213178115055142
0.022,1.025036778016608
0.023,1.0286316609725874
0.024,1.0316134851493506
0.025,1.0336117091531019
0.026,1.0344586037400476
0.027,1.034191167750072
0.028,1.0329932140276783
0.029,1.0311159105692114
0.03,1.0288095987404255
0.031,1.0262827956993847
0.032,1.023688177234574
0.033,1.0211266818383256
0.034,1.0186596606843707
0.035,1.0163218843466382
0.036,1.0141319109842604
0.037,1.0120990351411816
0.038,1.010227395608433
0.039,1.0085181823017924
0.04,1.0069707475478582
0.041,1.0055831567562823
0.042,1.0043524797627166
0.043,1.0032749719389915
0.044,1.002346210916973
0.045,1.0015612148551454
0.046,1.0009145510562245
0.047,1.000400437144573
0.048,1.0000128347897888
0.049,0.9997455354141849
0.05,0.9995922373609183
0.051,0.9995466142223433
0.052,0.9996023742838299
0.053,0.9997533112730095
0.054,0.9999933467990219
0.055,1.0003165650137764
0.056,1.0007172401306588
0.057,1.0011898574980709
0.058,1.001729128953114
0.059,1.0023300031799296
0.06,1.0029876717741404
0.061,1.003697571677008
0.062,1.004455384591691
0.063,1.0052570339389506
0.064,1.0060986798483067
0.065,1.006976712621817
0.066,1.0078877450480332
0.067,1.0088286038886838
0.068,1.0097963208092755
0.069,1.0107881229780835
0.07,1.0118014235165025
0.071,1.0128338119466616
0.072,1.0138830447515148
0.073,1.0149470361346007
0.074,1.0160238490440012
0.075,1.0171116865070808
0.076,1.0182088833059058
0.077,1.0193138980115386
0.078,1.020425305385827
0.079,1.0215417891514698
