PEEQ,a,b,c,d,e,f,g,h,i,j
0.00011,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.0002,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.0003,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.0004,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.0005,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.0006,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.0007,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.0008,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.0009,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.001,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.002,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.003,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.004,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.005,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.01,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.011,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.012,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.013,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.014,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.015,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.016,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.017,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.018,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.019,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.02,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.021,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.022,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.023,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.024,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.025,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.026,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.027,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.028,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.029,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.03,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.031,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.032,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.033,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.034,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.035,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.036,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.037,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.038,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.039,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.04,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
0.041,-11.310709405530448,-0.008811963078475099,0.008578925310609902,8.059004160805072,202.74176016266892,0.24497931945687668,0.09740048752526063,0.2714807831909135,3.0329140804474144,2.1576250480950274
