strain,m0_estimated,m1_estimated
0.0,15.60725554370706,6.035160360001807
0.00011,7.121153928325984e+21,9.677876014358144
0.0002,1.8400272790901609e+24,10.48779461081179
0.0003,1.6222728813311311e+22,9.605228310028549
0.0004,0.030966129265324754,0.09920349153505824
0.0005,0.008081560480726599,-0.15399241606848163
0.0006,0.005406851870836582,-0.24216792218001534
0.0007,0.004538081609296137,-0.2875861059487007
0.0008,0.004148869471183142,-0.31538415266187914
0.0009,0.003946891158838484,-0.33418112643930864
0.001,0.003834009361635898,-0.34776450604768266
0.002,0.0037532740209783788,-0.39761686423632436
0.003,0.003914669337074567,-0.41179532763910787
0.004,0.004068511376853881,-0.41878544835719766
0.005,0.0042012536824342995,-0.4230411588340759
0.01,0.004617410698678403,-0.4328229652749302
0.011,0.004667685777948902,-0.4340204418235262
0.012,0.00471094441059765,-0.4351209611508763
0.013,0.004748354238529773,-0.4361453195230888
0.014,0.004780864105171919,-0.43710773069807124
0.015,0.004809300262116213,-0.43801667264384647
0.016,0.0048343043328932895,-0.4388793102011681
0.017,0.004856435333013461,-0.43970010696564565
0.018,0.004876127579875815,-0.4404833244447928
0.019,0.00489388186726796,-0.4412281701248625
0.02,0.004909801029730015,-0.4419433575615202
0.021,0.004924261851658366,-0.44262747038949135
0.022,0.0049374842912177225,-0.4432822516393247
0.023,0.00494963001081162,-0.4439099274580643
0.024,0.004960914673916467,-0.44451011694860054
0.025,0.004971538572756936,-0.44508206834716096
0.026,0.004981372644648169,-0.4456340383946189
0.027,0.004990564064077088,-0.44616554306682854
0.028,0.0049993615947047185,-0.4466726675674403
0.029,0.005007700611784712,-0.44716027528858415
0.03,0.005015657809931846,-0.4476287394263668
0.031,0.005023277386678968,-0.4480790878447056
0.032,0.0050305980511170315,-0.44851225635359504
0.033,0.005037651319093101,-0.4489291714817114
0.034,0.005044458456660836,-0.4493308686390254
0.035,0.005051125190206542,-0.44971577659106754
0.036,0.005057534295830272,-0.45008863315548203
0.037,0.005063684522779842,-0.4504506880574955
0.038,0.005069743295782126,-0.45079821321752783
0.039,0.0050756477736638855,-0.4511340358642964
0.04,0.005081471890238964,-0.4514569534542172
0.041,0.005087015273586938,-0.4517735743691953
0.042,0.005092530700448268,-0.4520774120028545
0.043,0.005097956201288001,-0.4523709676536139
0.044,0.005103247930283848,-0.45265615862051395
0.045,0.005108346889693352,-0.45293528169483366
0.046,0.005113420435051784,-0.4532041213284796
0.047,0.0051183975771760684,-0.4534652342428347
0.048,0.00512329318750394,-0.453718688385889
0.049,0.005128100741650701,-0.4539651262879269
0.05,0.005132826452357847,-0.454204798444176
0.051,0.005137472646703968,-0.45443803769160007
0.052,0.005142011189197299,-0.4546660147972766
0.053,0.005146576600789941,-0.45488526783433914
0.054,0.005150981106826382,-0.45510145026172305
0.055,0.0051552713298197595,-0.4553135427935086
0.056,0.0051595548696462025,-0.45551879457873073
0.057,0.005163793128370764,-0.4557185745510241
0.058,0.00516796780141475,-0.45591365754352886
0.059,0.005172031685170225,-0.45610561896614704
0.06,0.005176142744092134,-0.4562902364362669
0.061,0.0051801044408239265,-0.45647327283445027
0.062,0.005183974061742705,-0.45665331095928896
0.063,0.005187915646933859,-0.45682593823338646
0.064,0.005191735858353415,-0.45699677884605294
0.065,0.0051954946225560615,-0.45716432328938106
0.066,0.005199186515479384,-0.4573288920762526
0.067,0.005202831628986341,-0.45749007863413516
0.068,0.005206488292727307,-0.45764640622808633
0.069,0.0052100559825989465,-0.4578008335269456
0.07,0.005213569545940475,-0.4579525222888057
0.071,0.005217086543810879,-0.45809999885094316
0.072,0.005220502587353475,-0.45824630211505496
0.073,0.005223939201896148,-0.4583881635120142
0.074,0.005227304914019773,-0.45852825021743226
0.075,0.005230612594153016,-0.4586663105904037
0.076,0.005233902090111464,-0.45880134223064994
0.077,0.00523715326561911,-0.4589340067830874
0.078,0.0052404360449506615,-0.45906245580196525
0.079,0.005243546473651007,-0.45919245715859414
