PEEQ,Stress
0.00011,0.7544387704436152
0.0002,0.864228128593489
0.0003,0.9024995005806694
0.0004,0.9169853238071086
0.0005,0.923463694407272
0.0006,0.926922135811459
0.0007,0.9291246921133415
0.0008,0.9307585444972837
0.0009,0.9321042844220053
0.001,0.9332829802932193
0.002,0.9431007669255533
0.003,0.9562684340836785
0.004,0.9591755624553966
0.005,0.9538894362056176
0.01,0.9826484506577602
0.011,0.9945039169021135
0.012,1.0090487170546045
0.013,1.025733837019453
0.014,1.0438041847551716
0.015,0.9379321545857711
0.016,0.9674544532017814
0.017,0.9952348861908751
0.018,1.0206591672534517
0.019,1.0433267150494427
0.02,1.0630590344259003
0.021,1.079876195416435
0.022,1.0939531181628377
0.023,1.1055681788838136
0.024,1.1150542244397732
0.025,1.122758248677484
0.026,1.129012268186809
0.027,1.134115181465876
0.028,1.1383238116384056
0.029,1.1418507342951607
0.03,1.1448665482152247
0.031,1.1475046425823623
0.032,1.1498670202247587
0.033,1.152030216538555
0.034,1.1540507457135305
0.035,1.155969794099848
0.036,1.1578170741431386
0.037,1.159613870215867
0.038,1.161375370300637
0.039,1.163112402754856
0.04,1.1648326994239282
0.041,1.1665417954532615
0.042,1.1682436592965626
0.043,1.169941128080601
0.044,1.1716362062369265
0.045,1.1733302704239494
0.046,1.1750242116657028
0.047,1.1767185362608015
0.048,1.1784134400345154
0.049,1.180108865490375
0.05,1.1818045479310721
0.051,1.183064239025874
0.052,1.1848846091558216
0.053,1.1867042617636308
0.054,1.1885223852454965
0.055,1.1903381154704817
0.056,1.1921505568702293
0.057,1.1939588009488435
0.058,1.1957619423013235
0.059,1.1975590922372035
0.06,1.1993493901256571
0.061,1.2011320126013432
0.062,1.2029061807902055
0.063,1.204671165729782
0.064,1.2064262921678908
0.065,1.2081709409283734
0.066,1.2099045500302945
0.067,1.2116266147428865
0.068,1.2133366867488649
0.069,1.215034372577959
0.07,1.2167193314592823
0.071,1.2183912727269712
0.072,1.2200499528987518
0.073,1.2216951725329284
0.074,1.2233267729544683
0.075,1.2249446329271638
0.076,1.2265486653367619
0.077,1.22813881393734
0.078,1.2297150502030396
0.079,1.231277370317534
0.08,1.2328257923252002
0.081,1.234360353460645
0.082,1.2358811076669376
0.083,1.2373881233076203
0.084,1.2388814810731663
0.085,1.2403612720790262
0.086,1.2418275961494047
0.087,1.243280560279238
0.088,1.2447202772644501
0.089,1.2461468644901226
0.09,1.2475604428655371
0.091,1.2489611358939188
0.092,1.2503490688659435
0.093,1.2517243681648167
0.094,1.2530871606725476
0.095,1.2544375732661148
0.096,1.2557757323940932
0.097,1.2571017637241706
0.098,1.2584157918527148
0.099,1.259717940068915
0.1,1.2610083301659476
0.11,1.2732910513151534
0.12,1.2845182201105072
0.13,1.2947817256462815
0.14,1.3041589674568639
0.15,1.312716306746816
0.16,1.320511604576944
0.17,1.3275960315143813
0.18,1.3340153835333945
0.19,1.3398110621938644
0.2,1.3450208207926297
0.21,1.3496793433144672
0.22,1.3538187012667469
0.23,1.357468719557294
0.24,1.3606572734235258
0.25,1.3634105322643248
0.26,1.3657531619941752
0.27,1.3677084945760427
0.28,1.3692986712760158
0.29,1.370544764651982
0.3,1.3714668831636125
0.31,1.372084261451884
0.32,1.372415338703977
0.33,1.3724778270358777
0.34,1.3722887714526713
0.35,1.3718646026555956
0.36,1.3712211837368589
0.37,1.370373851621582
0.38,1.3693374539716514
0.39,1.3681263821492269
0.4,1.3667546007432803
0.41,1.3652356740850005
0.42,1.363582790114718
0.43,1.3618087819106335
0.44,1.3599261471459554
0.45,1.3579470657054005
0.46,1.355883415661242
0.47,1.353746787783896
