PEEQ_fit,CT1,CT2,CT3,CT4,CT5,CT6
0.00011,2.1068412844511695,0.009997801281402659,0.44947286155365873,0.4589948005463165,502.36230556800825,291.6108211116433
0.0003104522613065327,2.047599329223017,0.009818082995609082,0.45414432488178136,0.46496886874084176,505.24643931191315,291.4520054347013
0.0005109045226130653,1.9941053607475157,0.009641214534373069,0.45839335511846,0.47088684792451474,508.040935069348,291.29318975775936
0.000711356783919598,1.9459005916382672,0.009467174021714325,0.4622293779393658,0.47674873809733853,510.74857876126225,291.13437408081745
0.0009118090452261306,1.902562026517391,0.009295939581652563,0.4656617653199646,0.482554539259322,513.3720697230424,290.97555840387554
0.0011122613065326634,1.8636996626520244,0.009127489338207489,0.46869983482611133,0.4883042514104865,515.9140233955641,290.8167427269336
0.001312713567839196,1.8289539095965894,0.008961801415398813,0.47135284896648955,0.49399787455082844,518.3769739326084,290.6579270499916
0.0015131658291457288,1.7979932107119527,0.008798853937246241,0.473630014610535,0.49963540868036915,520.7633767272386,290.4991113730497
0.0017136180904522614,1.7705118507724018,0.008638625027769485,0.47554048223537393,0.5052168537991477,523.0756108596597,290.3402956961078
0.001914070351758794,1.7462279351063499,0.00848109281098825,0.4770933453401085,0.5107422099071925,525.3159814689985,290.18148001916586
0.0021145226130653266,1.7248815268550812,0.008326235410922247,0.4782976397618768,0.516211477004525,527.4867220513692,290.02266434222395
0.0023149748743718592,1.706232929983198,0.008174030951591185,0.4791623430028267,0.5216246550911947,529.5899966865161,289.86384866528203
0.002515427135678392,1.6900611066417033,0.00802445755701477,0.47969637357164174,0.526981744167287,531.6279021952531,289.70503298834
0.0027158793969849246,1.6761622183762617,0.007877493351212711,0.479908590332343,0.5322827442328446,533.6024702298506,289.5462173113981
0.0029163316582914572,1.6643482814950574,0.00773311645820472,0.479807791805797,0.5375276552879598,535.5156692994535,289.3874016344562
0.00311678391959799,1.654445927668243,0.007591305002010502,0.4794027155076037,0.5427164773327746,537.36940673255,289.22858595751427
0.0033172361809045226,1.6462952615293098,0.007452037106649766,0.4787020372823463,0.5478492103674455,539.1655305784479,289.06977028057236
0.0035176884422110553,1.6397488076923978,0.007315290896142222,0.47771437059054733,0.5529258543921145,540.9058314496529,288.91095460363033
0.003718140703517588,1.6346705401929293,0.007181044494507577,0.4764482658938505,0.5579464094070516,542.5920443069865,288.7521389266884
0.003918592964824121,1.6309349879058774,0.007049276025765541,0.4749122098692169,0.5629108754124985,544.2258501892238,288.5933232497465
0.004119045226130653,1.6284264100001367,0.006919963613935822,0.47311462482684874,0.5678192524088672,545.8088778889735,288.4345075728046
0.0043194974874371855,1.6270380359521954,0.006793085383038129,0.47106386795348953,0.5726715403965557,547.3427055764727,288.2756918958627
0.004519949748743719,1.6266713650706575,0.0066686194570921686,0.46876823065031203,0.5774677393761749,548.828862372915,288.11687621892065
0.004720402010050252,1.6272355208780391,0.0065465439601176505,0.4662359378016845,0.5822078493483502,550.268829874879,287.95806054197874
0.004920854271356784,1.6286466560602264,0.006426837016134284,0.46347514713852433,0.5868918703139911,551.6640436313791,287.7992448650368
0.005121306532663316,1.630827404029483,0.006309476749161778,0.46049394848159864,0.591519802274064,553.0158945750095,287.6404291880949
0.005321758793969849,1.6337063734561599,0.006194441283219838,0.457300363068498,0.5960916452299614,554.3257304086088,287.481613511153
0.005522211055276382,1.6372176824093088,0.006081708742328177,0.4539023428405926,0.6006073991833034,555.5948569488272,287.322797834211
0.005722663316582915,1.6413005290091809,0.005971257250506501,0.45030776973362663,0.6050670641359659,556.8245394279368,287.16398215726906
0.005923115577889447,1.6458987957367879,0.005863064931774518,0.44652445498286397,0.6094706400905068,558.0160037551808,287.00516648032715
0.00612356783919598,1.6509606847689717,0.005757109910151938,0.4425601383773028,0.6138181270497967,559.1704377389219,286.84635080338523
0.006324020100502513,1.6564383819132202,0.005653370309658469,0.43842248757573543,0.6181095250176725,560.2889922708055,286.6875351264433
0.006524472361809045,1.6622877469061577,0.005551824254313819,0.4341190973755147,0.622344833998568,561.3727824731197,286.5287194495013
0.0067249246231155775,1.6684680280145063,0.005452449868137696,0.42965748900314793,0.6265240539980539,562.4228888104965,286.3699037725594
0.006925376884422111,1.6749415990384706,0.005355225275149812,0.42504510937214945,0.6306471850228377,563.4403581670601,286.21108809561747
0.007125829145728644,1.6816737169660776,0.005260128599369871,0.4202893303845485,0.6347142270812753,564.4262048901,286.05227241867556
0.007326281407035176,1.6886322986639395,0.005167137964817585,0.4153974481669138,0.6387251801834566,565.3814118013045,285.89345674173364
0.007526733668341708,1.6957877151161334,0.005076231495512661,0.41037668238277547,0.6426800443416312,566.3069311765672,285.7346410647916
0.007727185929648241,1.7031126018392428,0.004987387315474807,0.4052341754795634,0.6465788195707773,567.2036856953413,285.5758253878497
0.007927638190954775,1.7105816842088546,0.004900583548723734,0.39997699194282177,0.6504215058891134,568.0725693604871,285.4170097109078
0.008128090452261308,1.7181716165316545,0.004815798319279148,0.394612117575889,0.6542081033186662,568.9144483895319,285.2581940339659
0.00832854271356784,1.7258608337883907,0.004733009751160758,0.3891464587613882,0.6579386118861805,569.73016207823,285.09937835702397
0.008528994974874372,1.7336294150569582,0.004652195968388274,0.3835868417081656,0.6616130316240003,570.5205236372824,284.94056268008194
0.008729447236180906,1.7414589577022708,0.0045733350949814025,0.3779400117127807,0.6652313625712623,571.2863210030526,284.78174700314
0.008929899497487438,1.7493324614909551,0.0044964052549598555,0.37221263242463465,0.6687936047750895,572.0283176230854,284.6229313261981
0.00913035175879397,1.7572342218546626,0.004421384572343337,0.3664112850638048,0.6722997582924108,572.7472532172111,284.4641156492562
0.009330804020100504,1.7651497315864249,0.004348251171151557,0.3605424677261908,0.6757498231916657,573.4438445149965,284.3052999723143
0.009531256281407037,1.7730655903103583,0.004276983175404227,0.35461259456860716,0.6791437995552201,574.1187859702743,284.14648429537226
0.009731708542713569,1.7809694211165288,0.004207558709121052,0.34862799509210163,0.6824816874818112,574.7727504534669,283.98766861843035
0.009932160804020101,1.7888497938002634,0.004139955896321742,0.3425949133888935,0.6857634870899005,575.4063899223911,283.82885294148844
0.010132613065326633,1.796696154188942,0.004074152861026007,0.3365195073420182,0.6889891985213126,576.0203360722167,283.6700372645465
0.010333065326633167,1.8044987590796577,0.004010127727253553,0.33040784790864564,0.692158821945668,576.6152009652219,283.5112215876046
0.0105335175879397,1.812248616348278,0.003947858619024089,0.3242659183379146,0.6952723575653295,577.1915776409787,283.3524059106626
0.010733969849246232,1.8199374298247313,0.003887323660357325,0.31809961338876747,0.6983298056217677,577.7500407075721,283.19359023372067
0.010934422110552766,1.827557548560905,0.0038285009752729686,0.3119147385987162,0.7013311664022694,578.2911469144453,283.03477455677876
0.011134874371859298,1.835101920146657,0.003771368687790728,0.3057170094762114,0.7042764402487478,578.8154357074407,282.87595887983684
0.01133532663316583,1.842564047756272,0.0037159049219303106,0.2995120507403044,0.7071656275669511,579.32342976659,282.71714320289493
0.011535778894472363,1.849937950632416,0.0036620878017114304,0.2933053955748619,0.7099987288384,579.8156355271915,282.5583275259529
0.011736231155778895,1.8572181277374467,0.0036098954511537907,0.2871024847991066,0.7127757446328928,580.2925436846903,282.399511849011
0.011936683417085429,1.8643995243229203,0.0035593059942771003,0.28090866612183163,0.7154966756247063,580.7546296838686,282.2406961720691
0.012137135678391961,1.8714775011875286,0.0035102975551010683,0.274729193370149,0.7181615226099325,581.2023541928319,282.08188049512717
0.012337587939698493,1.8784478064115193,0.003462848257645405,0.2685692256782204,0.7207702865273404,581.6361635622626,281.92306481818525
0.012538040201005027,1.8853065493721082,0.003416936225929817,0.2624338267269195,0.7233229684829894,582.0564902704022,281.7642491412432
0.01273849246231156,1.8920501768595623,0.0033725395839740158,0.25632796393256285,0.7258195697773431,582.4637533542015,281.6054334643013
0.012938944723618092,1.8986754511275914,0.0033296364557977073,0.25025650768657215,0.7282600919380116,582.8583588270725,281.4466177873594
0.013139396984924624,1.9051794297245723,0.003288204965420599,0.24422423054784304,0.7306445367566425,583.2407000836557,281.2878021104175
0.013339849246231156,1.9115594469640003,0.003248223236862402,0.23823580645330367,0.7329729063316677,583.6111582920076,281.1289864334756
0.01354030150753769,1.9178130969035059,0.0032096693941428235,0.23229580991755938,0.7352452031173584,583.970102773599,280.97017075653355
0.013740753768844222,1.9239382177118567,0.0031725215612815718,0.2264087152580032,0.7374614299805557,584.3178913715036,280.81135507959164
0.013941206030150755,1.929932877312665,0.003136757862298359,0.22057889577263268,0.7396215902645622,584.6548708071425,280.6525394026497
0.014141658291457289,1.9357953602020914,0.003102356421212887,0.2148106229469704,0.7417256878636636,584.9813770259425,280.4937237257078
0.01434211055276382,1.941524155345736,0.0030692953620448694,0.20910806567917462,0.7437737273070297,585.2977355322499,280.3349080487659
0.014542562814070353,1.9471179450671878,0.0030375528088140147,0.20347528942875215,0.7457657138550076,585.6042617138368,280.17609237182387
0.014743015075376885,1.9525755948474268,0.003007106885540029,0.1979162554416689,0.747701653608658,585.90126115632,280.01727669488196
0.014943467336683417,1.9578961439604547,0.0029779357162426226,0.19243481996818446,0.7495815536336181,586.1890299478102,279.85846101794004
0.015143919597989951,1.963078796876245,0.002950017424941505,0.18703473338246113,0.7514054221016977,586.4678549740911,279.69964534099813
0.015344371859296484,1.9681229153673698,0.0029233301356563803,0.18171963944405434,0.7531732684498706,586.7380142046244,279.5408296640562
0.015544824120603016,1.9730280112605074,0.0028978519724069613,0.17649307446481544,0.7548851035611506,586.9997769696669,279.3820139871142
0.015745276381909548,1.9777937397785201,0.002873561059212956,0.1713584664685186,0.756540939967806,587.2534042287743,279.2231983101723
0.01594572864321608,1.9824198934229262,0.0028504355200940704,0.1663191344232473,0.7581407920808374,587.4991488309598,279.06438263323037
0.016146180904522613,1.9869063963503864,0.002828453479070017,0.16137828737555537,0.759684676447705,587.7372557667671,278.90556695628845
0.016346633165829145,1.9912532992003633,0.0028075930601605004,0.1565390236719395,0.7611726120413778,587.9679624125098,278.74675127934654
0.016547085427135677,1.99546077433434,0.002787832387385232,0.15180433012574213,0.7626046205845682,588.1914987669186,278.5879356024045
0.01674753768844221,1.9995291114499936,0.0027691495847639216,0.14717708119860617,0.763980726912223,588.4080876804347,278.4291199254626
0.01694798994974874,2.0034587135364808,0.0027515227763162727,0.14266003816010198,0.7653009593755655,588.6179450773767,278.2703042485207
0.017148442211055277,2.0072500931395494,0.002734930086061998,0.13825584831647575,0.7665653502927512,588.8212801712017,278.1114885715788
0.01734889447236181,2.010903868907558,0.002719349638020804,0.13396704410843085,0.7677739364499985,589.0182956730771,277.95267289463686
0.017549346733668342,2.0144207623916532,0.002704759556212402,0.12979604234715225,0.7689267596571199,589.2091879939702,277.79385721769484
0.017749798994974874,2.0178015950753965,0.002691137964656495,0.12574514338120935,0.7700238673633635,589.3941474404555,277.6350415407529
0.017950251256281406,2.0210472856109734,0.002678462987372796,0.12181653023071704,0.7710653133382834,589.5733584044385,277.476225863811
