Strain,Tmp77.15K,Tmp233.15K,Tmp298.15K,Tmp373.15K,Tmp473.15K,Tmp573.15K,Tmp673.15K,Tmp77.15K_ref,Tmp233.15K_ref,Tmp298.15K_ref,Tmp373.15K_ref,Tmp473.15K_ref,Tmp573.15K_ref,Tmp673.15K_ref
0.0,1067.4538450093387,568.7754321000424,377.306,570.6734130973928,649.8592176090394,643.9279975015197,450.4427462177701,1.3625100402480375,0.7259913302161967,0.481597603165061,0.728413934413259,0.8294875819500225,0.8219169061918159,0.574950164963096
0.00011,1083.997263440276,587.7623492362436,464.7964665,617.0899876066469,680.3480601710539,665.1985349922516,542.8857664046227,1.3836262447730014,0.7502264438488666,0.5932714142525949,0.78766056985184,0.8684038819853866,0.8490668584151281,0.6929454710311882
0.0002,1094.1693741576644,602.3167357527577,578.9944157,640.2133203419726,699.4783263525696,679.5665166593662,573.3587431582273,1.396610040791681,0.7688038257667027,0.7390349553070319,0.8171754506714428,0.8928219679446017,0.8674063110959812,0.7318415197710455
0.0003,1103.7197879056785,617.5413455494365,628.6106993,659.2032333,716.4127855381855,693.2159068486503,595.7895874231472,1.4088002958373953,0.7882366881839551,0.8023657352567753,0.8414143882046363,0.9144373012673931,0.8848285455683297,0.7604725005531008
0.0004,1112.096404039244,631.8490778373717,653.1731707,674.1443371101122,730.0708224654327,705.0105046,612.4224198284792,1.419492302464798,0.8064992378826,0.8337175487822702,0.8604853804061662,0.9318705725328967,0.8998833022044447,0.7817028340761671
0.0005,1119.6499347254564,645.3141950555099,669.637294,686.4969254695607,741.3718562463721,715.3646863574827,625.6984465490677,1.4291337136109599,0.8236862642712394,0.8547325401142237,0.8762523625023825,0.9462953385906531,0.9130994957373837,0.7986485032364528
0.0006,1126.5822414871318,658.0034231201187,682.8683216,697.0497223449784,750.9542654931281,724.5724145116831,636.7800286402926,1.4379821875838832,0.8398829370565394,0.8716207718931266,0.8897220705957839,0.958526433049221,0.9248523430540401,0.8127931587002163
0.0007,1133.0216898851154,669.9768781,694.3729293,706.2774827,759.2636351929457,732.8493484623953,646.3125248994329,1.446201571622764,0.8551659890618497,0.8863053819806268,0.9015004872378728,0.9691326055756174,0.9354171142270893,0.8249605436625066
0.0008,1139.0557897527565,681.2888592522862,704.6995121,714.4882989637845,766.6129735544046,740.3580694415862,654.6917119426071,1.4539035642587532,0.8696047284669728,0.8994863478952042,0.9119808650549955,0.9785133833520844,0.945001329761466,0.8356558318277211
0.0009,1144.747359990457,691.9885303903659,714.1049551,721.8935144025381,773.2238637429427,747.2239353163266,662.1779371662997,1.4611683482397189,0.8832619085138143,0.9114915606548889,0.9214329649585875,0.9869515976120945,0.9537649978423546,0.8452113335278906
0.001,1150.143336047641,702.1205076,722.7445794,728.644431,779.2546308988162,753.5454490880438,668.9516541605117,1.4680558324988504,0.8961944776738138,0.9225192738508801,0.9300499104948495,0.9946493363374667,0.9618338488037333,0.8538573817458647
0.002,1193.253688547015,779.6288098222886,783.4465901,775.9749250737877,822.8401308657062,798.7845136611588,715.4303935839562,1.523082369143641,0.9951269425051374,1.0,0.9904630830989276,1.050282356530109,1.0195774973750298,0.9131833651769904
0.003,1224.4033452968447,829.1574569809725,820.3593085,806.0178133005174,852.0038480455612,828.1403175287653,744.2083921037847,1.5628421398075911,1.0583458623199036,1.0471158070842945,1.028810162027301,1.0875072516900106,1.0570475741340077,0.9499159247202712
0.004,1248.4788707510932,863.1751894582347,846.3934268,828.3864265230368,874.0617057976035,850.6191349,765.2535196717945,1.5935724100755049,1.1017664769567228,1.080346047191252,1.0573617104100237,1.11566214831063,1.085739788326127,0.9767781611942643
0.005,1267.7577008811122,887.9798592409072,866.2693452,846.2990987708254,891.7384008075898,869.1937991738209,781.8203651373624,1.6181801247220875,1.133427435209801,1.1057158919913461,1.080225645838605,1.1382248797505996,1.109448697789183,0.9979242682485477
0.01,1326.855454124062,955.5836749,925.1066455,904.0128625289072,948.3443437545408,933.0313052948682,832.9851110476884,1.6936131586898613,1.2197177024894936,1.180816480906399,1.153892140131107,1.2104773391552996,1.19093160540245,1.0632315228296103
0.011,1334.6762940634028,964.2247499077862,932.77897,912.0045349236972,956.2051242,942.3185058725078,839.7831531,1.7035957663598271,1.2307472673851467,1.1906095218066353,1.1640928002600508,1.2205109273344963,1.2027858922102517,1.0719086198241148
0.012,1341.770793573039,972.0961569,939.6862991,919.2654241570708,963.3790326,950.8461752928852,845.9055678938166,1.71265126497235,1.2407944194076084,1.1994261140125166,1.1733606805790484,1.2296677843438353,1.213670704944313,1.079723338620753
0.013,1348.2775775836851,979.3459981447728,945.9573917,925.9020611859742,969.9724519,958.7181466,851.4617723509436,1.7209565969412024,1.2500481979502496,1.2074306068257403,1.181831758394393,1.2380836985660908,1.2237185772646328,1.0868153402036789
0.014,1354.3027599056377,986.0782284369936,951.6917467,931.9998317038772,976.0690914952348,966.0199370932272,856.5384888463304,1.7286472071220236,1.2586412920772678,1.2147500017563737,1.1896150209613086,1.2458655176106495,1.2330386644096867,1.093295317983324
0.015,1359.928268383263,992.3675774848688,956.9677492,937.6283894353182,981.7359712010182,972.8226337,861.2054681847221,1.7358276691327232,1.2666690876249802,1.2214843504237494,1.1967993750737218,1.2530987863202114,1.2417217025296234,1.099252302667878
0.016,1365.2179044294069,998.269199,961.848184,942.8453862819952,987.0275582509493,979.1857681182066,865.5194951314479,1.7425794198110542,1.274201983408441,1.2277137920496004,1.2034584082644988,1.2598530272816224,1.2498436785502152,1.1047587749676364
