PEEQ,C1,C2,C3,C4,C5,C6
0.87,3.5043604185524795,0.0069996105377990725,0.3468805076412646,1.2322478380091875,545.3614502943853,299.6602443405734
0.88,3.514937363742306,0.007037588138123996,0.3515654661055388,1.2294456339122715,545.0769634734602,299.57878480539034
0.89,3.5254608269575907,0.007075172111933592,0.35623698209565463,1.2266911747887361,544.7903248601617,299.5002076654028
0.9,3.535931796833681,0.007112367590859592,0.36089321377342143,1.2239869568273987,544.5012560765107,299.4246732946228
0.91,3.5463512330593656,0.007149179608339662,0.3655323546606199,1.2213351209653611,544.2095215076209,299.35231883044855
0.92,3.556720067516611,0.007185613101808153,0.3701526345470237,1.218737479275572,543.914928082539,299.2832593634013
0.93,3.567039205364336,0.007221672914849098,0.37475232034823264,1.2161955402946323,543.6173248229891,299.2175891212477
0.94,3.577309526069496,0.007257363799312744,0.3793297169130715,1.2137105332218345,543.3166021709958,299.15538264373134
0.95,3.587531884388534,0.007292690417392833,0.3838831677803813,1.211283430942868,543.0126911072938,299.0966959444012
0.96,3.5977071113020593,0.007327657343663196,0.38841105588510483,1.2089149718509684,542.7055620732702,299.0415676562868
0.97,3.607836014905393,0.007362269067073657,0.3929118042136398,1.2066056804548186,542.3952237099068,298.9900201584328
0.98,3.617919381257498,0.007396529992905354,0.39738387640850525,1.204355886776427,542.0817214278089,298.94206068056025
0.99,3.6279579751905833,0.007430444444683548,0.4018257773224354,1.2021657445537797,541.7651358229192,298.89768238337655
1.0,3.63795254108258,0.007464016666048456,0.4062360535220846,1.2000352482725418,541.4455809529071,298.85686541230115
1.01,3.647903803594512,0.007497250822584345,0.4106132937415964,1.1979642490586955,541.1232024895255,298.81957792261767
1.02,3.6578124683746696,0.007530151003607544,0.4149561292863507,1.1959524694699604,540.7981757624015,298.7857770742954
1.03,3.66767922273137,0.0075627212239119945,0.41926323438727203,1.1939995172283808,540.4707037098144,298.75540999495144
1.04,3.677504736275977,0.007594965425474998,0.423533326506142,1.1921048979397644,540.1410147519904,298.7284147096433
1.05,3.687289661537752,0.007626887479120326,0.4277651665924181,1.1902680268478791,539.8093606023207,298.7047210363925
1.06,3.697034634552013,0.007658491186143923,0.4319575592921244,1.18848823967266,539.4760140317009,298.6842514465431
1.07,3.7067402754229817,0.007689780279897862,0.4361093531094309,1.186764802582242,539.1412666008804,298.6669218892483
1.08,3.716407188862618,0.007720758427336216,0.4402194405215971,1.1850969213485842,538.8054263753265,298.6526425795667
1.09,3.726035964706677,0.007751429230522744,0.44428675804800594,1.1834837497358823,538.4688156366378,298.6413187498191
1.1,3.73562717840913,0.0077817962281011566,0.4483102862740656,1.181924397169975,538.1317686040036,298.63285136402345
1.11,3.74518139151603,0.007811862896728861,0.4522890498308053,1.1804179357356346,537.7946291785992,298.62713779537916
1.12,3.7546991521198585,0.007841632652472952,0.4562221173310351,1.1789634065470636,537.4577487231398,298.6240724669152
1.13,3.7641809952952974,0.007871108852174014,0.46010860126298825,1.1775598255351527,537.1214838880977,298.6235474555526
1.14,3.7736274435173502,0.007900294794771723,0.46394765784239966,1.1762061886931574,536.7861944953166,298.62545305995445
1.15,3.7830390070626487,0.007929193722600814,0.46773848682401953,1.1749014768204704,536.4522414889601,298.6296783326529
1.16,3.7924161843947743,0.007957808822649848,0.47148033127359407,1.173644659802115,536.1199849628849,298.63611157704605
1.17,3.8017594625343385,0.007986143227791342,0.47517247730138057,1.172434700459538,535.7897822726724,298.6446408099555
1.18,3.8110693174145527,0.008014200017978257,0.47881425375829745,1.171270558006225,535.4619862396696,298.655154190518
1.19,3.820346214222969,0.008041982221411503,0.4824050318958371,1.1701511911396412,535.1369434534984,298.6675404162653
1.2,3.8295906077300237,0.008069492815676038,0.4859442249909002,1.1690755607990129,534.8149926785954,298.68168908731286
1.21,3.838802942605011,0.008096734728849198,0.4894312879367291,1.1680426326165656,534.4964633694528,298.69749103963795
1.22,3.8479836537200462,0.008123710840580056,0.4928657168011489,1.167051379087964,534.1816742983377,298.71483864848005
1.23,3.8571331664425745,0.008150423983140809,0.4962470483533356,1.1661007814859325,533.8709322984049,298.73362610293924
1.24,3.866251896916938,0.008176876942452727,0.4995748595603554,1.1651898315393425,533.5645311242548,298.75374965288506
1.25,3.87534025233549,0.008203072459084026,0.5028487670547307,1.1643175328984288,533.2627504311707,298.7751078293172
1.26,3.884398631199728,0.008229013229223647,0.5060684265743033,1.1634829024052904,532.9658548734619,298.7976016393416
1.27,3.8934274235718718,0.008254701905629824,0.5092335323756739,1.162684971187366,532.6740933215848,298.8211347369398
1.28,3.9024270113173207,0.008280141098554461,0.5123438166225089,1.161922785590238,532.3876981969792,298.84561357072215
1.29,3.9113977683383765,0.008305333376644297,0.5153990487500073,1.1611954079648337,532.1068849228799,298.87094750985483
1.3,3.920340060799605,0.008330281267818762,0.5183990348068261,1.1605019173229025,531.8318514887194,298.8970489493544
1.31,3.9292542473452094,0.008354987260126179,0.5213436167757695,1.1598414098735348,531.562778125146,298.92383339593147
1.32,3.9381406793087415,0.00837945380257843,0.5242326718745345,1.1592129994524478,531.2998270861375,298.95121953555866
1.33,3.9469997009154745,0.008403683305963194,0.5270661118378195,1.1586158178547943,531.0431425341983,298.9791292839215
1.34,3.955831649477755,0.008427678143639206,0.5298438821820823,1.1580490150813563,530.7928505241853,299.00748782089016
1.35,3.9646368555836133,0.008451440652306297,0.5325659614542384,1.1575117595071456,530.5490590809189,299.0362236101301
1.36,3.973415643278924,0.00847497313276202,0.5352323604655798,1.1570032379806676,530.3118583654011,299.06526840494166
1.37,3.982168330243366,0.008498277850635172,0.537843121512178,1.1565226558613828,530.0813209241753,299.0945572413929
1.38,3.9908952279604506,0.008521357037102884,0.5403983175830347,1.1560692370022452,529.8575020161342,299.1240284197774
1.39,3.9995966418818454,0.008544212889590064,0.5428980515572196,1.155642223683588,529.6404400108994,299.15362347539445
1.4,4.008272871586227,0.008566847572450964,0.5453424553912234,1.1552408765040647,529.4301568527634,299.18328713962023
1.41,4.016924210932885,0.008589263217633758,0.5477316892977415,1.1548644742338292,529.226658584104,299.2129672921945
1.42,4.025550948210277,0.008611461925330355,0.5500659409170758,1.1545123136346802,529.0299359221416,299.24261490561537
1.43,4.034153366279745,0.008633445764608338,0.552345424482334,1.154183709251439,528.8399648829155,299.27218398249573
