PEEQ,Stress
0.00011,1.1028699034377891
0.0002,1.1023034927091122
0.0003,1.0989119881791893
0.0004,1.0955529345698325
0.0005,1.0915753677251658
0.0006,1.0877947531634216
0.0007,1.084261675501564
0.0008,1.0809968176155798
0.0009,1.0780110491367298
0.001,1.075313871726319
0.002,1.0676549682590841
0.003,1.0851477806122851
0.004,1.080099481182824
0.005,1.0617812485369247
0.01,1.129276243261891
0.011,1.1492630042187058
0.012,1.172151695343168
0.013,1.1968851070975521
0.014,1.2223116873608129
0.015,1.1228394911382478
0.016,1.1576732132070489
0.017,1.1896586547412742
0.018,1.2182476418989068
0.019,1.2431569688746213
0.02,1.2643479464906586
0.021,1.2819817958939457
0.022,1.296363163620001
0.023,1.3078828027454206
0.024,1.3169672835829802
0.025,1.3240399243814105
0.026,1.329493992595066
0.027,1.333677086214362
0.028,1.3368844851991204
0.029,1.3393589443397174
0.03,1.3412945890757966
0.031,1.3428430168756333
0.032,1.3441202156880139
0.033,1.3452133804387554
0.034,1.3461870896044552
0.035,1.3470885851187953
0.036,1.3479520890966996
0.037,1.3488022074602277
0.038,1.3496565324864507
0.039,1.3505275806309869
0.04,1.3514242025252345
0.041,1.3523525891329038
0.042,1.3533169789164008
0.043,1.3543201501991171
0.044,1.3553637634846398
0.045,1.356448601709836
0.046,1.357574742750958
0.047,1.3587416879106433
0.048,1.3599484622279632
0.049,1.3611936967989762
0.05,1.362475699385027
0.051,1.3630635738442622
0.052,1.3646225006726764
0.053,1.3662134648101472
0.054,1.3678339533391068
0.055,1.36948139254128
0.056,1.3711531857772425
0.057,1.3728467468589858
0.058,1.3745595289521169
0.059,1.376289049106033
0.06,1.3780329085765806
0.061,1.3797888091674273
0.062,1.3815545658664892
0.063,1.3833281160911888
0.064,1.3851075258801764
0.065,1.3868909933820999
0.066,1.3886768499917888
0.067,1.3904635594779853
0.068,1.3922497154308449
0.069,1.394034037337787
0.07,1.3958153655721421
0.071,1.3975926555525244
0.072,1.3993649713030496
0.073,1.401131478617255
0.074,1.4028914380005237
0.075,1.404644197539525
0.076,1.4063891858233117
0.077,1.4081259050169126
0.078,1.4098539241680963
0.079,1.4115728728092123
0.08,1.4132824348995925
0.081,1.414982343139728
0.082,1.41667237367619
0.083,1.4183523412059436
0.084,1.4200220944801558
0.085,1.4216815122007258
0.086,1.423330499297074
0.087,1.4249689835671786
0.088,1.426596912662794
0.089,1.428214251397526
0.09,1.429820979355184
