PEEQ,C1,C2,C3,C4,C5,C6
0.00011,5.240277422893727e-09,0.009999999999999998,0.043959846660588504,0.8661109583435159,509.3079441364793,260.34556564591765
0.0002,0.5303435114993219,0.0032085382097487717,0.06384081126719916,0.7489817799354069,527.9001564049162,280.0296597099864
0.0003,1.1052963807093812,0.0018842612281007507,0.07306392908050409,0.47013685401204003,567.5199492797657,197.82864674106594
0.0004,0.836789089982938,0.0002857653297149034,0.07667001852682649,0.2653391534745953,532.9925676948475,56.88425758126423
0.0005,0.9761174836071084,0.007400154175562479,0.7791933610449951,0.2051080314392962,537.7689638258043,76.83232914856234
0.0006,2.201723634260101,0.007987019413650213,0.7073784699094243,0.24409624975974578,553.3350945940597,127.23734194222396
0.0007,2.928326340816252,0.007660996038824604,0.614482267444252,0.32746832228439243,563.622953427469,160.36956499446347
0.0008,2.9494592659308227,0.007189850660559156,0.5694605870747664,0.36841654296149007,570.1840312133788,173.83517167961745
0.0009,2.9686234219273806,0.0069952755964865975,0.5507507363298753,0.3884944032570232,574.0720736883829,181.12191354566164
0.001,2.9863720594409617,0.006943159732292793,0.5485930747545764,0.3954022849142847,576.2895862455549,185.12152294578513
0.002,3.126432244236991,0.00691283196358414,0.5768985503844074,0.4112452562228521,584.0884678055863,203.03472606911515
0.003,3.2330790071225843,0.007652313473177245,0.7111678020593492,0.3269825612948029,577.59042728194,187.96276977812843
0.004,3.0679365349703205,0.009972272231343489,0.9524343721500573,0.1457297638396074,557.8874667776741,112.36287316781444
0.005,2.5152623203635742,0.009999829610770566,1.0079329367551306,0.11995605735079787,551.1928246122271,84.58878889103465
0.01,0.7975739210869222,0.0010594254830172368,0.6318343676022482,0.13642420384162246,589.4579521409686,94.22499637283889
0.011,0.5079820709180732,0.003183085615041045,1.0268794752067905,0.10152664430892262,564.425175125465,64.96874226534666
0.012,0.5550430936362075,0.0017996576277069987,0.9081732270484044,0.11205361851891275,579.8908450887717,77.751103762619
0.013,0.4928379183099662,0.002971938338381947,1.0379032679824116,0.10301646953562488,559.6553827277979,58.04572089564379
0.014,0.49485242019088804,0.0029820596717106225,1.0453060051105165,0.10667885115957454,556.6859316838732,55.54614555310992
