PEEQ,CT1,CT2,CT3,CT4,CT5,CT6
0.00011,0.9217049575948072,0.0026016991279252197,0.772284550291575,0.2215882808436686,551.3496506749686,138.49650516505918
0.0002,0.9216417065809368,0.002602157860668433,0.7723082824763292,0.2216370118840566,551.3496229547256,138.48371610662952
0.0003,0.9215714446263343,0.0026026675528172923,0.7723346515705085,0.22169114280854646,551.349592154455,138.46950846994125
0.0004,0.9215012005121167,0.002603177233491059,0.7723610206646931,0.22174525828748573,551.3495613541838,138.45530338909518
0.0005,0.9214309742368336,0.002603686902687357,0.7723873897588902,0.22179935832377337,551.3495305539122,138.44110086389165
0.0006,0.9213607657990341,0.0026041965604038106,0.7724137588530944,0.2218534429201379,551.3494997536395,138.42690089413085
0.0007,0.921290575197268,0.0026047062066380435,0.772440127947311,0.22190751207947831,551.3494689533666,138.4127034796131
0.0008,0.9212204024300844,0.0026052158413876793,0.7724664970415347,0.22196156580452311,551.3494381530929,138.39850862013864
0.0009,0.9211502474960328,0.002605725464650343,0.7724928661357744,0.2220156040981713,551.3494073528186,138.38431631550773
0.001,0.9210801103936627,0.0026062350764236566,0.7725192352300212,0.22206962696332191,551.3493765525436,138.37012656552065
0.002,0.9203797197933076,0.0026113305617198467,0.7727829261732779,0.22260900766807698,551.3490685497607,138.22836952711788
0.003,0.9196811107654387,0.002616424895467388,0.7730466171185562,0.22314684863456802,551.3487605469152,138.08686773338695
0.004,0.9189842818594608,0.002621518075290155,0.7733103080671722,0.22368315269422262,551.3484525440076,137.94562098459147
0.005,0.9182892316247785,0.002626610098812022,0.7735739990212895,0.22421792267647872,551.3481445410378,137.80462908099497
0.01,0.9148406097499668,0.0026520527887434918,0.7748924541193105,0.22686886029385903,551.3466045252546,137.10348525022204
0.011,0.9141562010805574,0.0026571378245613367,0.775156145340258,0.22739448510219568,551.3462965219112,136.96401822335426
0.012,0.9134735609282766,0.0026622216874454072,0.7754198367433744,0.2279185955763312,551.3459885185059,136.82480464353043
0.013,0.9127926878425292,0.002667304375019577,0.7756835284468355,0.22844119452819578,551.3456805150379,136.68584431101405
0.014,0.9121135803727197,0.002672385884907722,0.7759472206454845,0.22896228476727548,551.345372511508,136.5471370260687
0.015,0.9114362370682532,0.0026774662147337172,0.7762109136605542,0.22948186910100987,551.3450645079158,136.40868258895793
0.016,0.910760656478534,0.0026825453621214376,0.7764746080216778,0.22999995033456483,551.3447565042613,136.27048079994535
0.017,0.910086837152967,0.0026876233246947577,0.7767383046020697,0.23051653127094618,551.3444485005446,136.13253145929446
0.018,0.9094147776409569,0.002692700100077552,0.7770020048414175,0.23103161471105643,551.3441404967655,135.99483436726885
0.019,0.9087444764919085,0.002697775685893696,0.7772657111133583,0.23154520345346785,551.3438324929243,135.85738932413207
0.02,0.9080759322552263,0.0027028500797670655,0.7775294273313609,0.23205730029464916,551.3435244890206,135.72019613014768
0.021,0.9074091434803152,0.002707923279321534,0.7777931599476418,0.232567908028966,551.3432164850549,135.58325458557925
0.022,0.9067441087165798,0.0027129952821809767,0.778056919600095,0.2330770294482828,551.342908481027,135.44656449069035
0.023,0.9060808265134248,0.0027180660859692693,0.7783207238275889,0.23358466734270206,551.3426004769367,135.3101256457445
0.024,0.9054192954202551,0.0027231356883102866,0.7785846015467435,0.234090824499825,551.3422924727845,135.1739378510053
0.025,0.9047595139864753,0.002728204086827903,0.7788486004327044,0.2345955037051496,551.3419844685695,135.03800090673627
0.026,0.9041014807614899,0.0027332712791459934,0.7791127990877182,0.2350987077420139,551.3416764642927,134.90231461320099
0.027,0.9034451942947038,0.0027383372628884337,0.7793773271028321,0.23560043939159603,551.3413684599536,134.76687877066306
0.028,0.9027906531355219,0.002743402035679098,0.7796423981317631,0.23610070143268624,551.3410604555522,134.63169317938596
0.029,0.9021378558333486,0.002748465595141861,0.779908364414112,0.2365994966420858,551.3407524510885,134.49675763963333
0.03,0.9014868009375887,0.002753527938900599,0.7801758066518207,0.23709682779432173,551.3404444465625,134.36207195166867
0.031,0.900837486997647,0.002758589064579185,0.7804456821436236,0.2375926976617614,551.3401364419744,134.22763591575557
0.032,0.900189912562928,0.0027636489698014957,0.780719568890623,0.2380871090145552,551.3398284373243,134.09344933215758
0.033,0.8995440761828367,0.0027687076521914055,0.7810000677133058,0.23858006462057957,551.3395204326114,133.95951200113825
0.034,0.8988999764067777,0.002773765109372789,0.7812914642934299,0.23907156724572176,551.3392124278369,133.8258237229612
0.035,0.8982576117841556,0.0027788213389695216,0.7816008181516931,0.23956161965342437,551.3389044229996,133.6923842978899
0.036,0.8976169808643752,0.002783876338605478,0.7819397511621009,0.240050224605027,551.3385964181002,133.55919352618795
0.037,0.8969780821968413,0.002788930105904533,0.7823273775901693,0.2405373848597664,551.3382884131388,133.42625120811894
0.038,0.8963409143309584,0.002793982638490562,0.7827950842368327,0.24102310317460485,551.3379804081148,133.29355714394637
0.039,0.8957054758161315,0.0027990339339874397,0.7833942748162581,0.24150738230428836,551.3376724030288,133.16111113393387
0.04,0.8950717652017649,0.002804083990019041,0.7842087709789567,0.24199022500128875,551.3373643978805,133.02891297834495
0.041,0.8944397810372637,0.002809132804209241,0.7853742792442073,0.24247163401614558,551.3370563926699,132.89696247744317
0.042,0.8938095218720324,0.0028141803741819145,0.7871079110156618,0.24295161209684002,551.3367483873972,132.7652594314921
0.043,0.8931809862554758,0.0028192266975609376,0.7897502196184796,0.2434301619894208,551.3364403820624,132.63380364075533
0.044,0.8925541727369986,0.0028242717719701833,0.7938180207393515,0.2439072864376064,551.3361323766649,132.50259490549635
0.045,0.8919290798660054,0.0028293155950335274,0.8000528812535457,0.24438298818306825,551.3358243712055,132.3716330259788
0.046,0.8913057061919012,0.0028343581643748453,0.8094195553167012,0.2448572699649204,551.3355163656836,132.24091780246619
0.047,0.8906840502640904,0.002839399477618012,0.8229608493854066,0.2453301345204575,551.3352083600996,132.1104490352221
0.048,0.8900641106319778,0.0028444395323869017,0.8413940511218332,0.24580158458453027,551.3349003544536,131.98022652451007
0.049,0.8894458858449681,0.0028494783263053897,0.8644650550106636,0.24627162288994286,551.334592348745,131.85025007059366
0.05,0.888829374452466,0.0028545158569973513,0.8904468630797648,0.24674025216728235,551.3342843429743,131.72051947373646
0.051,0.8882145750038765,0.0028595521220866615,0.9164286695458763,0.2472074751446922,551.3339763371414,131.591034534202
0.052,0.8876014860486039,0.0028645871191971947,0.9394996693309263,0.24767329454838238,551.3336683312461,131.46179505225388
0.053,0.886990106136053,0.0028696208459528267,0.9579328659936603,0.24813771310217625,551.3333603252888,131.33280082815563
0.054,0.8863804338156287,0.0028746532999774314,0.9714741553427704,0.24860073352796386,551.3330523192692,131.20405166217077
0.055,0.8857724676367357,0.0028796844788948847,0.98084082567647,0.24906235854502068,551.3327443131873,131.07554735456293
0.056,0.8851662061487784,0.002884714380329061,0.9870756835261592,0.24952259087063244,551.332436307043,130.94728770559564
