Strain,Tmp298.15K,Tmp373.15K_StrRt0.1,Tmp473.15K,Tmp573.15K_StrRt0.1,Tmp673.15K,Tmp298.15K_ref,Tmp373.15K_StrRt0.1_ref,Tmp473.15K_ref,Tmp573.15K_StrRt0.1_ref,Tmp673.15K_ref
0.0,377.306,346.0651971401362,382.8681082796693,374.38610628626975,447.0701370892348,0.481597603165061,0.44172149258568355,0.48869714045318596,0.4778706181342658,0.5706453289077055
0.00011,451.27575832901823,513.7254790476584,585.3324989729311,523.1478313,552.8489262636867,0.5760134309492838,0.6557249537356284,0.7471249557652918,0.667751749654338,0.7056625598346411
0.0002,532.6380048656391,567.4510594420673,655.3936026774754,591.4086886,584.6986715654493,0.6798651134567484,0.7243008861263117,0.8365517330209074,0.7548806722415015,0.7463159313652993
0.0003,584.6394731072651,605.1199061650058,693.6659495700909,637.8434890905264,607.7977000412066,0.7462403697904167,0.7723818238685136,0.885402985137188,0.814150571526658,0.7757997899558495
0.0004,619.7916684140366,631.8762380184901,714.5051708,667.3784273934662,624.7985985870473,0.7911090254856119,0.8065339054418971,0.9120024004556581,0.8518492974846967,0.7974999272219658
0.0005,646.0491274804259,652.4831729096519,728.0472232501868,687.6933164,638.3087229382363,0.8246243402475764,0.832836827876637,0.9292876278359422,0.8777794492822057,0.8147444012191845
0.0006,666.8601336,669.1703313717081,738.3090263525635,702.8044512,649.5516858902411,0.8511877414832851,0.8541365037868051,0.942385908219123,0.8970674709430968,0.8290950450206588
0.0007,684.0171512293238,683.1537067154383,746.9145128226231,714.8412152554783,659.2009041,0.8730871508956534,0.871985040649982,0.9533700475067307,0.9124313313613825,0.8414114151876759
0.0008,698.5651556863156,695.1663186114355,754.5458118,724.9543574351146,667.6669194570277,0.8916563866812541,0.8873180729814698,0.9631107229705205,0.9253398592781936,0.8522175319849257
0.0009,711.1638757716596,705.6826246337373,761.5097991,733.7825469618529,675.2186451791204,0.9077375340683861,0.9007412037413594,0.9719996343372942,0.9366082592409931,0.8618566392546743
0.001,722.2550514797215,715.0265453518687,767.9602802173438,741.6932399288917,682.0418805,0.9218944349321019,0.9126678887715906,0.9802331006627019,0.9467055563216136,0.8705658932192729
0.002,791.5037339640205,775.1733405263194,815.6229920139355,796.4272513145133,728.5843222896219,1.0102842286453657,0.9894399316070486,1.0410703196880702,1.0165686613210692,0.9299731870638746
0.003,829.6209708060078,809.6340891549053,846.7460060072656,830.7799449151562,757.0871899501071,1.0589374965562286,1.0334260170199512,1.0807960832393004,1.0604168240863932,0.9663545664975984
0.004,855.9241670425223,833.9907548358358,869.6702114131095,855.8900191650919,777.7191206984571,1.0925111907542686,1.064515137821181,1.1100567957058871,1.0924676040211563,0.9926893939243365
0.005,876.0121186,852.9069062347618,887.7179398980227,875.6727652860982,793.8107796004042,1.1181516770507418,1.0886599252744158,1.1330931184277837,1.1177185226810755,1.0132289675280626
0.01,936.9471697,911.7743688289506,943.9941846630148,938.1910603305278,842.6902769752778,1.1959298585758182,1.163799013679504,1.2049247473813403,1.1975175745046973,1.075619305290123
0.011,945.1057853304566,919.7908725647854,951.6585731471112,946.8650134,849.1272584793041,1.206343606920061,1.1740313688101984,1.214707658662016,1.2085891053264284,1.0838355405579347
0.012,952.4830715861297,927.0579419117016,958.6258646656032,954.7930414126686,854.9266636,1.2157600577016408,1.1833071374953217,1.223600787570271,1.2187085290533943,1.0912379661910026
0.013,959.1996127832124,933.6864071623772,965.0072850231572,962.0925626,860.1964940635953,1.224333126091951,1.1917677847614354,1.2317461039685969,1.228025719630993,1.0979644368020018
0.014,965.3494742013168,939.76356,970.8897483662928,968.8553349792246,865.0212526853429,1.232182878067155,1.1995247306903813,1.239254546046805,1.2366577980198483,1.1041228127305152
0.015,971.0076573096449,945.3596430597544,976.3424187717133,975.1544213889048,869.4680209825747,1.2394050463423478,1.2066676337682287,1.2462143956068426,1.2446980224451996,1.1097987175763888
0.016,976.2350824706992,950.5322098,981.4212055,981.0489422,873.5907123511424,1.246077390350364,1.2132699558736646,1.2526970158549422,1.252221854810521,1.1150609670017664
0.017,981.0820227699104,955.3291444551202,986.1719248025388,986.5874083043228,877.4331268620444,1.2522640792203639,1.2193928169796244,1.2587608871673852,1.259291214961308,1.1199654679077076
0.018,985.5905341938472,959.7908105302248,990.6325756121968,991.8101145110204,881.0311928708106,1.258018793684513,1.2250877375159883,1.2644545118075647,1.265957535643144,1.1245580796495072
0.019,989.7962161,963.9516160960092,994.8350102134408,996.7508944382616,884.4146413117996,1.2633869731613248,1.2303986363294648,1.26981854638803,1.2722640024651013,1.1288767511246836
0.02,993.7295131350992,967.8411775995974,998.8061831117918,1001.4384306773428,887.6082749578054,1.2684074775387797,1.2353633161847843,1.2748873959414426,1.2782472262078748,1.1329531408701519
0.021,997.4166960474532,971.4852018496626,1002.5690992298807,1005.8972490636306,890.6329428247409,1.2731138390941772,1.2400145895403811,1.279690424208639,1.2839385119223465,1.1368138608032738
0.022,1000.8806128380818,974.9061656122032,1006.143544,1010.148484186776,893.5062963581295,1.2775352212718525,1.2443811459920517,1.2842528855369384,1.2893648360353953,1.1404814414267619
0.023,1004.1412728340543,978.1238472896014,1009.5466537798188,1014.2104765131198,896.2433818,1.281697164200925,1.2484882309140597,1.2885966529651487,1.2945496085236199,1.1439750879324173
0.024,1007.2163070212562,981.1557486539796,1012.7933637504768,1018.0992436846154,898.8571083879797,1.2856221722691958,1.2523581837643123,1.2927407899257086,1.299513274484562,1.1473112778156946
